UniqueID,Time to Evacuate,Age,Gender,Disability,SpatialKnowledge,Observation of Environment,Emergency Training,Initial Stress,Maximum Stress,Average Stress,Stress on Exit,Number of Peers
309,9.606825,38,Female,None,High,Immediate,Low,0.7204611,2.5,2.277778,2,33
212,13.70742,30,Male,None,Low,Immediate,Low,0.7142857,2.75,2.232143,2,34
149,14.08189,46,Female,None,Low,Lagging,Low,0.7794232,2.75,2.142857,2,33
294,18.1165,62,Male,None,Medium,Immediate,Low,0.8264462,2.75,2.361111,2.25,32
209,18.64099,67,Female,None,High,Lagging,Low,0.8474576,2.75,2.388889,2,33
287,19.10682,77,Female,None,High,Lagging,Low,0.9225093,2.75,2.631579,2.25,32
308,21.20579,43,Female,None,Medium,Lagging,Low,0.7727975,2.75,2.380952,2.5,33
199,21.30743,41,Male,None,Medium,Immediate,High,0.7604563,1.75,1.380952,1.5,33
285,22.59438,22,Female,None,Low,Immediate,Low,0.7042254,3,2.25,2.25,32
7,23.25891,42,Female,None,Medium,Immediate,Low,0.7639419,2.75,2.195652,2,30
288,23.64476,52,Male,None,Medium,Lagging,Medium,0.7968128,2.25,1.978261,2,32
275,23.86489,56,Male,None,High,Immediate,High,0.8064516,2.25,1.75,1.5,33
211,25.94443,33,Female,None,High,Immediate,Low,0.7204611,2.5,2.134615,2,32
277,26.0785,90,Male,None,High,Immediate,Medium,1.111111,2.5,1.701923,1.5,33
279,26.66109,84,Female,None,High,Lagging,High,0.9587728,2,1.796296,2,32
276,26.97892,39,Female,None,High,Lagging,Medium,0.7407407,2.75,2.37037,2,33
301,27.7998,68,Male,None,High,Lagging,Low,0.8547009,2.75,2.589285,2.5,30
201,27.93297,63,Male,None,High,Immediate,Medium,0.8333333,2,1.571429,1.25,30
87,28.82653,33,Male,None,High,Immediate,High,0.7380074,2.25,1.922414,2,33
299,28.86054,83,Female,None,Medium,Lagging,Low,0.9541985,2.25,2.068965,2,33
22,29.39268,80,Female,None,Medium,Lagging,Medium,0.9372071,2.25,2.129311,1.75,33
34,29.47586,77,Male,None,Medium,Lagging,Medium,0.9259259,2.25,2.008621,2,34
286,29.57679,21,Female,None,Low,Lagging,Low,0.7012623,3,2.448276,2,31
196,29.77365,24,Male,None,Medium,Immediate,Low,0.6944444,2.25,2.058333,2,33
63,30.33912,41,Male,None,High,Immediate,Low,0.7604563,2.75,2.208333,2.25,32
215,30.43801,74,Female,None,Medium,Lagging,Low,0.90009,2.25,1.983333,1.75,33
252,30.56238,40,Female,None,Medium,Lagging,Low,0.7621951,2.5,2.183333,2,31
29,30.78999,80,Female,None,High,Lagging,Low,0.9372071,2.75,2.314516,2.5,33
239,31.2552,46,Female,None,High,Immediate,Medium,0.7794232,2.75,2.137097,2.25,32
298,31.94514,70,Male,None,Medium,Lagging,Low,0.8695652,2.5,2.3125,2.25,32
94,32.14677,27,Female,None,High,Immediate,Low,0.7072136,2.5,2.132813,2.25,33
153,32.54623,53,Male,None,High,Immediate,Low,0.8032128,2.75,2.40625,2,33
101,32.93163,39,Male,None,High,Immediate,Low,0.7751938,2.5,2.19697,2.25,34
306,33.28169,85,Female,None,High,Lagging,Low,0.9633911,2.5,2.181818,2,33
24,33.44678,31,Male,None,High,Lagging,Low,0.7220216,2.5,2.227273,1.75,30
300,34.11892,80,Male,None,High,Lagging,Low,0.952381,2.75,2.308824,2,32
207,34.15215,88,Female,None,High,Lagging,Medium,1.01833,2.25,1.897059,2,34
60,34.18664,80,Female,None,Low,Immediate,Low,0.9372071,2.25,1.919117,1.5,33
272,34.61713,27,Female,None,High,Lagging,Low,0.7072136,2.5,2.213236,2.25,31
28,34.68574,81,Male,None,High,Lagging,Low,0.9615385,2.5,2.185714,2,34
95,34.90408,72,Female,None,High,Immediate,Low,0.8833923,2.5,1.95,2.25,31
283,35.1738,85,Male,None,Low,Lagging,Low,1,2.5,2.2,2,32
74,35.32591,21,Female,None,High,Lagging,Low,0.7012623,2.75,2.3,1.75,32
274,35.63986,79,Male,None,Medium,Lagging,Low,0.9433963,2.75,2.35,2,34
108,35.85991,79,Male,None,Low,Lagging,Low,0.9433963,2.75,2.194444,2.25,32
255,35.99998,30,Male,None,High,Immediate,Low,0.7142857,2.75,2.416667,2,31
292,36.24402,53,Male,None,High,Lagging,Low,0.8032128,2.25,2.055556,1.75,33
213,36.28265,28,Female,None,High,Lagging,High,0.7092199,2.25,2.125,1.75,32
8,37.66663,22,Male,None,High,Immediate,Low,0.6802721,3,2.447369,2.25,33
289,37.9525,86,Female,None,High,Lagging,Low,0.9803922,2.5,2.243421,1.75,32
21,38.07474,87,Female,None,Medium,Lagging,Medium,1,2.75,2.144737,2,31
320,38.24099,63,Female,None,Low,Lagging,Low,0.8319467,2.75,2.282894,1.75,32
322,38.77442,70,Female,None,High,Immediate,Low,0.8643043,2.5,2.275641,2.5,31
220,38.85769,67,Female,None,Medium,Immediate,Medium,0.8474576,2.5,2.224359,2.25,33
331,38.92496,61,Female,None,High,Lagging,Low,0.8223684,2.5,2.320513,2,33
253,39.0744,23,Female,None,High,Lagging,Medium,0.691085,2.25,1.884615,1.75,33
317,39.60779,44,Female,None,Medium,Lagging,High,0.7806401,2.25,1.871795,1.75,32
5,39.77435,43,Male,None,Medium,Lagging,High,0.7722008,2,1.60625,1.5,33
264,40.15063,72,Male,None,Low,Immediate,High,0.8849558,2,1.55625,1.5,29
14,40.15063,84,Male,None,Low,Lagging,Low,0.990099,2.75,2.36875,2.25,30
258,40.35101,64,Male,None,High,Lagging,Low,0.8403361,2.5,2.175,2,34
25,41.41527,64,Female,None,High,Lagging,Low,0.8368201,2.75,2.292683,2.25,32
278,41.41527,75,Female,None,High,Lagging,Medium,0.9082652,2.5,1.79878,1.25,32
6,41.41527,86,Female,None,Low,Lagging,Low,0.9803922,2.5,2.201219,1.5,34
197,41.41527,24,Male,None,High,Lagging,Low,0.6944444,3,2.390244,2,33
290,42.06897,91,Male,None,Low,Lagging,Low,1.123595,2.75,2.375,2,33
319,42.06897,70,Female,None,Medium,Lagging,Low,0.8643043,2.5,2.273809,2.25,31
267,42.93208,22,Female,None,Low,Lagging,Low,0.7042254,2.5,2.052326,2,33
205,43.23149,39,Female,None,Medium,Lagging,Medium,0.7407407,2.25,1.877907,2,32
88,43.97284,57,Female,None,Medium,Lagging,Low,0.8116883,2.75,2.352273,2.25,32
120,44.12572,26,Male,None,High,Lagging,High,0.6968641,2,1.625,1.75,32
291,44.82106,25,Female,None,High,Lagging,Low,0.7017544,2.75,2.322222,2.25,30
89,44.9973,68,Male,None,Medium,Lagging,Low,0.8547009,3,2.394445,2.5,31
12,44.9973,86,Female,None,High,Lagging,Low,0.9803922,3,2.277778,2.25,34
222,45.14299,33,Female,None,High,Lagging,Medium,0.7204611,2.5,2.2,2.25,31
314,45.29282,20,Male,None,High,Lagging,Low,0.6666667,2.5,2.305556,1.75,33
338,46.44203,88,Female,None,Medium,Immediate,Medium,1.01833,2.5,1.869565,1.75,31
152,46.55759,33,Male,None,Low,Lagging,Low,0.7380074,3,2.527174,2.75,29
124,46.89634,64,Male,None,Medium,Lagging,Low,0.8403361,2.75,2.223404,2.25,33
