UniqueID,Time to Evacuate,Age,Gender,Disability,SpatialKnowledge,Observation of Environment,Emergency Training,Initial Stress,Maximum Stress,Average Stress,Stress on Exit,Number of Peers
32,12.08637,26,Female,None,High,Immediate,Medium,0.7042254,2.25,1.9375,1.75,36
322,12.84489,27,Male,None,Low,Immediate,Low,0.7042254,2.75,2.326923,2.25,35
42,13.15527,20,Male,None,High,Immediate,Low,0.6666667,2.5,2.173077,2,34
332,15.04449,55,Female,None,Medium,Immediate,Low,0.8,2.25,2.05,2,35
174,15.50582,58,Male,None,High,Immediate,Low,0.8196721,2.5,2.34375,2.5,36
299,17.86733,42,Male,None,Low,Immediate,Medium,0.7662836,2.25,1.944444,1.75,34
176,18.76898,65,Male,None,Low,Immediate,High,0.8333333,2,1.776316,2,35
228,18.8879,39,Male,None,Medium,Immediate,Low,0.7751938,2.5,2.092105,2,33
167,19.2354,20,Female,None,Low,Lagging,Low,0.6993007,2.75,2.605263,2.75,35
30,20.05009,48,Female,None,High,Immediate,Medium,0.7849293,2.25,1.8625,1.75,36
38,20.4905,28,Female,WheelChair,High,Immediate,Low,0.7880221,2.25,2.071429,2.25,35
305,21.87398,34,Male,None,Medium,Immediate,Low,0.7462686,2.75,2.215909,2.75,34
172,22.71803,43,Male,None,Medium,Immediate,Medium,0.7722008,2,1.695652,1.5,35
139,23.47748,20,Male,None,Medium,Immediate,Low,0.6666667,2.75,2.1875,2,35
179,23.72158,81,Female,None,High,Immediate,High,0.9433963,2.25,1.895833,1.75,36
355,23.83677,45,Male,None,Low,Immediate,Low,0.7692308,2.25,2.09375,2,37
133,24.58403,20,Female,None,Medium,Immediate,Low,0.6993007,3,2.11,2,34
229,24.58403,20,Female,None,High,Immediate,High,0.6993007,2,1.56,1.25,36
29,25.18441,80,Female,None,Low,Immediate,Low,0.9372071,2.5,2.11,1.75,36
33,25.18441,20,Male,None,Medium,Lagging,Low,0.6666667,2.75,2.49,2.25,36
341,25.18441,47,Male,None,Low,Immediate,Low,0.78125,2.75,2.16,2,32
78,25.32906,20,Female,None,Low,Immediate,Low,0.6993007,2.75,2.173077,2,36
232,25.61196,33,Male,None,Medium,Immediate,Medium,0.7380074,2.5,1.846154,1.75,35
90,25.83979,20,Male,None,Medium,Immediate,Low,0.6666667,2.75,2.317308,2.25,35
136,26.53383,29,Female,None,Medium,Immediate,Medium,0.7168459,2.5,1.787037,1.75,35
354,26.53383,20,Male,None,High,Immediate,Low,0.6666667,2.25,2.046296,2.25,33
231,27.08697,20,Male,None,Low,Lagging,Low,0.6666667,2.5,2.388889,2.25,35
118,28.45185,20,Male,None,Medium,Immediate,Low,0.6666667,2.75,2.155173,2.25,35
293,29.20695,68,Male,None,High,Immediate,Low,0.8547009,2.5,2.362069,2.25,35
329,30.43357,71,Female,None,Low,Lagging,Low,0.8741258,3,2.669355,2.5,37
338,31.80651,20,Female,None,Medium,Immediate,Low,0.6993007,2.5,2.289062,2,34
359,31.80651,50,Female,None,Medium,Immediate,Low,0.7874016,2.5,2.164063,2.25,36
245,31.80651,20,Female,None,Medium,Immediate,Low,0.6993007,2.75,2.335938,2.25,35
76,31.80651,33,Female,None,High,Immediate,Low,0.7204611,2.5,1.90625,2,37
337,32.17651,23,Female,None,High,Immediate,Low,0.691085,2.5,2.289063,2,35
44,32.66443,20,Male,None,Medium,Lagging,Low,0.6666667,2.75,2.295455,2,33
239,32.85666,20,Male,None,Low,Lagging,Low,0.6666667,2.75,2.39394,1.75,35
100,32.85666,40,Male,None,Low,Lagging,Low,0.7547169,2.75,2.295455,2.25,35
27,33.8954,20,Female,None,High,Immediate,Low,0.6993007,2.25,2.029412,2,36
148,34.46075,35,Female,None,High,Immediate,High,0.723589,2.25,1.907143,2,37
108,35.09381,20,Male,None,High,Immediate,Medium,0.6666667,2.5,2.114285,2.25,33
134,35.69873,24,Male,None,Medium,Lagging,Low,0.6944444,3,2.583333,2.5,32
371,35.81627,69,Male,None,Medium,Immediate,Low,0.862069,2.75,2.173611,2,36
309,36.71031,20,Male,None,Medium,Lagging,Low,0.6666667,2.5,2.27027,2.5,37
365,37.29727,20,Female,None,Medium,Immediate,High,0.6993007,2.5,1.885135,1.5,34
222,38.39293,62,Female,None,Low,Lagging,Low,0.8237233,2.5,2.192308,2,34
188,38.39293,32,Female,None,High,Lagging,Low,0.7158197,2.75,2.51282,2.25,32
119,39.00386,26,Male,None,High,Immediate,Low,0.6968641,2.75,2.410256,2.25,33
325,39.35656,20,Male,None,High,Lagging,Medium,0.6666667,2.25,2.0125,1.5,35
320,39.58388,48,Male,None,High,Lagging,Low,0.7874016,3,2.4625,2.25,36
129,39.70804,59,Female,None,High,Lagging,Low,0.8223684,2.75,2.20625,2,33
67,40.45229,74,Male,None,Low,Immediate,Medium,0.9009009,2.5,2.109756,1.75,35
273,41.50289,37,Male,None,Medium,Immediate,Medium,0.7575758,2.5,2.011904,1.75,37
1,41.50289,20,Female,None,Low,Lagging,Medium,0.6993007,2.5,2.172619,2,36
367,42.56749,43,Female,None,Low,Lagging,Low,0.7727975,2.75,2.430232,2,35
255,42.56749,25,Female,None,Low,Lagging,Low,0.7017544,3,2.593023,2.25,36
12,42.56749,55,Male,WalkingStick,Low,Lagging,Low,0.9411765,2.25,2.215117,2,33
137,42.67554,20,Female,None,Medium,Immediate,Low,0.6993007,3,2.55814,2.25,35
339,43.02135,20,Male,None,High,Lagging,Low,0.6666667,3,2.697674,2.5,35
11,43.25885,20,Male,None,Medium,Lagging,High,0.6666667,2.25,1.825582,1.5,36
170,44.439,34,Male,None,High,Lagging,Low,0.7462686,2.5,2.283334,2,35
271,44.439,20,Female,None,High,Immediate,Medium,0.6993007,2.5,2.055556,1.75,35
36,44.439,61,Male,None,High,Lagging,Low,0.8196721,2.5,2.255555,2.25,36
