UniqueID,Time to Evacuate,Age,Gender,Disability,SpatialKnowledge,Observation of Environment,Emergency Training,Initial Stress,Maximum Stress,Average Stress,Stress on Exit,Number of Peers
27,13.72699,76,Male,None,Low,Immediate,Low,0.9174312,2.75,2.357143,2.25,3
12,16.50051,20,Female,None,High,Lagging,Medium,0.6993007,2.75,2.338235,2.25,3
1,22.46026,20,Female,None,High,Lagging,Low,0.6993007,2.75,2.543478,2.25,3
24,27.69029,20,Male,None,Low,Immediate,Medium,0.6666667,2.5,2.035714,1.75,3
11,28.74963,24,Male,None,Medium,Lagging,Low,0.6944444,2.75,2.327586,2.25,3
26,29.81298,47,Female,None,High,Lagging,Low,0.78125,2.75,2.333333,2.25,3
29,31.27179,77,Female,None,High,Lagging,Low,0.9225093,2.75,2.101563,2,3
6,32.50704,20,Female,WalkingStick,High,Lagging,High,0.8227067,2.25,1.977273,1.75,3
21,33.59176,36,Male,None,Low,Lagging,Medium,0.7490637,2.75,2.330882,2.25,3
8,34.70674,20,Female,WheelChair,High,Lagging,Medium,0.7770008,2.75,2.292857,2.25,3
23,36.00276,49,Female,None,High,Lagging,Low,0.7905138,2.5,2.305556,2.25,3
7,40.12736,20,Female,None,Medium,Lagging,Medium,0.6993007,2.5,1.890244,2,3
28,41.63886,46,Female,None,High,Lagging,High,0.7794232,2.5,2.172619,2,2
30,45.32716,38,Female,None,Medium,Immediate,Low,0.7204611,3,2.717391,2.5,2
22,45.97235,51,Female,None,High,Lagging,Low,0.7936508,2.5,2.26087,2,3
10,51.3904,41,Male,None,High,Lagging,Low,0.7604563,2.75,2.341346,2.25,3
3,52.25385,20,Female,None,Low,Lagging,Low,0.6993007,2.5,2.15566,2,3
13,57.23736,34,Female,None,Low,Lagging,Low,0.7215007,3,2.439655,2.25,3
9,58.96718,84,Female,None,High,Lagging,Low,0.9587728,3,2.639831,2.5,3
17,59.18355,20,Female,None,Medium,Lagging,Medium,0.6993007,2.75,1.920833,1.25,3
16,59.62181,20,Male,None,Low,Immediate,Medium,0.6666667,2.5,2.004167,1.75,3
20,65.46916,20,Female,None,Medium,Lagging,Medium,0.6993007,2.75,2.140152,1.5,3
5,66.75519,20,Female,None,Low,Immediate,Low,0.6993007,2.5,2.08209,2,3
4,78.03942,29,Female,None,Low,Lagging,Low,0.7168459,2.5,2.28481,2.25,2
18,88.4496,20,Male,None,Low,Lagging,Low,0.6666667,2.75,2.283708,2.25,3
15,89.09379,41,Female,None,High,Lagging,Low,0.761035,3,2.441667,2.25,2
25,113.5713,22,Male,None,Low,Lagging,Low,0.6802721,2.75,2.379386,2.25,2
2,134.6083,20,Male,None,Medium,Lagging,Low,0.6666667,3,2.644444,2.75,3
14,237.1883,49,Male,None,Medium,Immediate,Low,0.7936508,3,2.603992,2.5,3
19,279.6665,25,Male,None,Low,Lagging,Low,0.6896551,3,2.603571,2.5,3
