UniqueID,Time to Evacuate,Age,Gender,Disability,SpatialKnowledge,Observation of Environment,Emergency Training,Initial Stress,Maximum Stress,Average Stress,Stress on Exit,Number of Peers
238,67.44183,23,Female,None,Medium,Immediate,Medium,0.691085,2.5,2.080882,2,31
292,68.73032,65,Male,None,High,Lagging,Low,0.8333333,2.75,2.677536,2.5,33
27,69.09605,33,Female,None,Low,Lagging,Low,0.7204611,3,2.902174,2.5,33
151,69.62659,80,Female,None,Low,Lagging,Low,0.9372071,3,2.789286,2.5,29
83,72.50829,62,Male,None,Low,Lagging,Low,0.8264462,3,2.688356,3,32
204,72.50829,62,Male,None,Low,Lagging,Low,0.8264462,3,2.582192,3,33
138,72.50829,33,Female,None,Medium,Lagging,Low,0.7204611,2.75,2.150685,2.5,30
4,73.66354,25,Male,None,Medium,Lagging,Low,0.6896551,3,2.523649,3,33
176,74.65642,63,Female,None,High,Immediate,Medium,0.8319467,2.5,2.036667,2,29
109,75.0982,26,Male,None,High,Lagging,Low,0.6968641,3,2.556667,2.5,30
143,75.83367,40,Male,WheelChair,Low,Lagging,Low,0.8385744,2.75,2.483553,2,33
73,76.51026,82,Female,None,Medium,Lagging,Low,0.9487666,3,2.62987,2.5,32
293,77.49595,44,Female,None,Medium,Lagging,Low,0.7806401,3,2.304487,2.5,33
49,77.49595,82,Female,None,Medium,Lagging,Low,0.9487666,3,2.676282,2.5,32
76,78.52126,51,Male,None,Low,Lagging,Medium,0.7905138,2.75,2.446203,2.25,30
157,78.95396,72,Male,None,High,Lagging,Low,0.8849558,3,2.43038,2.5,33
40,79.86182,87,Female,None,High,Lagging,Low,1,2.75,2.53125,1.75,32
141,80.05614,90,Male,None,Low,Immediate,Low,1.111111,2.75,2.03125,2,30
3,80.50194,35,Female,None,High,Lagging,Low,0.723589,3,2.570988,2.5,30
272,80.50194,61,Female,None,Low,Lagging,Low,0.8223684,2.75,2.638889,2.25,33
280,82.4381,25,Female,None,Low,Lagging,Low,0.7017544,3,2.864458,2.75,32
32,82.4381,35,Male,None,High,Lagging,Low,0.7407407,2.75,2.370482,2.25,32
314,82.4381,26,Female,None,High,Lagging,Low,0.7042254,3,2.762048,2.25,30
305,82.4381,41,Female,None,High,Lagging,Low,0.761035,2.5,2.418675,2.5,30
149,82.4381,90,Male,None,Medium,Immediate,Low,1.111111,2.75,2.033133,2.5,33
63,82.4381,39,Female,None,High,Lagging,Low,0.7407407,3,2.38253,2.5,31
58,83.52357,38,Female,None,High,Immediate,Low,0.7204611,2.75,2.395833,2,32
185,84.06077,87,Female,None,Medium,Lagging,Medium,1,2.75,2.047619,1.75,30
11,84.52178,65,Male,None,Medium,Immediate,Low,0.8333333,3,2.758824,2.5,32
287,84.52178,47,Female,None,Medium,Lagging,Low,0.78125,2.75,2.241176,2.5,31
268,85.168,67,Male,None,High,Lagging,Low,0.8474576,2.5,2.276471,1.75,33
265,85.35167,22,Male,WheelChair,Low,Lagging,High,0.7558579,2,1.813954,1.5,31
298,85.89881,78,Male,None,Medium,Lagging,Low,0.9345794,2.5,2.215116,1.75,32
277,86.54557,27,Female,None,High,Lagging,Low,0.7072136,2.5,2.258621,2.25,31
289,87.15672,31,Male,None,Low,Lagging,Low,0.7220216,2.5,2.218391,2,32
291,87.49176,23,Female,None,Low,Lagging,Low,0.691085,2.75,2.505682,2.25,33
282,87.70679,30,Male,None,Low,Lagging,Low,0.7142857,2.75,2.482955,2,32
181,87.70679,65,Female,None,High,Immediate,Low,0.8354219,2.75,2.443182,2.25,32
334,88.47687,79,Male,None,Medium,Lagging,Medium,0.9433963,2.75,2.620786,2.25,30
198,89.27176,63,Female,None,High,Lagging,Low,0.8319467,2.5,2.230337,2.5,33
259,89.27176,46,Male,None,Medium,Lagging,Low,0.7751938,2.75,2.435393,2.25,30
273,89.84703,90,Female,None,High,Lagging,Low,1.052632,2.5,2.138889,2,29
119,89.84703,56,Female,None,Low,Immediate,Low,0.8064516,2.75,2.2,2.5,30
98,90.00308,68,Male,None,High,Lagging,Low,0.8547009,3,2.516667,2.5,30
264,90.41083,61,Female,None,Low,Lagging,Low,0.8223684,2.75,2.241758,2,30
94,91.95811,41,Male,None,Low,Lagging,Low,0.7604563,3,2.442935,2,31
65,91.95811,21,Female,None,Medium,Immediate,High,0.7012623,2.5,2.081522,1.5,33
113,91.95811,71,Male,None,Low,Lagging,Low,0.877193,2.25,2.144022,2,32
5,91.95811,22,Male,None,Low,Lagging,Medium,0.6802721,2.5,1.961957,1.75,31
87,91.95811,53,Female,None,Low,Immediate,Low,0.8038585,3,2.402174,2.25,32
313,93.13948,64,Male,None,Low,Lagging,Medium,0.8403361,2.25,2.02957,1.25,28
316,93.13948,79,Male,None,Medium,Lagging,High,0.9433963,2.5,2.064516,1.5,31
236,93.13948,92,Female,None,Low,Lagging,Low,1.123595,2.75,2.370968,2.25,31
310,93.89145,27,Female,None,High,Lagging,High,0.7072136,2.5,2.199468,1.25,31
327,95.08086,68,Male,None,High,Lagging,Low,0.8547009,3,2.65,2.25,33
36,95.81689,72,Male,None,High,Lagging,Medium,0.8849558,2,1.989583,2,33
286,95.99837,45,Male,None,Medium,Lagging,High,0.7692308,2.25,2.049479,1.75,32
288,97.49393,81,Female,None,High,Lagging,Medium,0.9433963,2.5,2.193877,1.5,32
218,98.83227,55,Female,WalkingStick,Low,Immediate,Low,0.9411765,3,2.353535,2.5,32
25,99.1986,60,Male,None,Medium,Lagging,Low,0.8130081,2.5,2.260101,2.25,31
51,99.52153,52,Female,None,Low,Lagging,Medium,0.7980846,2.75,2.3275,2.25,31
131,100.4814,65,Male,None,Low,Lagging,Low,0.8333333,3,2.586634,2.5,31
285,100.4814,57,Male,None,Low,Lagging,Low,0.8130081,2.5,2.049505,2,30
133,101.789,64,Male,None,Low,Immediate,Low,0.8403361,2.5,2.245098,2,32
279,101.789,71,Female,None,High,Lagging,Low,0.8741258,3,2.639706,2.25,33
121,102.2131,36,Male,None,High,Lagging,High,0.7490637,2,1.857843,1.25,33
91,102.2131,77,Male,None,Low,Lagging,Low,0.9259259,3,2.227941,1.75,31
208,102.6608,80,Female,None,Medium,Lagging,Low,0.9372071,2.75,2.407767,2,31
173,102.8715,62,Male,WheelChair,Low,Immediate,Medium,0.9182736,2.75,2.140777,2.25,32
34,103.7852,22,Female,None,High,Lagging,Low,0.7042254,2.75,2.588942,2.5,31
140,103.7852,32,Female,WheelChair,Medium,Lagging,Low,0.7953552,2.75,2.435096,2.5,31
10,104.6765,59,Male,None,Low,Lagging,Medium,0.8264462,2.75,2.25,2.25,31
299,104.8731,48,Female,None,Low,Lagging,Low,0.7849293,3,2.471429,3,32
184,105.246,90,Male,None,Low,Lagging,Low,1.111111,3,2.288095,2,30
120,105.9723,80,Female,None,Medium,Lagging,Low,0.9372071,2.75,2.419811,2.25,32
217,106.5221,45,Female,None,High,Lagging,Medium,0.7722008,2.5,2.025701,1.75,33
152,106.7065,31,Male,None,Low,Lagging,Medium,0.7220216,2.25,1.971963,1.75,32
30,106.8985,92,Male,None,High,Lagging,Low,1.136364,2.5,2.331776,1.5,33
245,106.8985,83,Female,WheelChair,Medium,Lagging,Medium,1.06022,2.75,2.371495,2,29
182,107.9909,25,Male,None,Low,Lagging,Low,0.7662835,2.75,2.31713,2.25,32
103,108.361,40,Female,None,High,Lagging,Medium,0.7621951,2.5,2.206422,2.25,33
260,108.7308,96,Female,None,Low,Immediate,Low,1.388889,2.5,2.238532,2,31
54,111.3897,32,Female,None,High,Immediate,High,0.7158197,2.5,2.145089,1.5,30
60,111.8823,30,Female,None,Low,Lagging,Low,0.7117438,3,2.388393,2.25,31
135,112.0638,69,Female,None,Low,Lagging,Low,0.8605852,2.5,2.147321,1.75,32
295,113.3339,60,Female,None,Low,Immediate,Low,0.8130081,2.75,2.026316,1.5,33
144,114.0647,85,Female,None,High,Lagging,Medium,0.9633911,2.5,2.223684,2,33
92,114.0647,56,Male,None,Medium,Lagging,Low,0.8064516,2.75,2.245614,1.75,32
261,114.6219,34,Female,None,Low,Lagging,Medium,0.7215007,2.5,2.069565,2,32
86,115.5236,56,Male,None,Medium,Lagging,Low,0.8064516,2.5,2.107759,2,31
235,115.724,62,Male,None,Medium,Lagging,Low,0.8264462,2.75,2.267241,2.25,32
241,116.6356,84,Male,None,High,Lagging,Medium,0.990099,2.75,2.141026,2,32
57,118.4714,67,Male,None,High,Lagging,High,0.8474576,2.5,2.220588,2,31
43,118.8372,22,Male,None,Medium,Lagging,Medium,0.6802721,2.75,2.226891,2,29
263,119.9383,68,Female,None,Medium,Lagging,Medium,0.8547009,2.25,2.1875,2.25,31
191,120.4557,72,Female,None,Low,Lagging,Low,0.8833923,3,2.440083,2.25,31
210,121.5325,90,Male,None,Low,Lagging,Low,1.111111,3,2.508197,1.75,32
206,121.5325,71,Male,None,Medium,Lagging,High,0.877193,2,1.690574,1.5,31
146,121.5325,70,Female,None,Medium,Lagging,Low,0.8643043,3,2.551229,2.5,32
278,121.5325,45,Female,None,Low,Lagging,Low,0.7722008,3,2.629098,2.5,32
212,122.3553,43,Female,None,Medium,Lagging,Low,0.7727975,3,2.54878,2.5,28
9,122.5389,51,Male,None,High,Lagging,High,0.7905138,2,1.865854,1.5,31
16,122.9386,94,Male,None,Low,Lagging,Medium,1.162791,2.75,2.333333,1.75,30
31,123.1157,92,Male,None,High,Lagging,Low,1.136364,2.75,2.47561,2,31
244,123.6656,36,Female,None,Low,Immediate,High,0.7194245,2.5,1.949597,2.5,30
215,124.5367,77,Female,None,Low,Immediate,Low,0.9225093,2.75,2.236,2,31
124,125.3013,34,Male,None,Medium,Lagging,Low,0.7462686,2.75,2.084,2.5,33
14,125.4809,81,Male,None,High,Lagging,Low,0.9615385,3,2.605159,2.25,30
105,126.3363,73,Male,None,Medium,Lagging,Low,0.8928571,3,2.435039,2.25,32
70,128.4622,26,Male,None,Low,Immediate,Low,0.6968641,2.75,2.385659,2,32
297,129.9288,93,Male,None,High,Lagging,Medium,1.149425,2.5,2.25,1.75,29
123,130.4164,67,Male,None,Low,Lagging,Low,0.8474576,3,2.75,2,32
147,131.272,95,Female,None,Medium,Lagging,Low,1.25,3,2.46374,2,30
26,131.5374,33,Female,None,Medium,Lagging,Low,0.7204611,2.75,2.445076,2.25,32
96,132.0868,81,Male,None,Low,Immediate,Medium,0.9615385,2.75,2.267045,1.25,31
24,132.9801,72,Female,None,Low,Lagging,Medium,0.8833923,2.75,2.088346,2,30
220,133.323,48,Female,None,Medium,Lagging,Low,0.7849293,2.75,2.358209,2,31
172,133.7109,34,Female,None,High,Lagging,Low,0.7215007,2.75,2.257463,2.5,31
81,134.3654,79,Male,None,High,Lagging,Low,0.9433963,2.75,2.374074,2.25,32
187,135.2777,56,Male,None,Medium,Lagging,High,0.8064516,2.5,2.118519,1.75,33
15,135.8302,51,Female,None,Medium,Lagging,High,0.7936508,2.5,1.992647,1.75,32
116,136.2929,62,Male,None,Low,Lagging,Low,0.8264462,2.75,2.110294,1.75,30
37,137.0277,72,Male,None,Low,Lagging,Medium,0.8849558,2.25,1.952555,2,31
276,137.2108,57,Female,None,Low,Lagging,Medium,0.8116883,2.25,1.981752,1.25,31
290,137.2108,73,Female,None,Medium,Lagging,Low,0.8912656,3,2.510949,2.5,31
294,137.3932,51,Female,None,Low,Lagging,Medium,0.7936508,2.75,2.398551,2.25,32
