UniqueID,Time to Evacuate,Age,Gender,Disability,SpatialKnowledge,Observation of Environment,Emergency Training,Initial Stress,Maximum Stress,Average Stress,Stress on Exit,Number of Peers
41,9.520142,20,Female,None,Low,Lagging,Low,0.6993007,2.75,2.3,2,37
331,10.9807,35,Male,None,Medium,Immediate,Low,0.7407407,2.5,2.25,2.25,35
40,12.56545,21,Female,None,High,Lagging,Low,0.7012623,2.75,2.384615,2,37
238,12.94238,20,Female,None,Medium,Immediate,Low,0.6993007,2.25,2.038461,2,36
313,14.99216,38,Female,None,High,Immediate,Low,0.7204611,2.5,2.05,2.25,36
327,16.29934,26,Female,None,Medium,Immediate,Medium,0.7042254,2.25,1.90625,1.75,37
335,16.86571,20,Female,None,High,Immediate,Low,0.6993007,2.25,1.867647,1.75,36
329,17.63167,47,Male,None,Medium,Immediate,Low,0.78125,2.75,2.527778,2.75,36
175,17.99382,64,Male,None,High,Immediate,Low,0.8403361,2.75,2.069444,2,34
308,19.49003,20,Female,None,High,Immediate,Low,0.6993007,2.75,2.15,2.75,37
91,20.01613,20,Male,None,High,Immediate,Medium,0.6666667,2.75,2.15,2,35
324,20.17248,20,Female,None,Low,Immediate,Low,0.6993007,2.5,2.05,2.5,37
240,20.33605,20,Female,None,High,Immediate,Low,0.6993007,2.5,2.107143,2,33
364,20.83666,20,Female,None,Medium,Immediate,Low,0.6993007,2.75,2.321429,2.25,37
322,20.96449,34,Female,None,Medium,Immediate,Low,0.7215007,2.5,2.261904,2.5,36
336,21.11812,20,Female,None,Medium,Immediate,Low,0.6993007,2.5,2.285714,2.5,35
330,21.72723,20,Male,None,High,Lagging,Low,0.6666667,2.75,2.397727,2,34
217,22.28992,20,Female,None,Medium,Immediate,High,0.6993007,2.25,1.772727,1.5,34
319,22.28992,20,Male,None,Low,Lagging,Low,0.6666667,2.75,2.352273,2.25,37
328,22.46748,99,Female,None,Medium,Immediate,High,1.785714,2.25,1.782609,2,32
164,22.64651,49,Female,None,Medium,Immediate,Low,0.7905138,2.75,2.413044,2.25,36
318,22.88112,20,Male,None,High,Lagging,Low,0.6666667,2.75,2.391304,2.75,35
44,23.28346,48,Female,None,High,Lagging,Low,0.7849293,2.5,2.423913,2.5,35
310,23.46444,33,Female,None,High,Immediate,Low,0.7204611,2.75,2.197917,2,35
299,24.0087,20,Female,None,High,Immediate,High,0.6993007,2.25,1.833333,1.75,35
