UniqueID,Time to Evacuate,Age,Gender,Disability,SpatialKnowledge,Observation of Environment,Emergency Training,Initial Stress,Maximum Stress,Average Stress,Stress on Exit,Number of Peers
43,8.433244,45,Male,None,High,Immediate,Low,0.7692308,2,1.888889,2,33
313,14.89429,28,Male,None,High,Immediate,Low,0.7117438,2.5,2.3,2.5,31
295,15.99774,40,Male,None,Medium,Immediate,Low,0.7547169,2.5,2.296875,2.5,34
220,16.774,34,Male,None,High,Immediate,High,0.7462686,2,1.897059,2,36
322,17.88637,24,Male,None,High,Immediate,Low,0.6944444,2.5,2.222222,2.25,35
97,18.63243,71,Male,None,High,Immediate,Low,0.877193,2.25,2.026316,2,34
325,19.3298,93,Female,WalkingStick,Medium,Immediate,Low,1.352265,2.25,1.95,2,34
286,19.93214,70,Male,None,Medium,Immediate,Low,0.8695652,2.75,2.1875,2.25,36
317,20.03263,47,Female,WheelChair,Medium,Immediate,Low,0.8680556,2.75,2.55,2.75,36
301,21.79328,89,Female,None,High,Immediate,Low,1.02459,2.75,2.420455,2.5,33
288,21.79328,42,Female,None,Low,Immediate,High,0.7639419,2.25,1.75,2,32
292,22.13175,30,Male,None,High,Immediate,High,0.7142857,2,1.784091,2,34
335,23.01608,34,Male,None,Low,Immediate,Low,0.7462686,2.5,2.26087,2,33
307,23.01608,66,Male,None,High,Immediate,Low,0.8403361,2.5,1.923913,1.75,35
24,23.21514,29,Female,None,Medium,Lagging,Medium,0.7168459,2.75,2.315217,2,33
88,23.52441,90,Male,None,High,Immediate,High,1.111111,1.75,1.4375,1.5,34
1,23.92188,20,Female,None,High,Lagging,Low,0.6993007,2.75,2.385417,2.25,36
318,24.40061,83,Male,None,Low,Immediate,Low,0.9803922,2.25,2.12,2,35
319,24.58052,24,Male,None,Low,Immediate,Low,0.6944444,2.75,2.4,2.5,32
284,25.07996,67,Male,None,High,Immediate,Low,0.8474576,2.25,2.04,2,35
164,25.38053,84,Male,None,High,Immediate,Medium,0.990099,2.5,2.259615,2.25,34
36,25.59603,87,Male,None,Medium,Lagging,Low,1.020408,2.75,2.259615,1.75,32
130,25.59603,24,Male,None,Medium,Immediate,Low,0.6944444,2.75,2.288461,2.75,35
29,26.46814,51,Female,None,Low,Immediate,Low,0.7936508,3,2.518518,2.25,34
32,26.93279,51,Female,None,Medium,Immediate,Low,0.7936508,3,2.555556,2.25,33
345,28.53212,76,Male,None,High,Immediate,Low,0.9174312,2.5,2.146552,2.25,32
212,28.53212,26,Male,None,High,Immediate,High,0.6968641,2.5,2.094828,1.75,32
78,28.63263,49,Female,None,Medium,Immediate,Low,0.7905138,2.25,1.922414,2,35
166,29.13158,35,Male,None,High,Immediate,Low,0.7407407,2.75,2.301724,2.5,31
115,29.7336,58,Female,None,High,Immediate,Medium,0.8156607,2.25,1.816667,2,36
354,29.93342,89,Female,None,Medium,Immediate,Low,1.02459,2.5,2.266667,2.25,35
214,31.99124,69,Male,None,High,Immediate,Low,0.862069,2.5,2.0625,1.75,34
87,32.54295,70,Male,None,Medium,Lagging,Low,0.8695652,3,2.560606,2.25,35
364,34.44017,90,Female,None,High,Immediate,Low,1.052632,2.5,2.114286,2,33
234,34.57728,47,Male,None,High,Immediate,High,0.78125,2.25,1.614286,1.5,33
311,34.67846,44,Male,None,High,Lagging,Low,0.7782102,2.75,2.421429,2,34
226,34.67846,93,Female,None,Medium,Lagging,Low,1.149425,2.75,2.407143,2.25,34
304,35.4725,23,Male,None,High,Lagging,Low,0.6872852,2.5,2.201389,1.5,34
251,35.67776,39,Male,None,High,Immediate,Low,0.7751938,2.75,2.333333,2.25,33
312,36.07646,22,Female,None,Low,Lagging,Medium,0.7042254,2.5,2.368056,2.25,34
324,36.4397,46,Male,None,Low,Immediate,Low,0.7751938,3,2.45946,2.25,32
290,37.18632,37,Male,None,Low,Lagging,Low,0.7575758,3,2.736486,2.5,36
6,37.78661,33,Male,None,Medium,Immediate,Low,0.7380074,3,2.131579,2.25,33
170,38.44481,81,Female,None,High,Lagging,Low,0.9433963,2.75,2.538461,2,33
138,39.68551,45,Male,None,High,Lagging,Low,0.7692308,2.75,2.34375,2.25,33
296,39.88489,51,Female,None,Low,Lagging,Low,0.7936508,3,2.78125,2.5,34
306,40.42554,37,Female,None,Medium,Lagging,High,0.7183908,2.25,1.865854,2,34
326,41.31828,38,Female,None,Low,Lagging,Low,0.7204611,2.75,2.416667,2.5,35
103,41.54419,34,Female,None,High,Lagging,Low,0.7215007,2.75,2.494048,2,36
338,41.54419,23,Male,None,Medium,Immediate,Medium,0.6872852,2.75,2.220238,2,36
61,42.37798,64,Male,None,Medium,Immediate,Low,0.8403361,2.5,2.145349,2,34
13,43.1405,66,Male,None,Medium,Immediate,High,0.8403361,2.5,1.918605,2,33
294,43.34037,89,Female,WheelChair,Medium,Lagging,Low,1.02459,2.5,2.215909,2,33
64,43.54036,56,Female,None,Low,Immediate,Low,0.8064516,2.75,2.181818,2,35
135,44.38486,89,Male,None,Medium,Lagging,Low,1.041667,2.75,2.394444,2.25,34
221,44.38486,85,Male,None,High,Immediate,Low,1,2.5,2.277778,2.25,36
300,45.02617,98,Female,None,High,Lagging,Low,1.587302,2.75,2.177778,2,33
219,45.52463,77,Male,None,Low,Lagging,High,0.9259259,2,1.652174,1.25,34
351,45.82528,50,Male,None,Medium,Lagging,Low,0.7843137,2.75,2.521739,2.25,34
320,45.9262,59,Female,None,Medium,Lagging,Low,0.8223684,2.75,2.413043,2.25,32
74,46.37003,35,Female,None,High,Lagging,Medium,0.723589,2.5,2.058511,2,33
299,46.60764,26,Male,None,Medium,Lagging,Low,0.6968641,2.75,2.468085,2.25,34
263,46.60764,75,Male,None,Low,Immediate,Medium,0.9090909,2.25,1.87234,2,34
269,47.20503,64,Female,None,Low,Lagging,Low,0.8368201,2.75,2.340425,2.25,34
12,47.30663,83,Female,None,Low,Lagging,Low,0.9541985,3,2.558511,2.25,34
143,47.80556,52,Female,None,High,Lagging,High,0.7980846,2,1.703125,1.5,35
60,48.00471,64,Female,None,Medium,Immediate,Low,0.8368201,2.75,2.302083,2.25,34
247,48.33908,96,Female,None,High,Immediate,Low,1.388889,2.5,2.015306,1.75,30
157,48.47687,50,Male,None,Medium,Immediate,Low,0.7843137,2.25,1.959184,2,34
133,48.87754,89,Male,None,Low,Lagging,Low,1.041667,2.75,2.454082,2.25,34
95,48.87754,35,Female,None,High,Lagging,High,0.723589,2.5,2.158163,2,36
285,49.07644,31,Male,WheelChair,Medium,Lagging,Low,0.8022463,2.5,2.260204,2,35
323,49.37688,22,Female,None,Medium,Lagging,Low,0.7042254,2.75,2.495,2.5,33
298,49.57642,25,Male,None,High,Lagging,Low,0.6896551,2.75,2.305,2.25,33
228,49.57642,26,Male,None,High,Lagging,High,0.6968641,2.25,1.78,1.75,35
336,50.07784,32,Male,None,Medium,Lagging,Low,0.729927,2.75,2.335,2.25,34
327,51.3963,85,Female,None,High,Lagging,Low,0.9633911,2.75,2.495192,2,31
162,51.3963,70,Male,None,Medium,Immediate,High,0.8695652,2,1.475962,1.5,35
255,51.3963,25,Female,None,High,Lagging,Low,0.7017544,3,2.567308,2.75,35
66,51.61559,48,Male,WheelChair,Medium,Lagging,Low,0.7874016,2.75,2.355769,2.25,33
183,51.91626,43,Female,None,Medium,Immediate,Low,0.7727975,2.75,2.283654,2.25,33
357,52.47583,70,Male,None,Low,Lagging,Low,0.8695652,2.5,2.174528,2,33
174,53.07568,32,Male,None,High,Lagging,Low,0.729927,2.75,2.386792,2,35
155,53.27501,43,Female,None,Medium,Lagging,Low,0.7727975,2.75,2.5,2.25,34
91,53.27501,91,Female,None,Medium,Lagging,Low,1.086957,2.75,2.268868,2.25,34
11,53.37575,51,Female,None,Low,Lagging,High,0.7936508,2.25,1.953704,1.5,32
184,54.07486,48,Male,None,Medium,Immediate,Low,0.7874016,2.75,2.166667,2,33
309,54.39566,83,Female,None,Medium,Lagging,Medium,0.9541985,2.75,2.159091,2,35
348,54.39566,73,Male,None,Medium,Immediate,Medium,0.8928571,2.75,2.172727,2.5,34
104,55.02661,73,Male,None,Low,Lagging,Low,0.8928571,3,2.509091,2.25,35
134,55.22625,77,Female,None,Low,Lagging,Low,0.9225093,3,2.45,2,35
362,55.41253,73,Male,None,Medium,Lagging,Low,0.8928571,2.75,2.15625,1.75,34
281,55.6274,49,Female,None,Low,Immediate,Low,0.7905138,2.75,2.183036,2.25,33
321,55.82844,46,Female,None,High,Lagging,Low,0.7794232,2.5,2.209821,2,34
126,55.92799,98,Female,None,Low,Immediate,Low,1.587302,2.75,2.21875,2.25,35
141,56.45323,83,Male,None,Medium,Lagging,Low,0.9803922,2.5,2.02193,1.75,33
361,56.45323,68,Male,None,Medium,Lagging,Low,0.8547009,3,2.54386,2.25,32
163,57.05231,65,Male,None,Low,Lagging,Medium,0.8333333,2.75,2.416667,2,33
73,57.24833,68,Female,None,High,Lagging,Low,0.8547009,2.5,2.162281,2.25,34
28,57.65142,78,Male,None,Low,Immediate,Low,0.9345794,3,2.75431,2.5,36
57,57.75308,34,Female,None,High,Lagging,Low,0.7215007,2.75,2.327586,2.5,36
84,58.57492,57,Female,None,High,Lagging,Low,0.8116883,2.5,2.152542,2,35
230,58.57492,65,Female,None,High,Lagging,Medium,0.8354219,2.75,2.245763,2.75,34
257,59.8751,48,Female,None,Medium,Immediate,Low,0.7849293,2.5,2.0625,2,34
289,60.37364,34,Male,None,Low,Immediate,Low,0.7462686,2.75,2.028688,2,35
167,60.37364,25,Male,None,Low,Immediate,Low,0.6896551,2.75,1.967213,1.75,36
