20,1.43
21,1.426
22,1.42
23,1.447
24,1.416
25,1.425
26,1.42
27,1.414
28,1.41
29,1.395
30,1.405
31,1.407
32,1.397
33,1.388
34,1.386
35,1.382
36,1.39
37,1.392
38,1.388
39,1.35
40,1.312
41,1.314
42,1.309
43,1.294
44,1.281
45,1.295
46,1.283
47,1.28
48,1.274
49,1.265
50,1.27
51,1.26
52,1.253
53,1.244
54,1.237
55,1.25
56,1.24
57,1.232
58,1.226
59,1.216
60,1.23
61,1.216
62,1.214
63,1.202
64,1.195
65,1.197
66,1.19
67,1.18
68,1.17
69,1.162
70,1.157
71,1.144
72,1.132
73,1.122
74,1.111
75,1.101
76,1.093
77,1.084
78,1.078
79,1.072
80,1.067
81,1.06
82,1.054
83,1.048
84,1.043
85,1.038
86,1.02
87,1
88,0.982
89,0.976
90,0.95
91,0.92
92,0.89
93,0.87
94,0.85
95,0.8
96,0.72
97,0.68
98,0.63
99,0.56
100,0.5
