UniqueID,Time to Evacuate,Age,Gender,Disability,SpatialKnowledge,Observation of Environment,Emergency Training,Initial Stress,Maximum Stress,Average Stress,Stress on Exit,Number of Peers
182,26.61614,43,Male,None,High,Immediate,High,0.7722008,2.25,1.875,1.75,36
39,26.61614,38,Male,None,High,Immediate,Low,0.7662836,3,2.270833,2.25,37
259,31.04444,74,Male,None,High,Immediate,Medium,0.9009009,2,1.793103,1.75,34
172,31.46692,77,Female,None,Low,Immediate,Medium,0.9225093,2.75,2.362069,2.25,36
45,31.54997,48,Male,None,High,Lagging,Medium,0.7874016,2.5,1.991379,2,36
104,31.88239,42,Female,None,High,Immediate,Low,0.7639419,2.75,2.4,2,35
96,33.7775,56,Male,None,Low,Immediate,Low,0.8064516,2.75,2.398438,2.5,35
253,33.7775,79,Female,None,High,Immediate,Low,0.9328358,2.25,1.898438,1.5,34
49,33.7775,41,Female,None,Medium,Lagging,Low,0.761035,2.75,2.328125,2.5,36
333,33.7775,23,Female,None,High,Immediate,High,0.691085,2.5,1.953125,2,35
254,33.7775,55,Female,None,Medium,Immediate,Low,0.8,2.25,2.007813,2,37
34,34.35746,56,Male,None,Low,Lagging,Low,0.8064516,3,2.625,2.25,35
31,35.60672,76,Female,None,Medium,Lagging,Low,0.9149131,2.75,2.568182,2.25,36
151,36.4172,47,Female,None,Low,Immediate,Medium,0.78125,2.25,1.647059,1.75,34
48,36.58663,65,Female,None,High,Lagging,Low,0.8354219,2.75,2.367647,2.5,34
97,36.92437,76,Male,None,Low,Immediate,Low,0.9174312,3,2.471429,2.5,33
38,37.17131,28,Male,None,Low,Lagging,Low,0.7117438,3,2.7,2.5,36
154,37.50425,45,Female,None,High,Immediate,Low,0.7722008,2.5,2.121428,1.75,36
29,37.5864,22,Male,None,High,Lagging,Low,0.6802721,3,2.8,2.25,38
183,37.75134,91,Female,None,Low,Immediate,Low,1.086957,2.75,2.527778,2.5,37
235,38.94088,68,Female,None,High,Immediate,Low,0.8547009,2.75,2.297297,2,37
41,39.01525,72,Female,None,Medium,Lagging,Low,0.8833923,2.75,2.385135,2.5,38
273,40.47249,40,Female,None,High,Immediate,Low,0.7621951,2.5,2.092105,2,37
159,41.13816,32,Female,None,High,Immediate,Medium,0.7158197,2.75,2.128205,2.25,34
138,41.64059,90,Female,None,High,Immediate,Low,1.052632,3,2.608974,2.5,37
30,43.77778,43,Female,None,Medium,Immediate,Medium,0.7727975,2.75,2.214286,2,36
98,43.77778,53,Male,None,High,Lagging,Low,0.8032128,2.75,2.464286,2.5,37
351,45.78945,39,Female,None,Medium,Immediate,Low,0.7407407,2.75,2.556818,2.25,36
137,47.25591,28,Female,None,High,Lagging,Low,0.7092199,2.75,2.438889,2.25,36
362,47.3441,57,Male,None,Medium,Immediate,Low,0.8130081,2.5,1.966667,1.75,38
379,48.28167,49,Male,None,Medium,Immediate,Low,0.7936508,2.25,2.125,2,37
56,48.81362,32,Female,None,Medium,Immediate,Low,0.7158197,2.75,2.324468,2,36
269,49.13068,55,Male,None,High,Immediate,Low,0.8,2.75,2.021277,2.25,37
384,49.80173,81,Male,None,High,Immediate,Low,0.9615385,2.75,2.286458,2,32
134,51.00284,95,Male,None,High,Immediate,Medium,1.25,2.25,1.826531,1.25,37
13,51.66978,39,Female,None,Low,Lagging,Low,0.7407407,2.5,2.33,2,36
136,51.74907,84,Male,None,Medium,Lagging,Low,0.990099,2.75,2.335,2,34
353,52.70663,44,Female,None,Medium,Immediate,Low,0.7806401,2.5,2.019608,2,36
120,53.73613,41,Male,None,Low,Lagging,Medium,0.7604563,2.75,2.451923,2.5,38
140,54.29715,39,Female,None,Low,Lagging,Low,0.7407407,2.5,2.129808,2.25,36
23,54.29715,25,Female,None,High,Lagging,Low,0.7017544,2.75,2.317308,2,37
329,56.25972,81,Male,None,Medium,Lagging,Medium,0.9615385,2.25,2.236111,2.25,34
64,56.25972,72,Female,None,Medium,Immediate,Low,0.8833923,2.75,2.138889,2.25,36
143,57.09414,61,Female,None,High,Lagging,Low,0.8223684,2.75,2.395455,2.5,36
330,57.09414,79,Male,None,Low,Lagging,Low,0.9433963,3,2.736364,2,35
28,57.50787,51,Male,None,Medium,Lagging,Low,0.7905138,2.75,2.372727,2,38
341,57.74588,50,Male,None,High,Lagging,Low,0.7843137,2.5,2.241071,2,37
11,58.26618,39,Female,None,Medium,Lagging,Low,0.7407407,2.5,2.334821,2,35
15,58.68067,41,Female,None,Low,Lagging,Low,0.761035,2.5,2.219298,2,35
258,58.68067,92,Female,None,High,Lagging,Low,1.123595,2.5,2.057018,2,38
346,58.94011,55,Female,None,Medium,Lagging,High,0.8,2.25,1.947368,1.75,37
321,59.34996,84,Male,None,High,Lagging,Low,0.990099,2.75,2.241228,2,35
240,59.43849,27,Male,None,High,Lagging,Low,0.7042254,3,2.5,2,35
268,59.94861,64,Male,None,Medium,Immediate,Low,0.8403361,2.5,2.224138,2,36
331,60.30254,51,Female,None,Medium,Lagging,Low,0.7936508,2.5,2.262931,2.25,38
91,60.38297,28,Female,None,Low,Immediate,Low,0.7092199,3,2.607759,2.25,37
179,61.21959,76,Female,None,High,Lagging,High,0.9149131,2.25,1.983051,1.5,33
10,61.8801,20,Male,None,Medium,Lagging,Medium,0.6666667,2.75,2.4375,2,34
74,62.48896,53,Female,None,High,Lagging,Low,0.8038585,2.75,2.258333,2.25,36
316,62.5741,71,Female,None,Low,Lagging,Low,0.8741258,2.75,2.341667,2.25,38
32,63.61524,92,Male,None,High,Lagging,High,1.136364,2.25,2.090164,1.75,37
326,63.61524,54,Male,None,Medium,Lagging,High,0.8097166,2,1.745902,1.25,36
248,63.74789,34,Male,None,High,Lagging,High,0.7462686,2,1.754032,1.75,36
242,64.67218,64,Female,None,Low,Lagging,Low,0.8368201,3,2.468254,2.25,34
