Time to Evacuate,Age,Gender,Disability,SpatialKnowledge,Observation of Environment,Emergency Training,Initial Stress,Maximum Stress,Average Stress,Stress on Exit,Number of Peers
7.022813,20,Male,None,High,Immediate,Low,0.6666667,2.5,2.25,2.25,32
7.022813,20,Female,None,Low,Immediate,Low,0.6993007,2.75,2.25,2,32
9.009491,42,Male,None,Low,Immediate,Low,0.7662836,2.75,2.277778,2.5,31
12.45188,20,Male,None,Medium,Lagging,Low,0.6666667,3,2.711538,3,30
12.45188,39,Female,None,High,Immediate,Low,0.7407407,3,2.653846,3,33
12.45188,24,Male,None,Medium,Immediate,Low,0.6944444,2.5,2.096154,2.5,30
12.45188,20,Male,None,Medium,Lagging,Low,0.6666667,2.75,2.25,2.5,33
16.07115,20,Male,None,High,Lagging,Low,0.6666667,3,2.617647,2.5,29
19.63302,20,Male,None,Low,Lagging,Low,0.6666667,3,2.6375,2.5,32
19.90729,27,Male,None,Low,Immediate,Low,0.7042254,3,2.440476,2.25,32
22.49371,27,Male,None,Low,Immediate,Low,0.7042254,2.75,2.173913,2.25,30
22.49371,20,Male,None,Low,Immediate,High,0.6666667,2.5,1.978261,2.25,31
22.49371,44,Female,None,Low,Immediate,Low,0.7806401,2.25,2.032609,2,33
23.7226,20,Male,None,Medium,Immediate,Low,0.6666667,2.5,2.0625,2,31
23.7226,20,Female,None,High,Immediate,Low,0.6993007,3,2.40625,2.75,32
24.24429,40,Male,None,Low,Lagging,Low,0.7547169,3,2.48,2.25,30
24.81784,20,Male,None,High,Lagging,Low,0.6666667,3,2.62,2.25,31
24.81784,54,Male,None,Low,Immediate,Low,0.8097166,2.5,2.02,1.75,28
25.04885,20,Female,None,High,Immediate,Low,0.6993007,2.75,2.336538,2,29
25.04885,20,Female,None,Low,Lagging,Low,0.6993007,2.75,2.230769,2.5,32
25.32289,33,Female,None,Low,Immediate,Low,0.7204611,3,2.528846,2.25,32
25.32289,21,Male,None,High,Immediate,Low,0.6734006,2.75,2.134615,2,30
25.72252,34,Female,None,Low,Lagging,Low,0.7215007,3,2.596154,2.25,33
26.59871,20,Female,None,High,Immediate,Low,0.6993007,2.5,1.990741,2,31
27.20093,20,Female,None,Medium,Immediate,Low,0.6993007,2.75,2.267857,2.25,33
27.20093,20,Female,None,High,Lagging,Low,0.6993007,2.75,2.446429,2.25,30
27.43061,20,Female,None,Low,Lagging,Low,0.6993007,2.75,2.446429,2.25,33
29.10155,20,Male,None,Medium,Lagging,Low,0.6666667,2.75,2.35,2,32
29.71918,20,Female,None,High,Immediate,Low,0.6993007,2.75,2.341666,2,28
32.16781,20,Female,None,Medium,Immediate,Low,0.6993007,2.5,2.030303,2,32
32.16781,20,Female,None,Low,Immediate,Low,0.6993007,2.75,2.280303,2.25,31
33.27716,20,Male,None,Low,Lagging,Low,0.6666667,3,2.713236,2.75,33
33.27716,20,Female,None,Medium,Immediate,High,0.6993007,2.25,1.823529,1.75,31
33.27716,46,Female,None,Low,Immediate,Low,0.7794232,2.75,1.963235,1.5,32
33.7581,30,Female,None,High,Lagging,Low,0.7117438,3,2.742647,2.75,31
35.59706,20,Female,None,High,Immediate,Low,0.6993007,2.5,2.041667,2,31
36.19357,29,Male,None,Medium,Lagging,Medium,0.7194245,2.75,2.074325,2,32
36.64138,20,Female,None,High,Immediate,Medium,0.6993007,2.5,1.871621,2,33
37.24979,57,Male,None,Low,Immediate,High,0.8130081,2.25,1.710526,1.25,33
38.45163,20,Female,None,High,Immediate,High,0.6993007,2,1.525641,1.5,33
38.60921,20,Male,None,High,Lagging,Low,0.6666667,2.75,2.621795,2.25,33
38.84596,80,Male,None,High,Lagging,Low,0.952381,3,2.307692,2.25,31
39.84839,20,Female,None,Low,Immediate,High,0.6993007,2,1.66875,1.75,32
39.84839,32,Male,None,Low,Immediate,Low,0.729927,2.75,2.20625,2,31
39.84839,20,Female,None,High,Lagging,Low,0.6993007,2.75,2.4,2.75,30
