Time to Evacuate,Age,Gender
22.73674,40,Male
23.30879,40,Male
23.30879,40,Female
27.10618,40,Female
27.47869,40,Male
27.98694,40,Male
28.11949,40,Male
28.68438,40,Male
29.39547,40,Male
30.20134,40,Male
30.63976,40,Male
30.69403,40,Female
31.15954,40,Male
31.43429,40,Male
31.70881,40,Male
31.84724,40,Female
33.50642,40,Male
33.72427,40,Female
34.37374,40,Female
34.62358,40,Female
35.72271,40,Female
35.80883,40,Female
37.23698,40,Female
38.07486,40,Female
38.75396,40,Male
39.3332,40,Female
39.5262,40,Male
39.9674,40,Male
40.35395,40,Male
40.75166,40,Female
40.953,40,Female
41.56975,40,Female
41.67619,40,Male
42.52652,40,Male
42.99332,40,Male
43.52677,40,Male
43.69366,40,Male
44.85772,40,Female
45.2935,40,Female
46.00755,40,Female
46.21018,40,Male
46.91559,40,Male
47.04544,40,Female
47.27967,40,Male
47.77846,40,Male
48.01551,40,Female
48.0965,40,Female
48.93006,40,Male
49.22854,40,Male
49.49587,40,Female
49.86468,40,Male
50.19596,40,Male
50.58522,40,Male
50.7777,40,Male
51.33376,40,Female
51.47897,40,Female
51.86355,40,Female
52.31584,40,Male
52.93621,40,Male
52.93621,40,Female
53.10381,40,Male
54.91661,40,Female
55.78318,40,Male
62.54795,40,Male
