Time to Evacuate,Age,Gender,Disability,SpatialKnowledge,Observation of Environment,Emergency Training,Initial Stress,Maximum Stress,Average Stress,Stress on Exit,Number of Peers
12.93502,57,Male,None,Medium,Immediate,Low,0.8130081,2.5,2.230769,2.5,65
15.26835,45,Female,None,Low,Immediate,Medium,0.7722008,2.25,2.09375,2,65
17.60168,82,Male,None,Medium,Immediate,Low,0.9708738,2.5,2.277778,2.25,65
22.24423,91,Female,None,Medium,Lagging,Low,1.086957,3,2.684783,2.75,64
22.24423,63,Male,None,Low,Immediate,Medium,0.8333333,2.5,2.065218,2.25,65
24.57757,55,Female,None,High,Immediate,Low,0.8,2.5,2.17,2,65
24.57757,60,Female,None,Medium,Immediate,Low,0.8130081,2.75,2.4,2.75,62
25.9109,33,Female,None,Low,Immediate,Low,0.7204611,2.25,1.961539,2,65
26.52468,58,Male,None,Medium,Immediate,Low,0.8196721,2.25,2.018518,2.25,67
27.42049,61,Male,None,High,Lagging,Low,0.8196721,2.75,2.526786,2,61
27.87209,86,Male,None,High,Immediate,Medium,1.010101,2.5,2.133929,2,66
28.3345,81,Female,None,Medium,Immediate,Low,0.9433963,2.25,1.991379,2,62
31.39783,96,Female,None,High,Immediate,Low,1.388889,2.5,2.195313,1.5,61
32.40979,41,Female,None,Medium,Immediate,Low,0.761035,2.5,2.212121,2.25,65
33.346,34,Male,WheelChair,High,Lagging,Low,0.8291873,3,2.294118,2.25,67
33.346,39,Female,None,Low,Immediate,Medium,0.7407407,2,1.705883,2,63
34.03704,22,Male,None,Low,Immediate,Low,0.6802721,2.75,2.385714,2.5,66
35.12145,87,Female,None,Medium,Immediate,Low,1,2.25,2,1.75,69
35.12145,61,Male,None,High,Immediate,Medium,0.8196721,2.25,1.840278,1.75,65
35.85057,38,Male,None,Low,Lagging,Low,0.7662836,2.75,2.354167,2.25,64
36.88245,25,Female,None,Medium,Immediate,Low,0.7017544,2.5,2.168919,2.25,68
37.31609,82,Female,None,Medium,Immediate,Low,0.9487666,2.5,2.144737,2.25,64
38.26923,65,Male,None,Medium,Immediate,Low,0.8333333,2.25,1.76282,1.5,70
38.26923,83,Female,None,Low,Immediate,Low,0.9541985,2.5,2.275641,2.25,65
38.86367,44,Female,None,High,Immediate,Low,0.7806401,2.25,1.974359,2,65
38.86367,52,Female,None,Low,Immediate,Low,0.7980846,3,2.506411,2.25,63
38.86367,43,Male,None,Low,Immediate,Medium,0.7722008,2.25,1.871795,2,69
38.86367,25,Male,None,Medium,Immediate,Low,0.6896551,2.5,2.083333,1.75,67
39.47852,84,Female,None,Medium,Immediate,Low,0.9587728,2.5,1.85,2,66
39.69027,65,Male,None,High,Immediate,Medium,0.8333333,2.25,2.075,2,69
41.3753,83,Male,None,High,Immediate,Low,0.9803922,2.5,1.892857,1.5,67
41.3753,86,Female,None,Medium,Immediate,Low,0.9803922,2.25,1.785714,1.5,67
41.3753,27,Male,WheelChair,Low,Immediate,Low,0.7824726,2.75,2.315476,2.5,68
45.24943,66,Male,None,Low,Immediate,Low,0.8403361,2.5,2.016304,2,67
45.33941,52,Female,None,Low,Immediate,High,0.7980846,2,1.711956,1.75,65
45.83933,90,Female,None,High,Lagging,Medium,1.052632,2.5,2.108696,1.75,65
48.01326,24,Female,None,Low,Immediate,High,0.7062147,2.25,1.703125,1.75,61
48.9626,64,Female,None,Low,Lagging,Low,0.8368201,2.5,2.244898,2.25,68
51.43758,96,Female,None,High,Immediate,Low,1.388889,2.25,2.014424,2,68
51.43758,98,Male,None,Medium,Immediate,Medium,1.298701,2.5,1.990384,2.25,68
52.30983,81,Male,None,Low,Immediate,Low,0.9615385,2.5,2.070755,2.25,62
53.07154,85,Male,None,Medium,Immediate,Medium,1,2.5,2.083334,2.25,65
53.07154,29,Male,None,High,Lagging,High,0.7194245,2.25,2.092593,2,66
53.45123,41,Female,None,Medium,Lagging,Low,0.761035,2.5,2.143519,2,67
53.45123,69,Female,None,High,Immediate,High,0.8605852,2.25,2.013889,2.25,61
53.59084,58,Female,None,Low,Immediate,Low,0.8156607,2.5,2.125,2,65
54.25521,62,Female,None,Low,Lagging,Low,0.8237233,2.75,2.3,2.5,67
54.92522,59,Female,None,High,Lagging,Low,0.8223684,2.25,2.163636,1.5,66
55.52498,52,Female,None,Medium,Lagging,Low,0.7980846,2.5,2.263393,2.25,66
55.81881,72,Male,None,High,Lagging,Medium,0.8849558,2.25,1.848214,1.25,64
55.89885,88,Female,None,Low,Lagging,Low,1.01833,2.75,2.410714,2,64
56.28438,22,Male,None,Medium,Lagging,High,0.6802721,2.25,1.837719,1,65
56.70124,99,Female,None,High,Immediate,Low,1.785714,2.5,2.122807,2.25,65
