Time to Evacuate,Age,Gender,Disability,SpatialKnowledge,Observation of Environment,Emergency Training,Initial Stress,Maximum Stress,Average Stress,Stress on Exit,Number of Peers
11.53358,24,Male,None,Low,Immediate,Low,0.6944444,1.25,0.9583333,1,62
13.12097,50,Female,None,Medium,Immediate,Low,0.7874016,1.25,0.8214286,0.75,62
13.48183,56,Female,None,Medium,Immediate,Low,0.8064516,1.25,1.035714,1.25,61
14.5904,61,Male,None,High,Immediate,Low,0.8196721,1.25,0.8166667,0.75,62
15.68746,66,Female,None,High,Immediate,Low,0.8403361,1.25,1.15625,1.25,60
19.435,44,Male,None,Low,Immediate,Medium,0.7782102,1.5,1.45,1.5,63
19.91768,35,Male,None,High,Immediate,Low,0.7407407,1.25,1.125,1.25,64
21.69112,60,Male,None,Low,Immediate,High,0.8130081,1.75,1.5,1.5,60
21.69112,72,Female,None,High,Immediate,Medium,0.8833923,1.5,1.340909,1.5,61
22.26318,24,Female,None,High,Immediate,Low,0.7062147,1.25,1.021739,1,62
22.58291,73,Female,None,High,Immediate,Low,0.8912656,1.25,0.9565217,1,61
22.6637,46,Male,None,Medium,Immediate,Medium,0.7751938,1.5,1.26087,1,60
23.80491,22,Male,None,High,Lagging,Low,0.6802721,1.5,1.03125,1,61
24.35721,22,Male,None,High,Immediate,Low,0.6802721,1.25,1.14,1,62
25.33034,49,Male,None,Medium,Immediate,Low,0.7936508,1.25,1.076923,1.25,63
25.68371,92,Male,WheelChair,High,Immediate,Low,1.262626,1.25,0.8461539,0.75,62
25.72472,68,Female,None,High,Immediate,Low,0.8547009,1.25,1.019231,1,64
25.88386,22,Female,None,Medium,Lagging,Low,0.7042254,1.25,1.038461,1,65
25.94415,53,Female,None,High,Immediate,High,0.8038585,1.75,1.490384,1.5,59
26.04508,68,Female,None,High,Immediate,Low,0.8547009,1.75,1.361111,1.5,62
26.34449,72,Female,None,Medium,Lagging,Low,0.8833923,1.5,0.9351852,0.75,62
27.13323,85,Female,None,Medium,Immediate,Medium,0.9633911,1.5,1.053571,1,62
27.97792,44,Female,None,High,Lagging,Low,0.7806401,1.5,1.035714,1,60
28.19205,42,Female,None,High,Immediate,Low,0.7639419,1.25,1.017241,1,65
