Time to Evacuate,Age,Gender,Disability,SpatialKnowledge,Observation of Environment
57.08981,25,Female,None,Low,Lagging
57.08981,94,Female,None,Medium,Immediate
57.21815,55,Female,None,Medium,Lagging
57.42884,43,Female,None,High,Lagging
57.42884,44,Male,None,High,Lagging
57.42884,46,Female,None,High,Lagging
57.55142,39,Female,None,High,Lagging
57.885,40,Male,None,Medium,Lagging
58.09307,29,Male,None,High,Lagging
58.22771,71,Female,None,Medium,Lagging
58.22771,40,Female,None,Medium,Immediate
58.22771,29,Male,None,High,Immediate
58.73404,37,Male,None,Low,Immediate
58.73404,45,Female,None,Medium,Lagging
58.86725,42,Female,None,Low,Immediate
58.86725,34,Female,None,Low,Immediate
59.07154,20,Male,None,High,Lagging
59.07154,20,Female,None,Low,Lagging
59.2122,97,Male,None,Low,Lagging
59.59101,56,Male,None,High,Immediate
59.59101,45,Male,None,Medium,Lagging
59.9255,74,Female,None,High,Immediate
59.9255,59,Female,None,High,Lagging
60.2573,45,Male,None,High,Lagging
60.3838,54,Male,None,High,Lagging
60.3838,79,Male,None,Low,Lagging
60.59105,20,Male,None,Medium,Lagging
60.93857,77,Male,None,High,Lagging
60.93857,92,Male,None,High,Lagging
61.26324,24,Male,WakingStick,High,Lagging
61.60777,31,Female,None,High,Lagging
61.60777,46,Female,None,Medium,Immediate
61.92448,21,Male,None,High,Lagging
61.92448,25,Male,None,Medium,Immediate
61.92448,69,Female,None,Medium,Lagging
62.04399,48,Female,WheelChair,Medium,Immediate
62.60892,36,Male,None,High,Lagging
62.60892,31,Male,None,High,Immediate
62.60892,68,Female,None,Medium,Lagging
63.22564,77,Female,None,Low,Immediate
63.42975,71,Male,None,Low,Immediate
63.77642,98,Male,None,Medium,Lagging
63.77642,69,Male,None,Low,Immediate
63.77642,29,Female,None,Medium,Immediate
63.9209,95,Male,None,High,Lagging
64.42638,76,Male,None,Low,Lagging
64.42638,32,Male,None,High,Lagging
64.42638,30,Male,None,High,Lagging
64.42638,47,Female,None,High,Lagging
64.55274,30,Male,None,Medium,Immediate
64.76601,21,Female,None,Low,Lagging
64.76601,31,Male,None,Low,Lagging
65.214,93,Female,None,High,Lagging
65.42516,25,Female,WheelChair,Low,Immediate
65.55432,30,Female,None,High,Lagging
65.55432,93,Male,None,Medium,Immediate
65.55432,82,Female,None,Low,Lagging
65.76957,99,Male,None,Low,Immediate
66.09393,44,Female,None,High,Lagging
66.09393,33,Male,None,Medium,Lagging
66.21877,24,Male,None,Medium,Lagging
66.21877,58,Male,None,High,Lagging
66.43863,76,Male,None,Medium,Immediate
66.43863,26,Female,None,Low,Lagging
66.77373,61,Male,None,Low,Lagging
66.9019,29,Female,None,High,Lagging
67.10856,48,Female,None,Low,Immediate
67.23789,70,Male,None,Medium,Lagging
67.23789,96,Male,None,High,Lagging
67.43444,25,Male,None,Low,Lagging
67.43444,84,Female,None,Medium,Lagging
67.56556,33,Male,None,Medium,Lagging
67.56556,71,Female,None,High,Lagging
67.90919,36,Male,None,Low,Lagging
67.90919,22,Female,None,Medium,Lagging
68.09617,57,Female,WheelChair,Low,Lagging
68.22988,56,Female,None,Low,Immediate
68.45392,75,Male,None,Low,Lagging
68.60636,93,Female,None,Medium,Lagging
68.60636,96,Female,None,High,Lagging
69.39991,29,Male,None,High,Lagging
69.75249,91,Male,None,Medium,Lagging
69.75249,49,Male,None,Medium,Immediate
69.75249,83,Female,None,Low,Lagging
69.95436,64,Male,None,High,Lagging
70.09806,43,Male,None,Low,Lagging
70.22002,95,Female,None,High,Lagging
70.4304,95,Female,None,High,Immediate
70.4304,58,Male,None,Medium,Lagging
70.4304,43,Male,None,High,Lagging
70.4304,85,Male,None,Low,Immediate
70.77117,29,Male,None,Low,Lagging
70.77117,23,Female,None,High,Lagging
70.77117,60,Male,WakingStick,High,Lagging
70.8988,24,Female,None,Low,Lagging
70.8988,47,Female,WheelChair,High,Lagging
71.49091,79,Male,None,Medium,Immediate
71.49091,45,Female,None,High,Lagging
71.63907,28,Male,None,High,Lagging
71.93938,48,Male,None,High,Lagging
71.93938,20,Male,None,Medium,Lagging
71.93938,36,Male,None,Medium,Lagging
71.93938,33,Female,None,High,Lagging
72.27809,39,Female,None,Low,Immediate
72.40833,74,Female,None,Medium,Lagging
72.40833,44,Male,None,Medium,Lagging
72.94259,69,Male,None,Medium,Lagging
72.94259,78,Male,None,High,Immediate
72.94259,20,Male,None,Medium,Lagging
73.2746,82,Female,None,High,Lagging
73.40138,36,Male,None,Medium,Lagging
73.40138,63,Male,None,Low,Lagging
73.61096,53,Female,None,Medium,Lagging
73.93105,50,Female,None,Low,Lagging
73.93105,46,Female,None,Low,Lagging
74.05517,38,Male,None,Low,Lagging
74.27061,21,Female,None,Low,Lagging
74.39622,53,Male,None,Low,Lagging
74.60326,41,Female,None,High,Lagging
74.60326,58,Male,None,High,Lagging
74.94067,91,Male,None,High,Lagging
74.94067,45,Male,None,High,Lagging
75.06989,61,Female,None,Low,Immediate
75.06989,89,Female,None,Low,Lagging
75.26405,66,Female,None,Low,Immediate
75.3924,89,Male,None,Low,Lagging
75.60094,94,Male,None,High,Lagging
75.60094,50,Male,None,High,Lagging
75.60094,28,Female,None,Medium,Immediate
75.7297,36,Male,None,Low,Lagging
75.93677,90,Male,None,Medium,Immediate
75.93677,50,Female,None,High,Lagging
76.0724,86,Male,None,Medium,Immediate
76.0724,25,Male,None,High,Lagging
76.26099,46,Male,None,Low,Lagging
76.38787,80,Female,None,High,Lagging
76.38787,41,Female,None,Low,Lagging
76.6109,37,Female,None,Low,Immediate
76.6109,51,Female,None,High,Lagging
76.6109,39,Male,None,Low,Lagging
76.74048,43,Female,None,High,Lagging
76.74048,61,Male,None,Low,Immediate
77.06023,71,Male,None,Medium,Lagging
77.27826,27,Male,None,Medium,Lagging
77.40823,92,Male,None,High,Lagging
77.40823,59,Female,None,Medium,Immediate
77.40823,62,Female,None,High,Lagging
77.61797,45,Female,None,Medium,Lagging
77.92876,67,Female,None,Low,Lagging
78.10552,35,Male,None,Medium,Immediate
78.22683,25,Female,None,Low,Lagging
78.22683,96,Female,None,Low,Lagging
78.22683,96,Female,None,High,Lagging
78.22683,44,Male,None,Low,Lagging
78.4268,52,Male,None,Low,Lagging
78.55772,51,Male,None,Low,Lagging
78.77032,26,Male,None,Low,Lagging
78.77032,21,Male,None,Medium,Immediate
79.11865,68,Male,None,Medium,Immediate
79.41956,38,Female,None,Medium,Lagging
79.59252,69,Female,None,High,Lagging
79.77296,21,Female,None,Medium,Immediate
79.77296,80,Male,None,High,Lagging
79.89131,69,Female,None,Low,Lagging
79.89131,95,Male,None,Low,Immediate
80.23914,34,Male,None,Low,Lagging
80.23914,27,Male,None,Low,Lagging
80.4241,86,Male,None,Medium,Lagging
80.54741,50,Female,None,Low,Lagging
80.76183,88,Male,None,High,Lagging
80.89641,53,Male,None,Medium,Lagging
80.89641,40,Female,None,Low,Lagging
80.89641,58,Female,None,High,Immediate
81.11076,35,Female,None,High,Lagging
81.11076,32,Female,None,High,Lagging
81.23604,96,Female,None,Medium,Immediate
81.44082,80,Male,None,High,Lagging
81.56252,22,Male,None,Medium,Lagging
81.76533,25,Male,None,Low,Lagging
81.76533,28,Female,None,High,Immediate
81.89063,58,Female,None,High,Immediate
81.89063,24,Female,None,Low,Immediate
82.21755,20,Male,None,Low,Lagging
82.44064,96,Female,None,High,Immediate
82.44064,62,Female,None,Low,Lagging
82.44064,86,Female,None,Low,Immediate
82.76644,58,Female,None,Medium,Lagging
82.76644,53,Male,None,Low,Lagging
82.88755,63,Female,None,Low,Immediate
83.23475,27,Male,None,High,Lagging
83.23475,96,Female,None,Medium,Lagging
