Time to Evacuate,Age,Gender,Disability,SpatialKnowledge,Observation of Environment
8.021951,20,Female,None,Medium,Immediate
15.06157,81,Male,None,Medium,Immediate
15.06157,52,Male,None,High,Immediate
15.26183,40,Female,None,High,Immediate
16.06343,60,Male,None,High,Immediate
18.29872,70,Female,None,High,Immediate
18.82031,25,Female,None,Medium,Immediate
19.81873,79,Female,None,Medium,Immediate
20.31685,50,Female,None,Low,Immediate
20.55009,23,Male,None,Low,Immediate
21.54662,56,Female,None,Low,Immediate
22.81474,28,Female,None,High,Immediate
24.80763,78,Male,None,High,Lagging
24.80763,22,Male,None,Medium,Immediate
24.80763,84,Male,None,Medium,Immediate
25.55448,32,Male,None,Low,Immediate
25.8146,85,Female,None,High,Immediate
25.8146,70,Female,None,Medium,Immediate
26.3242,46,Male,None,Low,Lagging
29.81231,60,Male,None,Low,Immediate
30.06321,82,Male,None,High,Immediate
30.56719,48,Female,None,High,Immediate
30.56719,75,Female,None,High,Immediate
31.04462,38,Female,None,High,Lagging
31.04462,29,Male,None,High,Immediate
31.25942,75,Male,None,Low,Immediate
31.25942,57,Female,None,High,Immediate
31.84729,39,Male,None,Low,Immediate
32.31717,45,Male,None,High,Immediate
32.8151,49,Female,None,High,Immediate
32.8151,23,Female,None,Medium,Immediate
33.53971,62,Female,None,High,Immediate
33.74737,46,Male,None,High,Immediate
34.54954,54,Female,None,Low,Lagging
34.54954,67,Male,None,Medium,Immediate
34.54954,88,Female,None,Low,Immediate
35.05059,74,Male,None,High,Immediate
35.05059,54,Male,None,High,Lagging
36.16713,67,Male,None,Medium,Immediate
36.16713,74,Female,None,High,Lagging
38.31762,49,Female,None,Medium,Lagging
38.79844,38,Male,None,High,Lagging
39.06106,31,Female,None,Low,Immediate
39.06106,37,Female,None,Low,Lagging
39.06106,63,Male,None,High,Lagging
39.55965,25,Female,None,Medium,Lagging
40.08068,38,Male,None,Medium,Lagging
40.38962,29,Male,None,Medium,Immediate
40.38962,65,Male,None,Low,Immediate
41.57264,29,Female,None,Medium,Lagging
43.30991,78,Male,None,Low,Lagging
