Time to Evacuate,Age,Gender,Disability,SpatialKnowledge,Observation of Environment
12.98311,75,Male,None,High,Immediate
14.49283,28,Female,None,High,Immediate
16.27773,60,Female,None,Low,Immediate
20.63674,30,Female,None,High,Immediate
20.63674,28,Male,None,Medium,Immediate
20.63674,67,Female,None,Medium,Immediate
23.20012,26,Female,None,Medium,Immediate
23.20012,26,Male,None,High,Immediate
23.20012,91,Female,None,High,Immediate
26.05846,48,Male,None,High,Immediate
26.05846,45,Female,None,High,Immediate
26.05846,62,Male,None,High,Immediate
26.05846,37,Female,None,Medium,Immediate
29.15326,53,Male,None,Medium,Immediate
29.15326,23,Male,None,Medium,Immediate
29.15326,26,Male,None,High,Immediate
29.15326,77,Female,None,High,Immediate
32.4297,45,Female,None,Medium,Immediate
32.4297,37,Male,None,High,Immediate
32.4297,29,Female,None,High,Immediate
35.76303,35,Female,None,High,Immediate
35.76303,70,Male,None,High,Immediate
35.76303,65,Female,None,Medium,Immediate
39.09636,24,Male,WheelChair,Low,Immediate
39.09636,76,Male,None,High,Immediate
39.09636,82,Female,None,High,Immediate
40.76303,46,Female,None,High,Immediate
42.15984,71,Male,None,High,Immediate
42.50036,58,Female,None,Medium,Immediate
42.92125,56,Male,None,Medium,Immediate
43.07774,75,Female,WakingStick,Medium,Immediate
43.66383,48,Male,None,Medium,Immediate
45.12533,50,Male,None,Medium,Immediate
45.24298,93,Male,None,High,Immediate
45.73657,67,Female,None,Low,Immediate
46.35982,24,Female,None,High,Immediate
46.86022,26,Female,None,High,Immediate
46.86022,80,Male,None,High,Immediate
47.80461,91,Male,None,High,Immediate
47.94515,48,Female,None,High,Immediate
48.22959,94,Female,None,High,Immediate
48.50904,37,Female,None,High,Immediate
48.6453,70,Female,None,High,Immediate
48.90713,76,Male,None,High,Immediate
49.44376,50,Female,None,Medium,Immediate
49.57307,31,Female,None,Low,Immediate
49.57307,48,Female,None,Low,Immediate
49.82311,87,Male,None,High,Immediate
50.36338,53,Male,None,High,Immediate
