Time to Evacuate,Age,Gender
26.65229,60,Male
26.80397,60,Male
28.99809,60,Female
29.26944,60,Male
29.9695,60,Female
30.50364,60,Female
31.13643,60,Male
31.98844,60,Male
33.44238,60,Female
33.59005,60,Male
34.40803,60,Male
34.79069,60,Female
34.95845,60,Female
35.64224,60,Female
36.12388,60,Male
36.12388,60,Male
36.22262,60,Female
36.79157,60,Female
38.09068,60,Male
38.2765,60,Female
38.74296,60,Female
40.79028,60,Female
41.74199,60,Female
41.8573,60,Female
42.47501,60,Male
42.84155,60,Female
43.30884,60,Male
43.64061,60,Male
44.10978,60,Male
44.74199,60,Female
44.8404,60,Female
45.29348,60,Female
45.47538,60,Female
46.62401,60,Female
47.47712,60,Male
47.65891,60,Female
48.3006,60,Female
49.02089,60,Female
49.18328,60,Male
49.70325,60,Female
50.10245,60,Female
50.33771,60,Female
50.50246,60,Female
50.59998,60,Female
50.90406,60,Male
51.58371,60,Male
52.30057,60,Male
52.90256,60,Male
53.65429,60,Male
54.03487,60,Female
54.70023,60,Female
55.4032,60,Female
56.73653,60,Female
57.10162,60,Female
57.53468,60,Male
58.10257,60,Female
58.97145,60,Male
61.15018,60,Male
62.10146,60,Female
63.10103,60,Male
63.57016,60,Male
64.46735,60,Male
65.08342,60,Male
67.80135,60,Female
