Time to Evacuate,Age,Gender,Disability,SpatialKnowledge,Observation of Environment
9.775622,38,Female,None,Low,Immediate
13.12616,29,Female,None,Low,Immediate
13.40831,29,Male,None,High,Immediate
15.27608,47,Female,None,Medium,Immediate
16.87288,73,Female,None,High,Immediate
17.00809,31,Female,None,Medium,Immediate
18.74267,44,Female,None,High,Immediate
21.97203,23,Male,None,High,Immediate
21.98796,85,Female,None,High,Immediate
22.3546,86,Male,None,High,Lagging
23.80479,35,Female,None,High,Immediate
24.0557,68,Male,None,High,Immediate
24.38788,44,Female,None,Low,Immediate
25.15518,35,Female,None,Medium,Lagging
25.75444,43,Female,None,Low,Lagging
26.23739,91,Male,None,Low,Lagging
26.87119,36,Male,None,Low,Immediate
27.45577,35,Male,None,High,Lagging
27.65632,35,Male,None,Low,Lagging
28.38605,39,Female,None,Medium,Immediate
28.71773,67,Female,None,High,Lagging
29.15332,34,Male,None,High,Immediate
29.32199,57,Female,None,Medium,Immediate
29.48687,35,Male,None,Low,Immediate
29.73716,26,Male,None,High,Lagging
29.82071,78,Male,None,High,Immediate
30.49104,67,Female,None,Low,Immediate
30.82001,70,Female,None,High,Immediate
31.56907,78,Male,None,Medium,Immediate
31.56907,31,Male,None,High,Immediate
31.56907,43,Female,None,Low,Lagging
31.98972,26,Female,None,High,Lagging
32.06543,20,Male,None,Medium,Lagging
32.15276,47,Male,None,Medium,Immediate
32.82087,61,Male,None,High,Immediate
33.40253,39,Male,None,Medium,Lagging
33.98678,30,Female,None,High,Lagging
34.82491,83,Male,None,High,Lagging
34.98714,78,Male,None,Medium,Lagging
35.15615,94,Male,WakingStick,Medium,Lagging
35.2395,46,Female,None,Low,Lagging
35.32056,57,Female,None,Low,Lagging
35.73666,75,Female,None,Medium,Lagging
36.15696,63,Female,None,High,Lagging
36.23113,90,Male,None,Medium,Lagging
36.40359,66,Male,None,Medium,Immediate
36.64928,21,Male,None,Low,Lagging
36.81591,52,Female,None,Low,Immediate
37.33168,44,Male,None,Low,Immediate
37.48858,76,Male,None,Medium,Lagging
37.99088,88,Female,None,Low,Lagging
37.99088,89,Female,None,Low,Immediate
37.99088,27,Male,None,Medium,Immediate
38.90074,27,Female,None,Low,Lagging
38.98672,27,Male,None,High,Lagging
38.98672,66,Male,None,High,Immediate
38.98672,86,Male,None,High,Lagging
39.57318,48,Male,None,Medium,Lagging
39.65197,46,Male,None,High,Immediate
39.65197,91,Male,None,High,Immediate
39.81275,46,Female,None,Medium,Immediate
40.32365,47,Male,None,High,Immediate
40.56945,52,Female,None,Low,Lagging
40.73304,72,Male,None,Low,Lagging
41.48727,46,Male,None,Medium,Immediate
41.65169,48,Male,None,High,Lagging
41.82386,80,Male,None,Medium,Lagging
42.32134,48,Male,None,Low,Lagging
42.56921,82,Female,None,Medium,Lagging
42.56921,24,Male,None,Low,Lagging
42.90633,37,Male,None,Low,Immediate
42.90633,79,Male,None,Medium,Lagging
43.1579,80,Male,None,Medium,Lagging
43.32392,47,Male,None,Low,Lagging
43.48713,32,Female,None,Medium,Lagging
43.57185,58,Male,None,Low,Lagging
43.73588,20,Male,None,Low,Lagging
43.90211,90,Female,None,High,Immediate
43.98822,89,Female,None,High,Immediate
44.23769,54,Female,None,High,Lagging
44.57311,61,Female,None,Medium,Lagging
44.57311,87,Male,None,High,Lagging
44.81623,69,Female,None,High,Lagging
44.90259,47,Female,None,High,Lagging
45.82209,91,Male,None,Low,Immediate
45.82209,47,Female,None,High,Lagging
46.15669,22,Female,None,Low,Lagging
46.15669,66,Female,None,High,Lagging
46.40114,65,Male,None,Low,Lagging
46.48578,61,Male,None,Low,Lagging
46.74105,62,Female,None,Medium,Lagging
46.81511,34,Female,None,Medium,Lagging
46.81511,28,Male,None,High,Lagging
47.23819,64,Male,None,High,Immediate
47.32008,21,Female,None,Medium,Lagging
47.49052,77,Female,None,High,Immediate
47.49052,81,Male,None,High,Lagging
48.06743,29,Male,None,High,Lagging
48.40713,87,Female,None,High,Lagging
48.56295,31,Male,None,High,Lagging
