Time to Evacuate,Age,Gender,Disability,SpatialKnowledge,Observation of Environment,Emergency Training,Initial Stress,Maximum Stress,Average Stress,Stress on Exit,Number of Peers
11.2677,50,Male,None,Medium,Immediate,Medium,0.7843137,1.2,1.05,1.2,54
13.43231,40,Female,None,Low,Immediate,Low,0.7621951,0.8,0.8,0.8,55
16.17327,50,Female,None,High,Immediate,Medium,0.7874016,1,1,1,57
17.26572,69,Female,None,Medium,Immediate,Low,0.8605852,0.8,0.8,0.8,55
17.84414,51,Male,None,High,Immediate,Low,0.7905138,1,0.8111111,1,56
18.50327,41,Female,None,High,Immediate,Low,0.761035,0.8,0.8,0.8,55
18.61837,51,Male,None,Medium,Immediate,Low,0.7905138,0.8,0.6947369,0.6,56
19.47007,47,Male,None,Medium,Immediate,High,0.78125,1.2,1.2,1.2,56
20.14103,41,Male,None,Medium,Immediate,Medium,0.7604563,1,0.9428571,0.8,56
21.08891,40,Female,None,High,Immediate,Low,0.7621951,0.8,0.7090909,0.8,56
21.25439,54,Female,None,Medium,Lagging,Low,0.8084074,1,1,1,56
21.25439,58,Male,None,Medium,Immediate,Low,0.8196721,0.8,0.8,0.8,55
21.48172,40,Female,None,High,Immediate,Low,0.7621951,1,0.9,1,56
21.99574,76,Female,None,High,Immediate,Medium,0.9149131,1.2,1.2,1.2,58
22.35305,46,Male,WheelChair,High,Immediate,Low,0.8613265,0.8,0.7565218,0.8,53
23.09659,49,Male,None,Medium,Immediate,Low,0.7936508,0.8,0.775,0.8,56
23.09659,80,Female,None,Medium,Immediate,Low,0.9372071,0.8,0.8,0.8,54
23.78048,42,Male,None,High,Immediate,Low,0.7662836,1,0.9083333,1,57
23.92115,41,Male,None,Low,Lagging,High,0.7604563,1.6,1.25,1.2,56
24.03745,61,Female,WheelChair,High,Immediate,Low,0.9137427,0.8,0.672,0.6,54
24.16599,45,Female,None,High,Lagging,Low,0.7722008,1,0.984,1,55
24.19994,46,Male,None,Medium,Immediate,Low,0.7751938,1,0.848,1,56
24.31236,73,Female,None,Medium,Immediate,Medium,0.8912656,1.2,1.2,1.2,58
24.67557,61,Female,None,Low,Lagging,Low,0.8223684,1.2,0.8000001,0.8,55
25.10137,67,Female,None,High,Immediate,Low,0.8474576,1.2,0.8769231,1,55
25.10137,55,Female,WakingStick,Medium,Immediate,High,0.9411765,1.4,1.3,1.4,56
25.56341,40,Male,None,Medium,Lagging,Low,0.7547169,1,0.8692308,1,53
25.59975,67,Female,None,Medium,Immediate,Medium,0.8474576,1,1,1,53
25.70562,54,Male,None,Medium,Immediate,Low,0.8097166,0.8,0.8,0.8,55
25.81352,54,Male,None,High,Lagging,Low,0.8097166,0.8,0.8,0.8,56
26.24509,67,Female,None,Low,Immediate,Low,0.8474576,1,0.9407408,0.8,56
26.28547,63,Male,None,High,Immediate,Medium,0.8333333,1,0.8592592,0.8,56
26.58675,70,Male,None,Medium,Immediate,Low,0.8695652,1,0.7777778,0.8,55
27.09562,62,Female,None,Medium,Lagging,Low,0.8237233,1,1,1,56
27.09562,43,Male,WheelChair,Medium,Immediate,Low,0.8580009,0.8,0.7428572,0.6,53
27.09562,68,Male,None,High,Immediate,Low,0.8547009,0.8,0.7142857,0.6,56
