Time to Evacuate,Age,Gender,Disability,SpatialKnowledge,Observation of Environment,Emergency Training,Initial Stress,Maximum Stress,Average Stress,Stress on Exit,Number of Peers
6.766743,55,Male,None,High,Immediate,High,0.8,2.25,1.714286,1.5,34
12.74574,62,Female,None,High,Immediate,Low,0.8237233,2.5,2.057692,2.5,33
12.74574,44,Female,None,High,Immediate,Low,0.7806401,2.25,2.035714,2.25,33
13.95367,97,Male,None,High,Lagging,Low,1.282051,2.75,2.285714,2.5,35
13.95367,50,Male,None,Low,Immediate,Low,0.7843137,2.75,2.35,2.75,33
15.71882,33,Male,None,Medium,Lagging,Low,0.7380074,3,2.5625,2.25,31
16.66566,61,Female,None,Medium,Immediate,Low,0.8223684,2.75,2.308824,2.25,34
16.66566,52,Male,None,Medium,Immediate,Low,0.7968128,2.5,2.308824,2,33
17.36781,20,Female,None,Medium,Lagging,Low,0.6993007,2.75,2.416667,2.25,33
17.36781,69,Male,None,High,Immediate,Low,0.862069,2.75,2.138889,2,31
18.82245,26,Female,None,High,Lagging,Low,0.7042254,2.75,2.236842,2,35
19.32879,94,Female,None,Low,Lagging,Low,1.176471,2.75,2.45,2.5,33
19.32879,32,Male,None,Medium,Immediate,Low,0.729927,2.75,2.25,2,34
21.758,73,Female,None,High,Immediate,High,0.8912656,2.25,1.602273,1.75,34
21.758,64,Female,None,Medium,Lagging,Low,0.8368201,3,2.443182,2.25,32
21.758,23,Male,None,Low,Lagging,Low,0.6872852,3,2.534091,2.75,33
22.12116,75,Male,None,Low,Immediate,Medium,0.9090909,2.5,2.108696,2.25,33
23.42915,62,Male,None,High,Immediate,Low,0.8264462,3,2.5,2.75,30
23.93065,82,Male,None,Medium,Lagging,Low,0.9708738,2.75,2.385417,2.25,33
24.02939,24,Male,None,Low,Immediate,High,0.6944444,2.5,2.08,2,31
26.62444,83,Female,None,Low,Immediate,Low,0.9541985,2.75,2.314815,2,34
28.79101,47,Female,None,High,Lagging,Low,0.78125,2.75,2.543103,2.5,33
31.40512,23,Female,None,High,Lagging,Low,0.691085,2.75,2.617187,2.25,35
31.40512,32,Male,None,High,Immediate,Low,0.729927,2.5,2.195312,2.25,35
31.70225,42,Female,None,High,Immediate,Low,0.7639419,2.75,2.164063,1.5,35
32.30987,66,Female,None,High,Immediate,Low,0.8403361,2.5,2.212121,2.5,32
32.60842,78,Male,None,Low,Immediate,High,0.9345794,2.25,1.742424,1.75,32
33.21659,69,Male,None,Low,Immediate,Low,0.862069,2.5,2.272059,2.5,35
33.51128,83,Male,None,Medium,Immediate,Low,0.9803922,2.75,2.264706,2.5,32
33.61012,44,Female,None,Medium,Immediate,Low,0.7806401,2.5,2.117647,2.25,34
34.52408,78,Female,None,Medium,Immediate,Medium,0.9276438,2.25,1.857143,1.75,34
34.62529,29,Male,None,Medium,Immediate,Low,0.7194245,2.75,2.421429,2.25,33
35.12461,34,Male,None,High,Lagging,Low,0.7462686,2.75,2.548611,2.5,35
35.5255,22,Male,None,High,Lagging,Medium,0.6802721,2.75,2.284722,1.75,33
35.62667,86,Female,WheelChair,High,Immediate,Low,1.089325,3,2.368056,2.25,35
36.36517,84,Male,None,High,Immediate,Medium,0.990099,2.5,2.02027,1.5,32
36.46695,56,Female,None,High,Immediate,Low,0.8064516,2.75,2.148648,2,35
36.46695,31,Female,None,High,Immediate,High,0.7107321,2,1.47973,1.25,34
37.16447,79,Male,None,High,Immediate,Medium,0.9433963,2.75,2.230263,2.25,34
37.16447,77,Female,None,Low,Immediate,Medium,0.9225093,2.25,1.730263,1.75,33
37.2642,58,Female,None,High,Lagging,Low,0.8156607,2.75,2.157895,1.75,34
37.8652,46,Male,None,High,Lagging,Low,0.7751938,2.75,2.467105,2,33
38.89579,70,Male,None,Low,Immediate,Medium,0.8695652,2.5,1.775641,1.5,32
38.99732,21,Female,None,High,Lagging,Low,0.7012623,3,2.5,2.25,33
39.29398,44,Female,None,Medium,Lagging,Low,0.7806401,2.5,2.3,2.5,32
39.49455,88,Male,None,Medium,Immediate,Medium,1.030928,2.5,1.875,2,33
39.69555,64,Male,None,Low,Immediate,Medium,0.8403361,2.5,2.05,2,33
