Time to Evacuate,Age,Gender,Disability,SpatialKnowledge,Observation of Environment,Emergency Training,Initial Stress,Maximum Stress,Average Stress,Stress on Exit,Number of Peers
5.537561,26,Male,None,Low,Immediate,Low,0.6968641,2.25,2.083333,2.25,74
11.95505,28,Male,None,Medium,Immediate,Low,0.7117438,2.25,2.208333,2,77
12.60831,54,Female,None,Medium,Lagging,Low,0.8084074,2.75,2.288461,2,72
16.08744,44,Female,None,High,Lagging,Low,0.7806401,2.75,2.338235,2.25,73
17.31371,38,Male,None,High,Immediate,Low,0.7662836,2.5,2.111111,2,69
17.6734,20,Male,None,High,Immediate,Low,0.6666667,2.75,2.152778,2,69
17.92419,25,Male,None,High,Immediate,Low,0.6896551,3,2.458333,2.75,73
19.47637,22,Male,None,Medium,Immediate,High,0.6802721,1.75,1.5125,1.5,75
21.6105,66,Male,None,High,Immediate,Low,0.8403361,2.75,2.261364,2.5,70
23.41717,39,Female,None,Medium,Immediate,Low,0.7407407,2.5,1.958333,2.25,72
24.0912,46,Male,None,High,Immediate,Low,0.7751938,2.5,1.92,2,73
24.48518,81,Male,WakingStick,Low,Immediate,Low,1.131222,2.5,2.2,2,74
24.65549,79,Male,None,Medium,Immediate,High,0.9433963,2,1.57,1.75,76
25.15767,53,Female,None,High,Immediate,Low,0.8038585,2.25,1.711539,2,73
25.33281,21,Male,None,High,Immediate,High,0.6734006,2,1.605769,1.25,69
26.09639,69,Female,None,High,Immediate,Low,0.8605852,2.25,1.740741,1.5,69
26.76728,88,Male,None,Medium,Lagging,Low,1.030928,2.75,2.333333,2,71
27.78566,30,Female,None,Medium,Lagging,Low,0.7117438,2.75,2.455357,2.5,74
29.56665,30,Male,None,Low,Immediate,Low,0.7142857,2.5,1.825,1.75,77
30.19409,73,Female,None,Low,Immediate,Medium,0.8912656,2.25,1.91129,2,74
31.19409,96,Female,None,High,Immediate,Low,1.388889,2.25,1.96875,1.75,72
31.64141,80,Female,None,High,Immediate,Low,0.9372071,2.5,2.023438,2,71
31.8599,41,Male,None,High,Immediate,High,0.7604563,2.25,2.007813,2,71
