Time to Evacuate,Age,Gender,Disability,SpatialKnowledge,Observation of Environment,Initial Stress,Maximum Stress,Average Stress,Stress on Exit,Number of Peers
0,43,Male,None,Low,Lagging,0.7722008,0,0,0.2,133
0,66,Female,None,Medium,Lagging,0.8403361,0,0,0.2,132
0,49,Male,None,Medium,Immediate,0.7936508,0,0,0.2,125
0,72,Female,None,Medium,Immediate,0.8833923,0,0,0.2,133
4.077565,30,Female,None,Medium,Immediate,0.7117438,0,0,0.6,127
9.016157,93,Male,None,High,Immediate,1.149425,0,0,1,130
13.82096,50,Female,None,High,Immediate,0.7874016,0,0,0.8,128
13.82096,25,Male,None,High,Immediate,0.6896551,0,0,1,128
13.82096,38,Male,None,Medium,Immediate,0.7662836,0,0,0.4,132
13.82096,87,Male,None,High,Immediate,1.020408,0,0,1,131
14.72169,78,Male,None,High,Immediate,0.9345794,0,0,0.6,128
15.72457,90,Male,None,Low,Immediate,1.111111,0,0,0.4,134
16.75227,59,Female,None,Low,Immediate,0.8223684,0,0,0.8,131
17.15387,43,Female,None,High,Immediate,0.7727975,0,0,1,129
17.68276,30,Female,None,Medium,Immediate,0.7117438,0,0,0.6,137
17.68276,33,Male,None,High,Lagging,0.7380074,0,0,0.6,126
18.70665,26,Male,None,Medium,Immediate,0.6968641,0,0,0.6,132
19.07348,57,Female,None,High,Lagging,0.8116883,0,0,0.6,131
19.07348,26,Male,None,Medium,Immediate,0.6968641,0,0,0.8,134
19.07348,62,Male,None,High,Immediate,0.8264462,0,0,0.6,130
20.40682,78,Female,WakingStick,Medium,Immediate,1.091346,0,0,0.4,129
20.67301,74,Male,None,Low,Immediate,0.9009009,0,0,0.6,130
20.70686,37,Male,None,Medium,Lagging,0.7575758,0,0,0.4,128
21.21151,25,Female,None,Medium,Lagging,0.7017544,0,0,0.4,132
21.21151,60,Female,None,Low,Immediate,0.8130081,0,0,0.4,134
21.253,78,Female,None,Medium,Immediate,0.9276438,0,0,0.4,134
21.33624,31,Female,None,High,Immediate,0.7107321,0,0,0.8,129
21.95276,68,Male,None,High,Immediate,0.8547009,0,0,0.6,132
22.08164,83,Female,None,Medium,Immediate,0.9541985,0,0,0.6,128
22.28674,54,Male,None,High,Lagging,0.8097166,0,0,0.6,134
22.75285,61,Female,None,High,Lagging,0.8223684,0,0,0.6,124
23.08618,54,Male,WheelChair,High,Lagging,0.8996851,0,0,0.4,136
23.69164,52,Female,None,High,Lagging,0.7980846,0,0,0.6,130
23.93377,83,Male,None,Low,Lagging,0.9803922,0,0,0.6,123
24.06416,66,Female,None,Medium,Immediate,0.8403361,0,0,0.6,133
24.06416,78,Male,None,High,Immediate,0.9345794,0,0,0.6,128
24.56852,65,Male,None,High,Immediate,0.8333333,0,0,0.6,128
25.0853,40,Male,None,Low,Lagging,0.7547169,0,0,0.8,130
25.0853,42,Female,None,High,Lagging,0.7639419,0,0,0.4,131
25.24595,92,Female,None,Medium,Immediate,1.123595,0,0,0.6,128
25.24595,28,Female,None,High,Immediate,0.7092199,0,0,0.6,129
25.70432,94,Male,None,Medium,Lagging,1.162791,0,0,0.4,129
25.72187,39,Female,None,High,Lagging,0.7407407,0,0,0.4,132
25.72187,46,Male,None,Low,Lagging,0.7751938,0,0,0.6,129
25.92389,39,Male,WheelChair,High,Lagging,0.8613265,0,0,0.6,133
25.92389,32,Male,WakingStick,Low,Lagging,0.8587376,0,0,0.8,122
26.06871,55,Female,None,Low,Lagging,0.8,0,0,0.4,132
26.12528,38,Female,None,Low,Immediate,0.7204611,0,0,0.4,124
26.20888,26,Female,None,Low,Lagging,0.7042254,0,0,0.6,133
26.25784,50,Male,None,High,Lagging,0.7843137,0,0,0.6,133
26.30831,40,Female,None,Low,Lagging,0.7621951,0,0,0.6,133
26.42594,68,Male,None,High,Immediate,0.8547009,0,0,0.6,132
26.59122,45,Female,None,High,Lagging,0.7722008,0,0,0.4,132
27.07469,74,Female,None,High,Lagging,0.90009,0,0,0.4,128
27.26379,72,Male,None,Low,Immediate,0.8849558,0,0,1,131
27.29777,68,Male,None,High,Lagging,0.8547009,0,0,0.6,123
27.39567,72,Female,None,Low,Lagging,0.8833923,0,0,0.6,129
27.44798,65,Male,None,Medium,Immediate,0.8333333,0,0,0.6,127
27.63171,84,Female,None,High,Lagging,0.9587728,0,0,0.8,122
27.73078,56,Female,None,Low,Lagging,0.8064516,0,0,1,133
28.07491,75,Male,None,High,Lagging,0.9090909,0,0,0.6,129
28.2965,31,Female,None,Medium,Lagging,0.7107321,0,0,0.6,128
28.54538,89,Male,None,High,Lagging,1.041667,0,0,0.6,134
28.69544,54,Male,None,High,Lagging,0.8097166,0,0,0.4,129
29.07987,52,Female,None,Low,Lagging,0.7980846,0,0,0.6,130
29.07987,88,Male,None,Medium,Immediate,1.030928,0,0,0.4,130
29.26209,89,Male,None,Medium,Immediate,1.041667,0,0,0.4,125
29.26209,55,Male,None,High,Lagging,0.8,0,0,0.6,132
29.57256,33,Male,None,Medium,Immediate,0.7380074,0,0,0.4,129
29.91211,51,Male,None,Low,Lagging,0.7905138,0,0,0.6,135
29.91211,77,Male,None,Low,Lagging,0.9259259,0,0,0.6,134
30.06698,38,Female,None,Low,Lagging,0.7204611,0,0,0.6,131
30.06698,92,Male,None,Medium,Immediate,1.136364,0,0,0.4,129
30.12242,23,Female,None,High,Immediate,0.691085,0,0,0.6,131
30.15628,81,Male,None,High,Immediate,0.9615385,0,0,0.4,137
30.32303,29,Female,None,Medium,Immediate,0.7168459,0,0,0.6,128
30.65712,68,Male,None,Low,Immediate,0.8547009,0,0,0.8,127
30.72308,67,Female,WheelChair,High,Lagging,0.9416196,0,0,0.6,128
30.73979,91,Male,None,High,Lagging,1.123595,0,0,0.6,137
31.24944,65,Male,None,Low,Lagging,0.8333333,0,0,0.6,127
31.34192,80,Female,None,Medium,Lagging,0.9372071,0,0,0.8,130
31.39163,25,Male,WheelChair,High,Lagging,0.7662835,0,0,0.8,131
31.47478,84,Female,None,High,Immediate,0.9587728,0,0,0.6,127
31.47478,63,Female,None,Medium,Immediate,0.8319467,0,0,0.6,133
31.67424,78,Female,None,High,Lagging,0.9276438,0,0,0.4,126
31.67424,59,Male,WheelChair,Medium,Lagging,0.9182736,0,0,1,135
31.90665,38,Female,None,Medium,Immediate,0.7204611,0,0,0.6,128
32.07234,79,Male,None,Medium,Lagging,0.9433963,0,0,0.8,130
32.2938,45,Female,None,Low,Immediate,0.7722008,0,0,0.6,127
32.42658,79,Male,WakingStick,Low,Immediate,1.109878,0,0,0.4,128
32.51026,37,Male,None,Medium,Lagging,0.7575758,0,0,0.4,136
32.54264,22,Male,None,Medium,Lagging,0.6802721,0,0,0.8,129
