Time to Evacuate,Age,Gender,Disability,SpatialKnowledge,Observation of Environment,Emergency Training,Initial Stress,Maximum Stress,Average Stress,Stress on Exit,Number of Peers
20.65614,59,Male,None,Low,Immediate,Low,0.8264462,3,2.488096,2.25,67
28.65614,66,Female,None,Medium,Immediate,Medium,0.8403361,2.25,1.862069,1.75,66
32.65614,80,Male,WheelChair,Low,Immediate,Low,1.058201,2.75,2.409091,2.25,56
32.65614,28,Female,None,Medium,Immediate,Low,0.7092199,3,2.522727,2.5,66
36.65614,27,Male,None,Medium,Immediate,Medium,0.7042254,2.5,2.094595,2.5,65
40.65614,27,Male,None,Low,Immediate,Low,0.7042254,2.75,2.134147,2,60
44.65614,27,Female,None,High,Immediate,Low,0.7072136,3,2.377778,2.25,67
44.65614,93,Female,None,High,Immediate,Medium,1.149425,2.5,2.066667,2,55
44.65614,44,Female,None,Low,Immediate,Low,0.7806401,2.5,2.105556,1.75,64
44.65614,71,Female,None,High,Immediate,High,0.8741258,2.25,1.538889,1.5,64
44.65614,27,Male,None,Low,Immediate,Low,0.7042254,2.25,1.844445,2,63
48.65614,43,Female,None,Medium,Immediate,Medium,0.7727975,2.25,1.862245,2.25,61
52.65614,84,Female,None,High,Immediate,Low,0.9587728,2.75,2.188679,2,63
52.65614,24,Female,None,High,Immediate,Low,0.7062147,2.5,1.971698,2.5,64
56.65614,87,Male,None,Low,Immediate,Low,1.020408,3,2.394737,2.25,62
56.65614,48,Male,None,Low,Immediate,Low,0.7874016,2.75,2.100878,2,63
64.65614,29,Male,None,Low,Immediate,Low,0.7194245,3,2.473077,2.5,63
68.65614,72,Male,None,Low,Immediate,Low,0.8849558,2.75,2.188406,1.75,66
68.65614,70,Female,None,Medium,Immediate,Low,0.8643043,2.5,2.061594,1.5,65
68.65614,54,Male,None,High,Immediate,Low,0.8097166,2.5,2.003623,2,64
71.96966,94,Male,None,High,Immediate,Medium,1.162791,2.5,1.96875,2,61
75.35934,31,Female,None,Low,Immediate,Low,0.7107321,2.75,2.082237,2,56
75.66541,98,Female,None,High,Immediate,High,1.587302,1.75,1.700658,1.5,61
76.53075,52,Female,None,High,Immediate,Low,0.7980846,3,2.623377,2.5,60
76.53075,32,Male,None,High,Immediate,High,0.729927,2.25,1.983766,1.75,64
77.49944,39,Female,None,Low,Immediate,Low,0.7407407,3,2.40064,2.5,61
83.36597,32,Female,None,High,Immediate,Medium,0.7158197,2.5,2.151785,1.75,60
83.51873,99,Female,None,Low,Immediate,High,1.785714,2.5,1.892857,1.75,61
84.46471,57,Female,None,High,Immediate,Low,0.8116883,2.25,2.185294,2.25,64
86.24953,20,Male,None,Low,Immediate,Medium,0.6666667,2.75,2.137931,2.25,65
86.71842,88,Male,None,High,Immediate,Low,1.030928,2.5,2.011495,2,62
87.39375,82,Male,None,Medium,Immediate,High,0.9708738,2.25,1.784091,1.75,61
87.63927,20,Female,None,High,Lagging,Low,0.6993007,2.5,2.196023,1.75,60
89.35799,77,Female,None,Medium,Lagging,High,0.9225093,2.25,2.158334,1.75,62
89.40316,37,Male,None,Low,Immediate,Low,0.7575758,2.5,2.225,2,61
90.47122,39,Male,WakingStick,High,Lagging,Low,0.9119928,2.75,2.458791,2,62
91.72954,34,Male,None,High,Lagging,Medium,0.7462686,2.75,2.535326,2.25,63
91.77834,99,Female,None,High,Immediate,High,1.785714,2.25,2.0625,1.25,60
92.43729,26,Female,None,High,Lagging,High,0.7042254,2.5,2.344086,2.25,60
92.43729,21,Female,None,High,Immediate,Low,0.7012623,2.25,2.169355,2,62
92.52453,38,Male,None,Medium,Lagging,Low,0.7662836,2.25,2.180107,2,67
92.60167,26,Male,None,Medium,Lagging,Low,0.6968641,2.25,2.013441,2.25,67
93.27068,80,Female,None,Low,Immediate,Low,0.9372071,3,2.417554,2.5,63
93.40728,83,Male,None,High,Lagging,Low,0.9803922,2.75,2.640957,2,63
93.40728,90,Female,None,High,Lagging,Medium,1.052632,2.25,2.146277,2.25,64
93.83309,22,Female,None,Medium,Immediate,Low,0.7042254,2.75,2.587766,2.5,63
93.96748,47,Male,None,High,Lagging,Low,0.78125,2.25,2.135639,2.25,65
94.47691,94,Male,None,Low,Lagging,Medium,1.162791,2,1.952632,1.75,65
94.47691,72,Female,None,Medium,Lagging,Low,0.8833923,2.75,2.313158,1.75,62
94.78307,26,Male,None,High,Lagging,Medium,0.6968641,2.25,1.973684,2.25,61
94.8969,49,Male,None,High,Lagging,Low,0.7936508,3,2.473684,2,65
95.18451,90,Male,None,High,Lagging,High,1.111111,2.25,1.968749,1.5,65
95.4687,47,Male,None,Low,Lagging,Medium,0.78125,2.5,2.200521,2.25,65
96.58473,89,Female,None,Low,Lagging,Medium,1.02459,2.5,2.324742,1.5,56
