Time to Evacuate,Age,Gender,Disability,SpatialKnowledge,Observation of Environment,Emergency Training,Initial Stress,Maximum Stress,Average Stress,Stress on Exit,Number of Peers
11.53938,69,Male,None,Low,Immediate,Low,0.862069,2.5,2.229167,2,32
14.0953,64,Female,None,High,Immediate,Low,0.8368201,3,2.533333,2.25,31
14.58973,29,Male,None,Medium,Immediate,Low,0.7194245,2.75,2.166667,2,32
22.24882,39,Male,None,High,Lagging,Low,0.7751938,3,2.815217,2.75,31
22.24882,76,Male,None,Low,Immediate,Low,0.9174312,2.75,2.445652,2.5,32
22.99528,46,Female,None,High,Immediate,Low,0.7794232,2.75,2.293478,2.5,29
24.27771,85,Male,None,Medium,Immediate,High,1,2.25,1.85,1.75,32
24.52108,56,Male,None,Medium,Lagging,Low,0.8064516,2.75,2.6,2.25,30
24.64538,38,Female,None,High,Immediate,Medium,0.7204611,2.75,2.3,2,32
25.62399,34,Male,None,Medium,Immediate,Low,0.7462686,2.5,1.971154,1.75,30
31.4232,72,Male,None,High,Lagging,Low,0.8849558,3,2.65625,2.25,32
32.44238,37,Male,None,Medium,Immediate,High,0.7575758,2.25,1.909091,2,30
32.44238,34,Male,None,Medium,Lagging,Low,0.7462686,2.75,2.310606,2.25,30
32.94029,39,Male,None,Medium,Lagging,Low,0.7751938,3,2.462121,2,32
32.94029,62,Male,None,High,Immediate,Low,0.8264462,2.75,2.265152,2.25,33
33.33922,21,Male,None,Medium,Immediate,Medium,0.6734006,2.75,2.205882,1.5,32
35.54403,59,Female,None,Medium,Immediate,Medium,0.8223684,2.75,2.25,2,31
35.8563,57,Female,None,High,Lagging,Low,0.8116883,3,2.881944,2.5,29
36.16198,81,Male,None,Medium,Lagging,Low,0.9615385,3,2.682432,2.5,32
36.92591,45,Male,None,Medium,Immediate,Medium,0.7692308,2.5,1.932432,2,31
37.08569,45,Male,None,High,Immediate,Medium,0.7692308,2.5,2.072369,1.75,31
38.64644,95,Male,None,Medium,Immediate,Medium,1.25,2.5,2.26282,2.25,31
41.44973,20,Male,None,High,Immediate,Low,0.6666667,2.75,2.398809,2.5,32
41.44973,46,Male,None,High,Lagging,Low,0.7751938,2.75,2.404762,2.5,32
41.44973,70,Male,None,Medium,Lagging,Low,0.8695652,2.75,2.523809,1.75,29
42.21033,32,Female,None,High,Lagging,Low,0.7158197,2.75,2.104651,2.25,31
43.61318,35,Male,None,Low,Lagging,Low,0.7407407,3,2.556818,2.5,33
43.99485,74,Female,None,High,Lagging,Low,0.90009,2.5,2.159091,2,33
44.28085,64,Female,None,High,Immediate,Low,0.8368201,3,2.561111,2.5,32
44.77227,87,Female,None,High,Lagging,Low,1,2.5,2.227777,2.25,33
45.17712,33,Male,WheelChair,Medium,Lagging,Low,0.8200082,2.75,2.309783,2.25,31
45.17712,42,Female,None,High,Immediate,High,0.7639419,2,1.652174,1.75,33
45.62576,21,Male,None,Low,Immediate,Low,0.6734006,2.75,2,2,32
46.47524,91,Male,None,Medium,Lagging,Low,1.123595,2.5,2.175532,1.5,32
46.47524,63,Female,None,Medium,Lagging,Low,0.8319467,2.75,2.361702,2.25,31
46.47524,53,Female,None,Medium,Lagging,Low,0.8038585,2.75,2.420213,2.25,32
46.47524,39,Female,WheelChair,High,Lagging,Low,0.8230453,2.25,2.079787,2,32
47.28809,76,Male,None,High,Immediate,Low,0.9174312,2.25,1.984375,2,30
48.14594,30,Female,None,High,Lagging,Low,0.7117438,2.75,2.178571,1.75,30
48.501,99,Male,None,High,Immediate,Low,1.315789,2.75,2.035714,1.75,31
48.501,62,Female,None,High,Lagging,Low,0.8237233,2.75,2.443878,2.5,30
48.90436,50,Male,None,High,Lagging,Low,0.7843137,3,2.663265,2.5,33
49.26308,89,Male,None,Medium,Lagging,Low,1.041667,2.75,2.47,2,32
49.59414,85,Male,None,Low,Immediate,Low,1,2.75,2.38,2.5,32
50.14653,65,Male,None,High,Lagging,Low,0.8333333,2.75,2.254902,2.25,33
51.47986,33,Male,None,Medium,Lagging,Medium,0.7380074,2.75,2.158654,1.75,32
51.47986,53,Male,None,Medium,Lagging,Medium,0.8032128,2.5,2.206731,2.25,28
51.47986,58,Female,None,Low,Lagging,Low,0.8156607,2.5,2.331731,2.5,29
51.47986,50,Male,None,High,Lagging,Low,0.7843137,2.5,2.259616,2,31
51.47986,32,Female,None,High,Immediate,High,0.7158197,2.5,1.807692,2,30
51.47986,45,Female,WheelChair,Low,Lagging,Medium,0.8580009,2.75,2.293269,2.5,30
51.47986,32,Male,None,Low,Lagging,Low,0.729927,2.75,2.495192,2.25,33
