Time to Evacuate,Age,Gender,,,,,,,,,,,
78.27584,78,Female,,,,,,,,,,,
78.34404,43,Female,,,,,,,,,,,
78.77612,85,Female,,,,,,,,,,,
78.89265,92,Female,,,,,,,,,,,
79.32954,73,Female,,,,,,,,,,,
79.32954,88,Female,,,,,,,,,,,
79.41264,75,Female,,,,,,,,,,,
79.99493,77,Female,,,,,,,,,,,
80.59425,44,Female,,,,,,,,,,,
80.7298,59,Female,,,,,,,,,,,
81.12715,52,Female,,,,,,,,,,,
81.84325,68,Female,,,,,,,,,,,
82.26184,34,Female,,,,,,,,,,,
82.54717,25,Female,,,,,,,,,,,
82.91093,57,Male,,,,,,,,,,,
83.31214,95,Female,,,,,,,,,,,
83.71194,48,Male,,,,,,,,,,,
86.01098,97,Female,,,,,,,,,,,
86.59461,77,Female,,,,,,,,,,,
87.29339,74,Female,,,,,,,,,,,
87.9106,30,Male,,,,,,,,,,,
88.27631,43,Female,,,,,,,,,,,
89.09463,70,Female,,,,,,,,,,,
89.5943,97,Female,,,,,,,,,,,
90.61055,81,Female,,,,,,,,,,,
91.39459,89,Female,,,,,,,,,,,
92.70985,68,Female,,,,,,,,,,,
93.70959,70,Female,,,,,,,,,,,
93.70959,91,Female,,,,,,,,,,,
93.79676,88,Female,,,,,,,,,,,
93.99642,95,Female,,,,,,,,,,,
94.36004,84,Female,,,,,,,,,,,
94.79442,90,Female,,,,,,,,,,,
96.88308,85,Female,,,,,,,,,,,
96.88308,28,Male,,,,,,,,,,,
97.56128,59,Female,,,,,,,,,,,
97.87575,87,Female,,,,,,,,,,,
106.4163,75,Female,,,,,,,,,,,
112.9139,77,Female,,,,,,,,,,,
119.5486,98,Female,,,,,,,,,,,
124.1637,95,Female,,,,,,,,,,,
133.9331,79,Female,,,,,,,,,,,
144.7118,99,Male,,,,,,,,,,,
