Time to Evacuate,Age,Gender,Disability,SpatialKnowledge,Observation of Environment,Emergency Training,Initial Stress,Maximum Stress,Average Stress,Stress on Exit,Number of Peers
14.38839,65,Female,None,High,Immediate,Low,0.8354219,1,0,1,70
14.6374,23,Male,None,Low,Immediate,Low,0.6872852,1,0,1,64
20.72598,85,Male,None,Medium,Immediate,Low,1,1,0,0.8,64
22.79038,24,Female,None,Low,Immediate,Low,0.7062147,1,0,1,63
23.32377,33,Male,None,High,Lagging,Low,0.7380074,1.2,0,1,65
24.24925,21,Male,None,Low,Immediate,Low,0.6734006,1,0,0.8,64
25.3067,24,Male,None,Low,Immediate,Low,0.6944444,1,0,0.8,62
26.05964,21,Male,None,High,Immediate,Low,0.6734006,1,0,0.8,62
26.40782,26,Female,None,High,Immediate,Medium,0.7042254,1.4,0,1,65
27.50231,21,Female,None,Medium,Lagging,Low,0.7012623,1,0,0.6,66
28.20834,47,Male,None,Medium,Lagging,Low,0.78125,1,0,0.8,67
28.41006,29,Male,None,High,Immediate,Low,0.7194245,1,0,1,63
28.74724,68,Female,None,High,Immediate,Low,0.8547009,1.2,0,0.6,65
29.14356,51,Male,None,High,Lagging,Low,0.7905138,1.4,0,0.8,62
29.14356,36,Female,None,Medium,Immediate,Low,0.7194245,1,0,0.8,63
30.03655,59,Female,None,Medium,Immediate,Medium,0.8223684,1.2,0,0.8,62
30.67107,45,Male,None,High,Lagging,Low,0.7692308,1.2,0,0.6,67
30.85086,95,Male,None,High,Lagging,Low,1.25,1.4,0,0.8,66
31.14037,21,Female,None,Medium,Immediate,Low,0.7012623,1.2,0,0.8,69
31.47198,55,Female,None,High,Lagging,Low,0.8,1.2,0,0.8,67
31.60223,43,Female,None,Low,Immediate,Low,0.7727975,1,0,0.6,65
31.66722,74,Male,None,High,Lagging,Low,0.9009009,1.2,0,0.6,66
31.67955,62,Female,None,Medium,Lagging,Low,0.8237233,1.2,0,0.6,69
32.2093,24,Male,None,Low,Lagging,Low,0.6944444,1,0,0.8,63
32.38452,41,Male,None,High,Lagging,Low,0.7604563,1.4,0,0.8,68
32.43245,66,Male,None,Medium,Immediate,Low,0.8403361,1,0,0.6,63
32.68577,33,Female,None,High,Lagging,Low,0.7204611,1.2,0,1,66
32.86854,23,Male,None,Medium,Lagging,High,0.6872852,1.6,0,1.4,65
33.09412,41,Female,None,Low,Lagging,Low,0.761035,1,0,0.6,57
