Time to Evacuate,Age,Gender,Disability,SpatialKnowledge,Observation of Environment,Emergency Training,Initial Stress,Maximum Stress,Average Stress,Stress on Exit,Number of Peers
41.33945,99,Male,None,Medium,Lagging,Low,1.315789,1.2,0.9428572,0.8,66
41.49144,58,Female,None,Medium,Immediate,Low,0.8156607,1.2,1.014286,1,66
41.49144,69,Female,None,Low,Lagging,Low,0.8605852,1.2,0.8571428,0.6,74
41.826,66,Male,WheelChair,High,Immediate,Low,0.9337067,1,0.7761906,0.8,68
42.23726,73,Female,None,High,Lagging,High,0.8912656,1.4,1.130233,1,69
42.41464,80,Female,None,Low,Lagging,Low,0.9372071,1,0.6744187,0.6,70
42.77814,56,Female,None,High,Lagging,Low,0.8064516,1.2,0.8000001,0.8,71
42.93337,41,Male,None,High,Lagging,Low,0.7604563,1,0.7534883,0.8,70
43.00647,40,Male,None,High,Lagging,Low,0.7547169,1,0.7363636,0.6,70
43.10495,79,Female,None,Medium,Immediate,Low,0.9328358,1,0.7909091,0.6,71
43.71698,44,Male,None,High,Lagging,Low,0.7782102,1.2,0.8318182,0.8,71
44.22288,80,Female,None,High,Immediate,Low,0.9372071,1,0.7466667,0.6,70
44.36354,96,Female,None,High,Lagging,Low,1.388889,1,0.8444445,0.8,67
44.36354,51,Male,None,Medium,Lagging,High,0.7905138,1.6,1.208889,1.2,67
44.51296,39,Male,None,Medium,Lagging,Low,0.7751938,1,0.7911112,0.8,69
44.51296,66,Female,None,High,Lagging,Low,0.8403361,1.2,0.9244444,0.8,71
44.69427,25,Male,None,High,Lagging,Low,0.6896551,1.2,0.8800001,0.8,69
45.11172,71,Male,None,High,Lagging,Low,0.877193,1,0.8608696,0.8,67
45.91141,28,Female,None,Low,Lagging,Medium,0.7092199,1.4,1.043478,0.8,70
45.91141,66,Male,None,High,Immediate,Low,0.8403361,1.2,0.8217391,0.8,69
45.91141,44,Female,None,High,Immediate,Medium,0.7806401,1.2,0.9869565,1,65
46.19696,45,Male,WakingStick,Medium,Lagging,Low,0.9049774,1,0.8000001,0.8,70
46.76443,39,Male,None,Medium,Lagging,Low,0.7751938,1,0.706383,0.6,71
47.67678,90,Male,None,Medium,Lagging,Low,1.111111,1.2,0.8375001,0.8,75
47.67678,73,Female,None,Medium,Lagging,Low,0.8912656,1,0.8541667,1,67
47.67678,56,Male,WheelChair,High,Lagging,High,0.8960573,1.6,1.291667,1.2,67
48.59322,44,Female,None,High,Lagging,Low,0.7806401,1.2,0.8571429,0.8,70
48.59322,58,Male,None,Medium,Lagging,Low,0.8196721,1,0.8285714,0.8,69
49.95738,30,Female,None,Medium,Lagging,Low,0.7117438,1.4,1.032,0.8,68
49.95738,23,Female,None,Medium,Immediate,Medium,0.691085,1.2,0.984,1,67
50.34574,33,Male,None,Medium,Lagging,Low,0.7380074,1.2,0.8431375,0.6,63
50.34574,72,Male,None,Medium,Lagging,Low,0.8849558,1,0.7803922,0.8,68
50.34574,51,Male,None,Medium,Lagging,Medium,0.7905138,1.4,1.066667,1,65
51.00835,54,Female,None,Medium,Lagging,Low,0.8084074,1.2,0.8923077,0.8,69
51.2803,86,Female,None,High,Lagging,Medium,0.9803922,1.4,1.092308,1,64
51.2803,41,Female,None,High,Lagging,Low,0.761035,1,0.6846154,0.6,74
52.08883,53,Female,None,Medium,Immediate,Low,0.8038585,1,0.8641509,1,69
52.08883,96,Female,None,Low,Lagging,Low,1.388889,1.2,0.8452833,0.8,70
52.08883,87,Female,None,High,Immediate,Low,1,1.2,0.8528302,0.8,67
52.08883,94,Male,None,High,Lagging,Low,1.162791,1.2,0.8754717,1,66
52.08883,80,Male,None,Low,Immediate,Low,0.952381,1,0.6981133,0.6,67
52.63133,49,Female,WheelChair,Low,Lagging,Low,0.8783487,1.2,0.9849055,1,69
52.63133,66,Female,None,High,Lagging,Low,0.8403361,1.4,0.9622642,0.6,69
52.63133,60,Female,None,High,Lagging,Medium,0.8130081,1.4,1.064151,1,68
52.63133,87,Female,WakingStick,High,Lagging,Low,1.176471,1,0.7547171,0.8,67
52.63133,63,Male,None,High,Lagging,Medium,0.8333333,1.4,1.143396,1,62
52.63133,83,Male,None,High,Lagging,Low,0.9803922,1.2,0.7207547,0.6,70
53.02647,48,Female,None,High,Lagging,Low,0.7849293,1,0.6592593,0.6,70
53.02647,75,Male,None,High,Lagging,Low,0.9090909,1,0.8296295,0.8,65
53.46382,24,Female,None,Medium,Lagging,Low,0.7062147,1.4,0.8777778,0.6,67
53.46382,56,Male,None,Medium,Lagging,Low,0.8064516,1,0.811111,0.8,72
54.20134,76,Female,None,Medium,Lagging,Low,0.9149131,1.2,0.8436365,0.8,70
54.20134,73,Male,None,Medium,Lagging,Low,0.8928571,1.2,0.8836364,0.8,72
54.20134,37,Male,None,High,Lagging,Low,0.7575758,1.2,0.8727273,0.8,66
54.20134,57,Male,None,High,Lagging,Medium,0.8130081,1.2,0.9199998,1.2,69
54.69461,90,Female,None,High,Lagging,Low,1.052632,1,0.6800001,0.6,69
54.69461,42,Female,None,High,Lagging,Medium,0.7639419,1.4,1.029091,1,68
54.69461,54,Female,None,High,Lagging,Low,0.8084074,1,0.7018181,0.6,71
54.93787,25,Male,None,Medium,Lagging,Low,0.6896551,1,0.7963638,0.8,73
55.18027,82,Female,None,Medium,Lagging,High,0.9487666,1.6,1.225,1.6,73
55.18027,62,Male,None,High,Lagging,Low,0.8264462,1.2,0.9142857,0.8,67
55.18027,51,Male,None,Low,Immediate,High,0.7905138,1.4,1.289285,1.4,69
55.96651,45,Female,None,Low,Lagging,Low,0.7722008,1,0.6999999,0.6,70
55.96651,58,Female,None,High,Lagging,Low,0.8156607,1,0.6892858,0.6,66
55.96651,90,Male,None,Medium,Lagging,Low,1.111111,1.2,0.7857144,0.6,70
55.96651,68,Female,None,High,Immediate,High,0.8547009,1.4,1.196491,1.4,68
56.36837,26,Male,None,High,Immediate,Medium,0.6968641,1.2,0.9508772,1,72
56.36837,56,Female,None,High,Lagging,Low,0.8064516,1.4,0.9614035,0.8,72
56.36837,83,Male,None,High,Lagging,Low,0.9803922,1,0.7473685,0.6,70
56.36837,50,Female,None,Low,Lagging,Low,0.7874016,1.2,0.8491228,0.8,68
57.00108,53,Female,None,Medium,Lagging,Low,0.8038585,1.2,0.877193,0.8,72
57.00108,46,Male,None,Low,Lagging,Low,0.7751938,1.2,0.7964913,1,69
57.2281,40,Female,None,Low,Lagging,Low,0.7621951,1,0.8275862,0.8,71
57.2281,42,Male,None,Medium,Lagging,High,0.7662836,1.6,1.172414,1.2,66
58.28304,56,Female,None,High,Lagging,Low,0.8064516,1,0.8474576,0.8,67
58.28304,42,Female,None,High,Lagging,Low,0.7639419,1.2,0.7084746,0.6,66
58.28304,83,Male,None,Medium,Lagging,Low,0.9803922,1,0.657627,0.8,69
58.28304,42,Male,None,Low,Immediate,Low,0.7662836,1,0.9694915,0.8,72
58.80499,68,Male,None,Low,Lagging,High,0.8547009,1.6,1.332204,1.2,72
58.80499,91,Female,None,Low,Lagging,Low,1.086957,1.2,0.7864407,0.8,67
59.32166,43,Female,None,Low,Lagging,High,0.7727975,1.6,1.243333,1.2,67
59.32166,54,Female,None,High,Lagging,Low,0.8084074,1,0.8033333,1,64
60.0127,37,Female,None,Low,Lagging,Low,0.7183908,1,0.737705,0.6,68
60.0127,71,Female,None,High,Lagging,High,0.8741258,1.4,1.134426,1.2,72
60.48143,90,Male,None,Medium,Lagging,Low,1.111111,1,0.8295081,0.8,73
60.48143,85,Female,WakingStick,Medium,Lagging,Low,1.133401,1.2,0.757377,0.6,67
60.48143,60,Male,None,Low,Lagging,Medium,0.8130081,1.4,1.101639,1,63
60.94244,57,Male,None,Medium,Immediate,Low,0.8130081,1,0.704918,0.6,67
60.94244,79,Male,None,High,Lagging,Low,0.9433963,1.2,0.8557377,1,71
61.8363,49,Female,None,Medium,Lagging,Low,0.7905138,1.4,0.9096773,0.6,69
62.17152,35,Male,None,Medium,Lagging,Medium,0.7407407,1.2,0.8793651,0.8,69
62.50972,37,Female,None,Low,Lagging,Medium,0.7183908,1.2,0.8984126,0.8,65
62.50972,48,Male,None,High,Lagging,High,0.7874016,1.4,1.234921,1.4,66
62.72982,65,Female,None,High,Lagging,Low,0.8354219,1.4,1.022222,0.8,65
63.33903,32,Male,None,Medium,Lagging,Low,0.729927,1.4,0.915625,0.8,68
