Time to Evacuate,Age,Gender,Disability,SpatialKnowledge,Observation of Environment,Emergency Training,Initial Stress,Maximum Stress,Average Stress,Stress on Exit,Number of Peers
15.27929,59,Male,None,Medium,Immediate,Medium,0.8264462,2.25,1.96875,1.75,66
17.02592,31,Female,None,High,Immediate,Low,0.7107321,2.5,2.205882,2,66
20.26727,37,Female,None,Medium,Lagging,Low,0.7183908,2.25,2.095238,2,64
21.69056,45,Male,None,High,Lagging,Low,0.7692308,2.25,2.227273,2.25,66
21.82415,38,Female,None,Medium,Immediate,Low,0.7204611,2.5,2.238636,2.25,67
21.89289,92,Female,None,High,Immediate,Low,1.123595,2.25,1.988636,2,68
22.71026,23,Female,None,High,Immediate,Low,0.691085,2.25,2.021739,2,72
23.05284,25,Male,None,High,Immediate,Low,0.6896551,2.5,2.086957,2.25,62
24.88889,52,Male,None,Medium,Immediate,Low,0.7968128,2.25,1.99,2,69
25.49129,34,Female,None,Medium,Immediate,Low,0.7215007,2.5,2.038462,2,67
25.62068,46,Female,None,Medium,Immediate,High,0.7794232,1.75,1.557692,1.25,69
25.96153,60,Female,None,Low,Lagging,Low,0.8130081,2.5,2.259616,2.25,64
26.684,59,Female,None,Medium,Lagging,Low,0.8223684,2.75,2.638889,2.5,67
26.684,59,Female,None,Medium,Lagging,Low,0.8223684,2.5,2.12037,1.75,69
26.96829,91,Female,WheelChair,High,Immediate,Low,1.207729,2.25,1.981482,1.75,68
27.82886,50,Male,None,High,Immediate,Low,0.7843137,2.25,1.973214,1.75,66
28.68901,49,Female,None,Medium,Lagging,High,0.7905138,2,1.784483,1.5,66
28.96953,42,Female,None,High,Lagging,Low,0.7639419,2.5,2.181035,2,63
29.10094,31,Female,None,High,Immediate,Low,0.7107321,2.5,2.15,2,67
30.02993,66,Female,None,Medium,Immediate,Low,0.8403361,2.75,2.175,2,66
30.28878,78,Male,None,High,Lagging,Low,0.9345794,2.5,2.241935,1.75,68
30.34897,32,Female,None,High,Lagging,Low,0.7158197,2.5,2.274194,2.25,67
30.86522,48,Female,None,Medium,Lagging,Low,0.7849293,2.5,2.387097,1.75,63
31.06169,97,Female,None,Low,Immediate,High,1.470588,2,1.75,2,69
31.18458,70,Female,None,High,Lagging,Low,0.8643043,2.75,2.414063,2,67
31.51719,86,Female,None,Low,Immediate,Low,0.9803922,2.25,2.179688,2,67
