Time to Evacuate,Age,Gender,Disability,SpatialKnowledge,Observation of Environment,Initial Stress,Maximum Stress,Average Stress,Stress on Exit,Number of Peers
0,25,Male,None,Medium,Immediate,0.6896551,0,0,0.6896551,67
0,75,Male,None,Medium,Lagging,0.9090909,0,0,0.9090909,75
6.200349,34,Male,None,Low,Immediate,0.7462686,0,0,0.7462686,76
9.200648,88,Male,None,Low,Immediate,1.030928,0,0,1.030928,68
9.996249,39,Male,WheelChair,High,Immediate,0.8613265,0,0,0.8613265,74
9.996249,93,Female,None,Medium,Immediate,1.149425,0,0,1.149425,71
10.24021,78,Female,None,High,Immediate,0.9276438,0,0,0.9276438,72
10.76265,21,Male,None,High,Immediate,0.6734006,0,0,0.6734006,72
10.76265,57,Male,None,High,Immediate,0.8130081,0,0,0.8130081,71
11.32888,28,Female,None,Medium,Immediate,0.7092199,0,0,0.7092199,70
15.20038,27,Male,None,Medium,Immediate,0.7042254,0,0,0.7042254,70
15.9612,76,Male,None,High,Immediate,0.9174312,0,0,0.9174312,72
16.89137,52,Male,WheelChair,High,Immediate,0.8853475,0,0,0.8853475,68
18.82352,64,Male,None,High,Immediate,0.8403361,0,0,0.8403361,74
19.16343,50,Male,None,Medium,Immediate,0.7843137,0,0,0.7843137,74
20.32704,51,Male,None,Low,Immediate,0.7905138,0,0,0.7905138,72
20.78075,66,Male,None,High,Immediate,0.8403361,0,0,0.8403361,70
20.78075,68,Male,None,High,Immediate,0.8547009,0,0,0.8547009,68
21.33735,35,Female,None,High,Immediate,0.723589,0,0,0.723589,75
21.81002,77,Female,None,High,Immediate,0.9225093,0,0,0.9225093,70
22.26815,84,Female,None,Low,Immediate,0.9587728,0,0,0.9587728,74
23.67912,56,Female,None,Low,Immediate,0.8064516,0,0,0.8064516,70
23.67912,73,Male,None,High,Immediate,0.8928571,0,0,0.8928571,79
23.95836,99,Male,None,Medium,Immediate,1.315789,0,0,1.315789,68
25.05397,80,Male,None,High,Immediate,0.952381,0,0,0.952381,68
25.5392,53,Male,None,Low,Immediate,0.8032128,0,0,0.8032128,72
26.78735,32,Female,None,High,Lagging,0.7158197,0,0,0.7158197,75
26.78735,58,Male,None,Medium,Immediate,0.8196721,0,0,0.8196721,69
26.78735,83,Male,None,High,Lagging,0.9803922,0,0,0.9803922,75
27.89675,86,Male,None,Medium,Immediate,1.010101,0,0,1.010101,70
28.45422,32,Male,None,Medium,Lagging,0.729927,0,0,0.729927,69
28.71949,61,Male,None,Medium,Immediate,0.8196721,0,0,0.8196721,69
