Time to Evacuate,Age,Gender,Disability,SpatialKnowledge,Observation of Environment,Initial Stress,Maximum Stress,Average Stress,Stress on Exit
71.53493,99,Male,None,Low,Lagging,1.315789,0,0,1.315789
71.74452,99,Female,None,High,Lagging,1.785714,0,0,1.785714
72.21771,99,Male,WakingStick,Low,Lagging,1.547988,0,0,1.547988
72.21771,99,Male,None,Low,Lagging,1.315789,0,0,1.315789
72.51081,99,Male,None,Low,Lagging,1.315789,0,0,1.315789
72.51081,99,Male,None,Low,Lagging,1.315789,0,0,1.315789
72.51081,99,Male,WakingStick,High,Immediate,1.547988,0,0,1.547988
73.51875,99,Male,WheelChair,Low,Lagging,1.461988,0,0,1.461988
73.69711,99,Female,WakingStick,High,Lagging,2.10084,0,0,2.10084
74.7755,99,Male,WheelChair,High,Lagging,1.461988,0,0,1.461988
74.7755,99,Male,None,Medium,Lagging,1.315789,0,0,1.315789
76.52422,99,Female,WheelChair,Medium,Lagging,1.984127,0,0,1.984127
77.02774,99,Male,None,High,Lagging,1.315789,0,0,1.315789
77.51788,99,Female,WheelChair,Low,Immediate,1.984127,0,0,1.984127
79.7028,99,Female,WheelChair,High,Lagging,1.984127,0,0,1.984127
80.03703,99,Male,None,High,Lagging,1.315789,0,0,1.315789
80.23694,99,Female,WheelChair,High,Lagging,1.984127,0,0,1.984127
80.51543,99,Male,None,Medium,Lagging,1.315789,0,0,1.315789
80.75781,99,Female,WheelChair,High,Lagging,1.984127,0,0,1.984127
80.75781,99,Female,None,Low,Lagging,1.785714,0,0,1.785714
81.02903,99,Male,None,Medium,Lagging,1.315789,0,0,1.315789
81.02903,99,Female,None,Low,Lagging,1.785714,0,0,1.785714
81.20012,99,Female,None,Low,Lagging,1.785714,0,0,1.785714
81.50928,99,Female,None,Low,Lagging,1.785714,0,0,1.785714
81.77361,99,Male,None,Low,Lagging,1.315789,0,0,1.315789
82.51771,99,Female,None,High,Lagging,1.785714,0,0,1.785714
83.7785,99,Male,WheelChair,Low,Lagging,1.461988,0,0,1.461988
84.76044,99,Male,None,High,Lagging,1.315789,0,0,1.315789
85.01424,99,Female,None,High,Lagging,1.785714,0,0,1.785714
86.01422,99,Male,WheelChair,High,Lagging,1.461988,0,0,1.461988
86.25762,99,Female,None,High,Lagging,1.785714,0,0,1.785714
86.78577,99,Female,None,Medium,Lagging,1.785714,0,0,1.785714
87.27229,99,Female,None,High,Lagging,1.785714,0,0,1.785714
87.43995,99,Male,None,High,Lagging,1.315789,0,0,1.315789
87.43995,99,Male,WakingStick,Medium,Lagging,1.547988,0,0,1.547988
88.26831,99,Female,WheelChair,Low,Lagging,1.984127,0,0,1.984127
88.53702,99,Male,None,Low,Lagging,1.315789,0,0,1.315789
88.53702,99,Male,None,Low,Lagging,1.315789,0,0,1.315789
89.78275,99,Male,None,High,Lagging,1.315789,0,0,1.315789
91.03082,99,Male,None,Medium,Lagging,1.315789,0,0,1.315789
91.03082,99,Male,WheelChair,Low,Lagging,1.461988,0,0,1.461988
91.50568,99,Female,None,Low,Lagging,1.785714,0,0,1.785714
91.94503,99,Male,None,Low,Lagging,1.315789,0,0,1.315789
91.94503,99,Female,WakingStick,High,Lagging,2.10084,0,0,2.10084
92.27076,99,Male,WheelChair,High,Lagging,1.461988,0,0,1.461988
93.26751,99,Female,WakingStick,Medium,Immediate,2.10084,0,0,2.10084
93.53174,99,Female,WakingStick,Low,Immediate,2.10084,0,0,2.10084
93.53174,99,Female,WheelChair,High,Lagging,1.984127,0,0,1.984127
94.28168,99,Male,WheelChair,Medium,Lagging,1.461988,0,0,1.461988
95.03036,99,Female,WakingStick,Low,Lagging,2.10084,0,0,2.10084
95.28439,99,Female,WheelChair,High,Lagging,1.984127,0,0,1.984127
95.28439,99,Female,WakingStick,Medium,Lagging,2.10084,0,0,2.10084
95.53085,99,Female,WheelChair,Medium,Lagging,1.984127,0,0,1.984127
95.96896,99,Male,None,Low,Lagging,1.315789,0,0,1.315789
95.96896,99,Female,None,Low,Lagging,1.785714,0,0,1.785714
96.46264,99,Female,None,Low,Lagging,1.785714,0,0,1.785714
96.7709,99,Female,None,Low,Lagging,1.785714,0,0,1.785714
96.7709,99,Female,None,Low,Immediate,1.785714,0,0,1.785714
97.2759,99,Female,None,Medium,Lagging,1.785714,0,0,1.785714
97.76897,99,Male,WakingStick,High,Lagging,1.547988,0,0,1.547988
98.25549,99,Male,None,High,Lagging,1.315789,0,0,1.315789
98.51146,99,Male,None,Medium,Lagging,1.315789,0,0,1.315789
99.02307,99,Male,None,Medium,Lagging,1.315789,0,0,1.315789
99.27811,99,Female,WakingStick,High,Lagging,2.10084,0,0,2.10084
99.51122,99,Male,None,Medium,Lagging,1.315789,0,0,1.315789
99.77452,99,Male,None,Medium,Lagging,1.315789,0,0,1.315789
100.0412,99,Male,None,Medium,Immediate,1.315789,0,0,1.315789
100.7614,99,Female,None,High,Immediate,1.785714,0,0,1.785714
101.0087,99,Male,WheelChair,Low,Lagging,1.461988,0,0,1.461988
101.0087,99,Female,WakingStick,High,Lagging,2.10084,0,0,2.10084
101.7789,99,Male,WheelChair,Low,Lagging,1.461988,0,0,1.461988
102.2777,99,Male,None,Low,Lagging,1.315789,0,0,1.315789
102.5298,99,Female,None,Medium,Lagging,1.785714,0,0,1.785714
103.5242,99,Female,None,High,Lagging,1.785714,0,0,1.785714
104.0194,99,Female,None,Low,Lagging,1.785714,0,0,1.785714
104.5095,99,Female,WakingStick,Medium,Lagging,2.10084,0,0,2.10084
104.7845,99,Male,WakingStick,Low,Lagging,1.547988,0,0,1.547988
105.0166,99,Female,None,Medium,Lagging,1.785714,0,0,1.785714
106.2614,99,Male,None,High,Lagging,1.315789,0,0,1.315789
106.2614,99,Female,None,Medium,Lagging,1.785714,0,0,1.785714
106.5221,99,Male,None,Medium,Lagging,1.315789,0,0,1.315789
107.2769,99,Female,None,High,Lagging,1.785714,0,0,1.785714
107.5136,99,Male,WakingStick,High,Lagging,1.547988,0,0,1.547988
107.5136,99,Female,WheelChair,Medium,Lagging,1.984127,0,0,1.984127
108.5055,99,Male,WheelChair,Low,Lagging,1.461988,0,0,1.461988
108.5055,99,Female,WheelChair,High,Lagging,1.984127,0,0,1.984127
108.5055,99,Male,None,Medium,Lagging,1.315789,0,0,1.315789
109.2737,99,Female,None,Low,Lagging,1.785714,0,0,1.785714
109.5173,99,Female,WheelChair,Medium,Lagging,1.984127,0,0,1.984127
110.787,99,Female,WakingStick,Medium,Lagging,2.10084,0,0,2.10084
111.2597,99,Female,None,Low,Lagging,1.785714,0,0,1.785714
111.5175,99,Male,None,Medium,Lagging,1.315789,0,0,1.315789
112.5114,99,Male,WheelChair,Low,Lagging,1.461988,0,0,1.461988
113.2792,99,Male,WheelChair,Low,Immediate,1.461988,0,0,1.461988
113.7715,99,Male,WheelChair,Low,Lagging,1.461988,0,0,1.461988
113.7715,99,Female,None,Medium,Immediate,1.785714,0,0,1.785714
114.273,99,Male,None,High,Immediate,1.315789,0,0,1.315789
115.0312,99,Female,None,Low,Lagging,1.785714,0,0,1.785714
116.2643,99,Female,WheelChair,Low,Lagging,1.984127,0,0,1.984127
116.5196,99,Female,None,Low,Lagging,1.785714,0,0,1.785714
116.5196,99,Female,None,Low,Lagging,1.785714,0,0,1.785714
116.7865,99,Male,None,Low,Lagging,1.315789,0,0,1.315789
117.2462,99,Male,WheelChair,Low,Lagging,1.461988,0,0,1.461988
117.5189,99,Female,WheelChair,Medium,Immediate,1.984127,0,0,1.984127
117.7775,99,Male,None,Low,Lagging,1.315789,0,0,1.315789
118.5275,99,Male,None,Low,Immediate,1.315789,0,0,1.315789
118.5275,99,Male,WheelChair,Low,Lagging,1.461988,0,0,1.461988
119.0244,99,Female,None,Low,Lagging,1.785714,0,0,1.785714
119.5203,99,Female,None,Low,Lagging,1.785714,0,0,1.785714
120.0255,99,Female,WheelChair,Medium,Lagging,1.984127,0,0,1.984127
120.7694,99,Female,None,Low,Lagging,1.785714,0,0,1.785714
121.5139,99,Male,WheelChair,Low,Immediate,1.461988,0,0,1.461988
122.0246,99,Male,None,High,Lagging,1.315789,0,0,1.315789
122.0246,99,Female,WheelChair,High,Lagging,1.984127,0,0,1.984127
123.2745,99,Male,WheelChair,Medium,Lagging,1.461988,0,0,1.461988
123.2745,99,Female,None,Low,Lagging,1.785714,0,0,1.785714
123.2745,99,Female,WheelChair,High,Immediate,1.984127,0,0,1.984127
123.5183,99,Male,None,Low,Lagging,1.315789,0,0,1.315789
124.2665,99,Female,WheelChair,Medium,Lagging,1.984127,0,0,1.984127
124.5434,99,Male,WheelChair,Medium,Lagging,1.461988,0,0,1.461988
124.7771,99,Female,None,Medium,Lagging,1.785714,0,0,1.785714
125.7741,99,Female,None,Medium,Immediate,1.785714,0,0,1.785714
129.7587,99,Male,None,Low,Lagging,1.315789,0,0,1.315789
130.2869,99,Female,WheelChair,High,Lagging,1.984127,0,0,1.984127
130.5141,99,Male,WakingStick,Low,Lagging,1.547988,0,0,1.547988
130.7701,99,Female,WheelChair,High,Lagging,1.984127,0,0,1.984127
130.7701,99,Female,WakingStick,Low,Lagging,2.10084,0,0,2.10084
131.009,99,Male,WheelChair,Low,Lagging,1.461988,0,0,1.461988
132.0157,99,Male,None,Medium,Immediate,1.315789,0,0,1.315789
133.0243,99,Female,None,Low,Immediate,1.785714,0,0,1.785714
133.535,99,Female,None,Low,Immediate,1.785714,0,0,1.785714
133.7621,99,Male,WheelChair,Low,Lagging,1.461988,0,0,1.461988
134.0201,99,Male,WheelChair,Low,Lagging,1.461988,0,0,1.461988
135.0242,99,Female,None,Medium,Lagging,1.785714,0,0,1.785714
135.2766,99,Male,None,Low,Lagging,1.315789,0,0,1.315789
136.775,99,Female,None,Medium,Immediate,1.785714,0,0,1.785714
137.2721,99,Female,None,Low,Lagging,1.785714,0,0,1.785714
137.5212,99,Male,WakingStick,Medium,Lagging,1.547988,0,0,1.547988
137.7624,99,Male,None,High,Lagging,1.315789,0,0,1.315789
138.5486,99,Female,WheelChair,Low,Lagging,1.984127,0,0,1.984127
138.7765,99,Male,WheelChair,Low,Lagging,1.461988,0,0,1.461988
139.5185,99,Female,None,High,Lagging,1.785714,0,0,1.785714
139.7741,99,Male,None,Low,Lagging,1.315789,0,0,1.315789
140.27,99,Male,None,Medium,Lagging,1.315789,0,0,1.315789
140.5115,99,Female,None,Low,Lagging,1.785714,0,0,1.785714
141.2762,99,Male,None,Low,Lagging,1.315789,0,0,1.315789
142.5191,99,Male,WheelChair,Medium,Lagging,1.461988,0,0,1.461988
143.0157,99,Male,WheelChair,Low,Lagging,1.461988,0,0,1.461988
144.5231,99,Male,WheelChair,Low,Immediate,1.461988,0,0,1.461988
145.512,99,Male,None,Low,Lagging,1.315789,0,0,1.315789
145.512,99,Female,WakingStick,Medium,Immediate,2.10084,0,0,2.10084
145.7835,99,Male,WakingStick,Low,Immediate,1.547988,0,0,1.547988
145.7835,99,Male,WheelChair,Medium,Lagging,1.461988,0,0,1.461988
146.0108,99,Male,WakingStick,Low,Lagging,1.547988,0,0,1.547988
147.2606,99,Male,WheelChair,Medium,Lagging,1.461988,0,0,1.461988
147.2606,99,Female,WakingStick,Low,Lagging,2.10084,0,0,2.10084
147.5334,99,Male,None,Low,Lagging,1.315789,0,0,1.315789
149.0215,99,Female,WheelChair,High,Lagging,1.984127,0,0,1.984127
149.0215,99,Male,WheelChair,Low,Lagging,1.461988,0,0,1.461988
149.2729,99,Female,None,High,Lagging,1.785714,0,0,1.785714
150.7678,99,Female,None,Medium,Lagging,1.785714,0,0,1.785714
151.2617,99,Male,None,Low,Lagging,1.315789,0,0,1.315789
151.5353,99,Female,None,Low,Lagging,1.785714,0,0,1.785714
152.2837,99,Male,WakingStick,High,Lagging,1.547988,0,0,1.547988
153.7695,99,Male,None,Medium,Lagging,1.315789,0,0,1.315789
154.0236,99,Male,WheelChair,Low,Immediate,1.461988,0,0,1.461988
158.2827,99,Female,None,Low,Immediate,1.785714,0,0,1.785714
159.7691,99,Female,WheelChair,Low,Lagging,1.984127,0,0,1.984127
160.7701,99,Female,None,Low,Lagging,1.785714,0,0,1.785714
161.2772,99,Female,None,Low,Lagging,1.785714,0,0,1.785714
161.7843,99,Female,None,Low,Lagging,1.785714,0,0,1.785714
162.5245,99,Female,WheelChair,Low,Lagging,1.984127,0,0,1.984127
164.0232,99,Female,WakingStick,Low,Immediate,2.10084,0,0,2.10084
164.0232,99,Female,None,Low,Immediate,1.785714,0,0,1.785714
164.2773,99,Female,WakingStick,Medium,Lagging,2.10084,0,0,2.10084
167.0283,99,Male,None,Low,Lagging,1.315789,0,0,1.315789
167.0283,99,Female,WheelChair,Low,Lagging,1.984127,0,0,1.984127
167.778,99,Male,None,Low,Lagging,1.315789,0,0,1.315789
168.5244,99,Female,None,Low,Lagging,1.785714,0,0,1.785714
168.5244,99,Female,None,Medium,Lagging,1.785714,0,0,1.785714
170.2794,99,Female,WakingStick,High,Lagging,2.10084,0,0,2.10084
171.5225,99,Female,None,Low,Lagging,1.785714,0,0,1.785714
