Time to Evacuate,Age,Gender,Disability,SpatialKnowledge,Observation of Environment
15.27679,39,Female,None,High,Immediate
16.55296,35,Male,None,High,Immediate
18.14594,82,Male,WheelChair,Medium,Immediate
18.14594,51,Female,None,High,Immediate
19.15602,66,Male,None,High,Immediate
19.15602,82,Male,None,High,Immediate
19.86813,61,Male,WheelChair,High,Immediate
20.57662,70,Male,None,Low,Immediate
21.09191,94,Male,WheelChair,Medium,Immediate
21.95973,74,Female,None,Medium,Immediate
23.58892,68,Male,WakingStick,High,Immediate
25.08193,89,Male,None,High,Immediate
25.74206,90,Female,None,High,Immediate
26.25682,71,Female,WakingStick,Medium,Immediate
27.20517,66,Female,WheelChair,High,Immediate
27.99437,32,Male,None,Low,Immediate
28.43598,40,Male,None,High,Immediate
28.67235,53,Female,None,High,Immediate
29.49188,54,Male,WheelChair,Medium,Immediate
29.49188,51,Male,None,Medium,Immediate
30.00743,42,Female,None,Medium,Lagging
30.23373,22,Female,None,Medium,Immediate
31.04225,53,Female,None,High,Lagging
31.31711,39,Male,None,Medium,Immediate
31.78549,40,Male,None,Medium,Immediate
31.78549,87,Male,None,Medium,Immediate
32.55563,70,Male,WheelChair,High,Immediate
33.30293,51,Female,WheelChair,High,Immediate
34.33084,54,Female,None,Low,Immediate
34.33084,72,Female,None,Low,Immediate
34.8301,92,Male,None,Low,Immediate
35.74706,50,Female,WheelChair,Medium,Immediate
36.09273,43,Male,WheelChair,Medium,Immediate
36.37386,92,Male,None,High,Lagging
36.37386,92,Female,None,High,Immediate
36.62165,60,Male,WakingStick,Low,Immediate
37.10553,69,Female,None,Low,Immediate
37.10553,30,Male,WheelChair,Low,Immediate
37.35001,86,Male,None,High,Immediate
37.79664,51,Male,None,Low,Immediate
38.13443,96,Female,WheelChair,Medium,Immediate
38.41233,90,Female,None,Medium,Lagging
38.66326,93,Male,None,High,Lagging
38.66326,96,Female,WheelChair,High,Immediate
38.90173,62,Female,WheelChair,Medium,Immediate
38.90173,98,Male,None,High,Immediate
