Time to Evacuate,Age,Gender,Disability,SpatialKnowledge,Observation of Environment,Emergency Training,Initial Stress,Maximum Stress,Average Stress,Stress on Exit,Number of Peers
16.0878,52,Female,None,High,Immediate,Low,0.7980846,3,2.632353,3,32
16.0878,58,Female,None,High,Immediate,Low,0.8156607,2.75,2.485294,2.75,31
16.0878,22,Female,None,High,Immediate,Medium,0.7042254,2.75,2.235294,2.75,32
21.0878,65,Male,None,High,Immediate,Low,0.8333333,3,2.397727,3,33
24.54198,72,Male,None,Low,Immediate,Low,0.8849558,2.75,2.44,2.25,31
25.25948,47,Female,None,Medium,Immediate,Low,0.78125,2.75,2.567308,2.25,32
25.38031,54,Male,None,Medium,Lagging,Low,0.8097166,2.75,2.25,2,31
27.81922,81,Male,None,High,Lagging,Low,0.9615385,3,2.571429,2.25,30
27.81922,45,Male,None,Low,Immediate,Medium,0.7692308,2.5,2.026786,1.75,32
28.03798,48,Male,None,High,Lagging,Low,0.7874016,2.75,2.301724,2,29
30.01075,54,Female,None,Low,Immediate,Low,0.8084074,2.5,2.158333,2,32
30.05604,38,Male,None,High,Immediate,Low,0.7662836,2.75,2.185484,2,30
30.67301,70,Female,None,High,Immediate,High,0.8643043,2.25,1.879032,1.5,31
30.76696,59,Male,None,High,Immediate,Medium,0.8264462,2.5,1.911291,1.75,30
34.31868,20,Female,None,Low,Lagging,Low,0.6993007,2.75,2.492857,2,32
34.73968,26,Female,None,Medium,Immediate,Low,0.7042254,2.75,2.2,2.25,32
35.48438,72,Male,None,High,Lagging,Low,0.8849558,2.75,2.3125,2.25,33
35.75292,44,Male,None,High,Lagging,Low,0.7782102,3,2.756945,2.25,33
36.09319,50,Female,None,Medium,Lagging,Low,0.7874016,3,2.594595,2.25,33
38.19672,57,Female,None,Low,Immediate,Low,0.8116883,2.75,2.384615,2.75,32
38.79532,60,Male,None,Low,Lagging,Low,0.8130081,2.75,2.365385,1.5,29
39.34332,81,Male,None,High,Lagging,Low,0.9615385,3,2.2375,1.75,32
39.93435,24,Male,None,Medium,Immediate,Low,0.6944444,2.5,2.11875,2,33
40.55112,54,Female,None,Low,Immediate,Medium,0.8084074,2.75,1.987805,1.75,30
40.95552,79,Male,None,High,Lagging,Low,0.9433963,2.75,2.27439,2.25,30
41.40223,92,Female,None,Medium,Immediate,Low,1.123595,2.75,2.285714,2.25,32
41.50076,56,Female,None,Medium,Immediate,Low,0.8064516,2.5,1.982143,2,33
42.04064,70,Male,None,High,Lagging,Low,0.8695652,2.75,2.273255,1.75,32
42.61808,28,Male,None,Low,Lagging,Low,0.7117438,2.5,2.279069,2.25,31
42.61808,55,Female,None,Medium,Lagging,Low,0.8,2.5,2.191861,2,29
43.20186,33,Female,None,High,Lagging,Low,0.7204611,2.75,2.301136,1.75,31
43.98381,29,Male,None,High,Lagging,Low,0.7194245,2.75,2.528409,2.5,32
44.01501,69,Male,None,High,Lagging,Medium,0.862069,2.5,2.204545,1.75,31
44.09014,37,Female,None,Low,Lagging,Medium,0.7183908,2.25,1.994444,1.75,32
44.76218,38,Female,None,Low,Immediate,Low,0.7204611,2.75,1.916667,1.5,32
45.09378,96,Female,None,High,Lagging,Low,1.388889,2.75,2.456522,2.5,32
45.14765,87,Female,None,High,Immediate,Low,1,3,2.521739,2.25,31
45.3404,74,Male,None,Medium,Lagging,Medium,0.9009009,2.5,2.195652,2,30
46.16016,32,Female,None,High,Immediate,Low,0.7158197,2.75,2.170213,2,33
46.83075,20,Female,None,Low,Immediate,Low,0.6993007,3,2.473405,2.5,31
47.37051,49,Male,None,High,Lagging,Low,0.7936508,2.25,2.114584,2.25,31
47.37051,70,Female,None,Medium,Immediate,High,0.8643043,2.25,1.880208,1.75,29
47.52073,58,Female,None,High,Immediate,Low,0.8156607,3,2.515625,2.25,33
47.686,83,Female,None,High,Lagging,Low,0.9541985,2.5,2.286458,1.75,31
47.80232,28,Male,None,High,Lagging,High,0.7117438,2,1.796875,1.75,32
47.93853,80,Female,None,Medium,Lagging,Low,0.9372071,2.75,2.390625,2,31
48.35798,85,Male,None,High,Immediate,Low,1,2.75,2.22449,1.5,27
48.35798,27,Male,None,High,Lagging,Low,0.7042254,2.5,2.198979,1.75,32
48.82158,37,Male,None,High,Lagging,High,0.7575758,2,1.801021,1.75,29
48.82158,50,Male,None,Low,Lagging,Low,0.7843137,2.75,2.290816,2,30
49.34531,85,Male,None,Low,Lagging,Low,1,2.5,2.22,2,31
49.7562,21,Female,None,Low,Lagging,Low,0.7012623,2.5,2.355,2.25,30
49.87723,55,Female,None,High,Lagging,Low,0.8,2.75,2.225,1.75,32
51.31548,27,Female,None,High,Immediate,Low,0.7072136,2.75,2.408654,2,33
51.98527,25,Female,None,Low,Lagging,Medium,0.7017544,2.5,2.163461,2.5,31
52.26515,84,Male,None,Low,Lagging,High,0.990099,2.25,1.79717,2,32
52.92233,32,Male,None,Low,Lagging,Medium,0.729927,2.25,2.070755,2,31
52.92233,76,Male,None,High,Immediate,Low,0.9174312,2.5,2.15566,2.25,31
52.92233,47,Male,None,Medium,Lagging,Medium,0.78125,2.75,2.400944,2.25,30
54.35271,36,Male,None,Medium,Lagging,Low,0.7490637,2.75,2.3,2.25,31
54.84401,64,Female,WheelChair,Medium,Immediate,Low,0.9298001,2.5,2.15,1.75,31
55.05392,42,Male,None,High,Lagging,Medium,0.7662836,2.5,2.258928,2.25,28
55.29001,82,Female,None,High,Lagging,Low,0.9487666,3,2.504465,2,32
55.46198,53,Female,None,High,Immediate,High,0.8038585,2.25,1.584822,1.5,31
55.98896,50,Female,None,High,Immediate,Low,0.7874016,3,2.401786,2.5,33
57.18834,68,Male,None,Low,Lagging,Low,0.8547009,3,2.590517,2.25,30
57.18834,80,Male,None,Medium,Immediate,Low,0.952381,2.5,2.021551,1.75,32
57.62675,68,Male,None,High,Lagging,High,0.8547009,2.25,1.793104,2.25,31
