Time to Evacuate,Age,Gender,Disability,SpatialKnowledge,Observation of Environment,Initial Stress,Maximum Stress,Average Stress,Stress on Exit,Number of Peers
9.271914,22,Male,None,Low,Immediate,0.6802721,0,0,1,66
11.80862,72,Female,None,High,Immediate,0.8833923,0,0,1,64
14.13423,31,Male,None,High,Immediate,0.7220216,0,0,1,62
15.11511,34,Male,None,Medium,Immediate,0.7462686,0,0,1.2,66
15.11511,37,Female,None,High,Immediate,0.7183908,0,0,0.8,61
15.57741,41,Female,None,High,Immediate,0.761035,0,0,1,60
16.84321,24,Male,None,Medium,Immediate,0.6944444,0,0,1,65
17.26719,63,Female,None,Medium,Immediate,0.8319467,0,0,0.8,61
17.7185,71,Male,None,Low,Immediate,0.877193,0,0,1.4,66
18.80904,44,Female,None,Medium,Immediate,0.7806401,0,0,1,68
19.23085,20,Female,None,High,Immediate,0.6993007,0,0,1.2,68
22.81118,35,Male,None,High,Immediate,0.7407407,0,0,0.8,66
24.84911,76,Female,None,High,Immediate,0.9149131,0,0,1.4,66
28.83602,91,Male,None,High,Immediate,1.123595,0,0,0.6,67
29.76875,32,Female,None,High,Immediate,0.7158197,0,0,0.8,61
29.96348,57,Male,None,High,Lagging,0.8130081,0,0,1.2,61
30.8401,22,Female,None,Medium,Immediate,0.7042254,0,0,1,63
31.51513,67,Female,None,Low,Immediate,0.8474576,0,0,0.8,65
33.54915,52,Male,None,Medium,Immediate,0.7968128,0,0,0.8,66
33.54915,20,Male,None,High,Lagging,0.6666667,0,0,1.2,59
34.78029,41,Male,None,High,Immediate,0.7604563,0,0,0.8,65
35.17018,30,Male,None,Medium,Lagging,0.7142857,0,0,0.6,64
35.17018,29,Male,None,High,Immediate,0.7194245,0,0,1,64
35.35048,49,Female,None,High,Lagging,0.7905138,0,0,1,59
37.12763,30,Male,None,Low,Immediate,0.7142857,0,0,0.6,67
37.12763,33,Male,None,Low,Immediate,0.7380074,0,0,1.2,65
38.73562,23,Female,None,Medium,Lagging,0.691085,0,0,0.8,64
39.2378,33,Male,None,High,Lagging,0.7380074,0,0,1,66
39.70576,28,Female,None,High,Lagging,0.7092199,0,0,1,63
40.67534,51,Female,None,Medium,Immediate,0.7936508,0,0,0.8,60
40.67534,49,Male,None,High,Lagging,0.7936508,0,0,1,64
40.67534,25,Male,None,Low,Lagging,0.6896551,0,0,0.6,63
40.67534,77,Male,None,Low,Lagging,0.9259259,0,0,0.8,63
40.67534,25,Female,None,High,Lagging,0.7017544,0,0,0.8,64
41.0597,66,Female,None,Low,Immediate,0.8403361,0,0,0.6,59
41.0597,52,Female,None,Medium,Lagging,0.7980846,0,0,1,64
41.59595,35,Female,None,Medium,Immediate,0.723589,0,0,0.8,60
41.59595,34,Male,None,Medium,Immediate,0.7462686,0,0,0.8,61
41.93262,29,Male,None,High,Lagging,0.7194245,0,0,0.8,66
41.9897,35,Female,None,High,Lagging,0.723589,0,0,0.8,64
42.62885,29,Female,None,Low,Lagging,0.7168459,0,0,1.2,62
42.62885,41,Female,None,High,Lagging,0.761035,0,0,0.6,63
42.97016,58,Male,None,Medium,Lagging,0.8196721,0,0,0.8,63
43.71045,84,Female,None,High,Lagging,0.9587728,0,0,1,63
43.97153,61,Female,None,Low,Immediate,0.8223684,0,0,1.4,62
44.73331,36,Male,None,Low,Immediate,0.7490637,0,0,1.2,65
44.73331,70,Female,None,High,Lagging,0.8643043,0,0,0.6,68
44.73331,25,Female,None,Medium,Lagging,0.7017544,0,0,0.8,60
45.23108,31,Male,None,Low,Immediate,0.7220216,0,0,0.8,62
45.43093,56,Male,None,Medium,Lagging,0.8064516,0,0,0.6,62
45.65405,89,Male,None,Medium,Immediate,1.041667,0,0,0.8,64
46.63265,58,Male,None,Low,Lagging,0.8196721,0,0,0.8,63
46.63265,52,Male,None,Medium,Lagging,0.7968128,0,0,0.8,65
46.95696,78,Male,None,Medium,Lagging,0.9345794,0,0,0.6,64
47.44725,48,Female,None,High,Lagging,0.7849293,0,0,0.8,64
47.65363,76,Female,None,Low,Lagging,0.9149131,0,0,0.8,63
47.97104,64,Female,None,High,Immediate,0.8368201,0,0,1,61
48.68617,69,Male,None,High,Immediate,0.862069,0,0,0.8,60
48.68617,44,Female,None,Low,Immediate,0.7806401,0,0,1,65
48.68617,88,Female,None,Medium,Lagging,1.01833,0,0,0.8,63
49.06236,35,Female,None,Low,Immediate,0.723589,0,0,0.8,69
49.22911,66,Female,None,High,Lagging,0.8403361,0,0,0.6,65
49.61075,21,Female,None,High,Lagging,0.7012623,0,0,0.8,63
49.61075,73,Female,None,High,Lagging,0.8912656,0,0,1,65
50.02437,73,Female,None,Medium,Lagging,0.8912656,0,0,0.8,66
50.62864,39,Male,None,High,Immediate,0.7751938,0,0,0.6,63
50.62864,65,Female,None,Medium,Lagging,0.8354219,0,0,0.8,61
50.62864,23,Male,None,Low,Immediate,0.6872852,0,0,1,60
51.23289,28,Female,None,High,Lagging,0.7092199,0,0,1,63
51.37056,43,Male,None,High,Lagging,0.7722008,0,0,0.8,64
51.37056,60,Female,None,High,Lagging,0.8130081,0,0,0.6,67
51.5333,37,Female,None,Low,Immediate,0.7183908,0,0,0.6,63
52.57292,79,Female,None,High,Lagging,0.9328358,0,0,0.8,65
52.57292,22,Male,None,Low,Lagging,0.6802721,0,0,0.6,65
52.86185,32,Female,None,High,Lagging,0.7158197,0,0,0.8,64
52.86185,45,Male,None,Low,Lagging,0.7692308,0,0,0.6,65
52.86185,20,Male,None,High,Lagging,0.6666667,0,0,0.8,64
52.98549,72,Male,None,High,Lagging,0.8849558,0,0,0.8,65
53.71093,56,Female,None,High,Lagging,0.8064516,0,0,1,58
53.98907,51,Male,None,Low,Lagging,0.7905138,0,0,0.6,61
53.98907,24,Male,None,High,Lagging,0.6944444,0,0,1.2,61
54.83813,63,Female,None,Low,Immediate,0.8319467,0,0,1.6,62
54.83813,68,Male,WheelChair,Medium,Lagging,0.9496676,0,0,0.6,66
54.83813,98,Male,None,High,Lagging,1.298701,0,0,0.8,64
55.20691,74,Female,None,Medium,Lagging,0.90009,0,0,0.8,57
55.52166,65,Male,None,Low,Lagging,0.8333333,0,0,1,62
55.59216,60,Male,None,High,Lagging,0.8130081,0,0,0.8,65
55.78431,39,Female,None,Medium,Lagging,0.7407407,0,0,1,63
56.73151,85,Female,None,Low,Immediate,0.9633911,0,0,0.8,63
56.73151,75,Male,None,Low,Lagging,0.9090909,0,0,1.2,68
56.73151,37,Female,None,High,Lagging,0.7183908,0,0,0.8,60
56.73151,39,Male,None,Low,Lagging,0.7751938,0,0,0.8,65
57.4172,36,Female,None,High,Lagging,0.7194245,0,0,0.8,63
57.52775,84,Female,None,Medium,Lagging,0.9587728,0,0,0.8,64
57.68951,82,Male,None,Medium,Immediate,0.9708738,0,0,0.6,66
57.91364,43,Male,None,High,Lagging,0.7722008,0,0,0.8,61
58.02894,45,Male,None,High,Lagging,0.7692308,0,0,1.4,61
58.55797,30,Female,None,High,Lagging,0.7117438,0,0,0.6,63
58.85237,32,Female,None,High,Lagging,0.7158197,0,0,0.6,64
58.85237,87,Male,None,Medium,Lagging,1.020408,0,0,0.8,68
59.08589,63,Female,None,Medium,Lagging,0.8319467,0,0,1,64
59.34901,44,Male,None,High,Lagging,0.7782102,0,0,0.8,60
59.40926,78,Female,None,Low,Lagging,0.9276438,0,0,0.8,62
60.40512,51,Female,None,Medium,Immediate,0.7936508,0,0,0.8,65
60.40512,54,Male,None,Low,Immediate,0.8097166,0,0,0.6,60
60.40512,69,Female,None,Medium,Lagging,0.8605852,0,0,0.6,63
