Time to Evacuate,Age,Gender,Disability,SpatialKnowledge,Observation of Environment
103.1461,57,Female,None,Medium,Immediate
103.1461,38,Male,WheelChair,Low,Immediate
103.1461,67,Female,None,Medium,Immediate
103.6217,76,Female,None,Low,Immediate
104.058,21,Female,None,Low,Immediate
104.5317,23,Female,None,Low,Immediate
105.0144,91,Female,None,Medium,Immediate
105.0144,69,Male,None,High,Immediate
105.5531,72,Male,None,Medium,Immediate
105.5531,46,Male,WheelChair,High,Immediate
106.1068,62,Female,None,High,Immediate
106.1068,81,Female,None,Medium,Immediate
106.6917,23,Female,None,High,Immediate
107.2579,91,Male,None,Low,Immediate
108.3183,96,Female,None,Low,Immediate
109.3543,59,Female,None,Low,Immediate
109.3543,23,Female,None,High,Immediate
110.4449,66,Male,None,Medium,Immediate
111.6399,85,Male,None,Medium,Immediate
112.7326,79,Female,None,High,Immediate
113.2442,68,Male,WheelChair,Low,Immediate
113.7592,51,Male,None,Medium,Immediate
113.7592,35,Male,None,High,Immediate
114.2881,95,Female,None,Low,Immediate
114.2881,44,Female,None,Low,Immediate
115.3639,21,Male,None,Medium,Immediate
115.3639,90,Female,None,Medium,Immediate
116.4035,86,Female,None,High,Immediate
116.4035,42,Male,None,High,Immediate
116.9298,27,Male,None,Medium,Immediate
117.4812,36,Female,WheelChair,High,Immediate
118.0254,46,Female,None,Low,Immediate
118.6154,72,Female,None,Low,Immediate
118.6154,35,Male,None,High,Immediate
118.6154,27,Female,None,High,Immediate
119.1692,74,Male,None,High,Immediate
119.6938,20,Female,None,Medium,Immediate
119.6938,58,Female,None,High,Immediate
120.6912,81,Male,None,Low,Immediate
121.1797,31,Male,None,Low,Immediate
121.6561,42,Female,None,High,Immediate
121.6561,67,Female,None,High,Immediate
122.6383,33,Female,None,Medium,Immediate
123.5188,20,Female,None,Medium,Immediate
124.3945,71,Male,None,Low,Immediate
124.8908,56,Male,None,High,Immediate
124.8908,78,Male,None,High,Immediate
124.8908,60,Female,None,Low,Immediate
125.3392,63,Female,None,Medium,Immediate
126.2421,73,Female,None,High,Immediate
126.2421,46,Male,None,Low,Immediate
126.7275,55,Female,None,Low,Immediate
126.7275,55,Female,None,Low,Immediate
127.1988,45,Female,None,Low,Immediate
127.1988,23,Male,None,High,Immediate
128.1382,53,Male,None,Medium,Immediate
128.6297,50,Female,None,Medium,Immediate
129.1281,32,Female,None,Medium,Immediate
129.5842,36,Male,None,Medium,Immediate
130.5894,47,Female,None,Low,Immediate
131.0801,47,Male,None,High,Immediate
131.0801,86,Male,None,High,Immediate
131.5406,66,Female,None,Low,Immediate
131.9964,42,Female,WakingStick,Medium,Immediate
131.9964,45,Male,None,Low,Immediate
131.9964,56,Male,WheelChair,Medium,Immediate
132.9365,52,Male,None,Medium,Immediate
133.394,58,Female,None,Medium,Immediate
133.394,71,Female,None,Low,Immediate
134.4194,31,Male,None,High,Lagging
134.9008,69,Female,None,High,Immediate
134.9008,89,Female,None,Medium,Immediate
134.9008,29,Male,None,High,Immediate
135.369,69,Male,None,Medium,Immediate
135.369,75,Female,None,High,Immediate
135.8577,46,Female,None,High,Immediate
135.8577,37,Female,None,Low,Immediate
136.3281,28,Female,None,High,Immediate
136.3281,71,Male,None,Low,Immediate
136.7983,60,Female,None,High,Immediate
137.272,76,Male,None,Low,Immediate
137.272,49,Female,None,High,Immediate
137.7439,21,Female,None,Low,Immediate
137.7439,44,Male,None,Medium,Immediate
137.7439,74,Male,None,Low,Immediate
138.248,35,Female,None,High,Immediate
138.7547,58,Female,None,High,Immediate
139.2339,42,Female,None,Low,Immediate
139.2339,71,Male,None,Low,Immediate
139.2339,26,Female,None,Low,Immediate
139.7172,53,Male,None,Medium,Immediate
139.7172,64,Male,None,High,Immediate
140.1688,55,Male,None,Medium,Immediate
140.6111,41,Female,None,Medium,Lagging
140.6111,24,Female,None,Medium,Lagging
140.6111,33,Male,None,Medium,Immediate
141.0449,53,Female,None,High,Immediate
141.4988,42,Male,None,Medium,Immediate
141.9166,64,Male,None,High,Immediate
141.9166,43,Female,None,Low,Immediate
142.3305,52,Female,None,High,Immediate
142.3305,59,Male,None,High,Immediate
143.1865,96,Male,None,High,Immediate
143.1865,30,Female,None,Low,Immediate
143.5679,42,Female,None,High,Immediate
143.9554,67,Male,None,High,Immediate
144.3584,77,Male,None,Low,Immediate
144.3584,85,Female,None,Medium,Immediate
144.3584,63,Male,None,Low,Immediate
144.7861,25,Male,None,Medium,Immediate
145.2187,62,Female,None,Medium,Immediate
145.2187,83,Female,None,Medium,Immediate
145.2187,99,Male,None,Low,Immediate
145.6435,54,Male,None,Low,Immediate
146.0733,91,Female,None,Medium,Immediate
146.0733,59,Male,WheelChair,Low,Immediate
146.0733,67,Female,None,Medium,Lagging
146.4857,72,Male,None,Medium,Immediate
146.4857,26,Female,None,High,Immediate
146.4857,77,Male,None,High,Immediate
146.8894,53,Male,None,High,Immediate
146.8894,32,Female,None,Low,Immediate
147.3067,30,Male,None,Medium,Immediate
147.3067,62,Male,None,Low,Immediate
147.7436,22,Male,None,Medium,Immediate
147.7436,81,Male,None,Low,Lagging
148.1532,46,Female,None,Medium,Immediate
148.1532,89,Male,None,High,Immediate
148.5595,21,Male,None,Low,Immediate
148.5595,87,Male,None,Low,Immediate
148.5595,69,Female,None,Low,Immediate
148.5595,37,Female,None,Low,Immediate
148.938,60,Male,None,High,Lagging
149.3183,73,Female,None,Medium,Immediate
149.3183,72,Male,None,High,Immediate
149.7031,45,Female,None,Low,Immediate
149.7031,85,Male,None,High,Immediate
149.7031,77,Female,None,Medium,Immediate
150.0682,85,Male,None,Medium,Immediate
150.4463,57,Female,None,Low,Immediate
150.8301,42,Male,None,Low,Immediate
150.8301,72,Female,None,Low,Immediate
151.2076,88,Male,None,High,Immediate
151.5794,71,Female,None,Medium,Immediate
151.939,35,Male,None,Medium,Immediate
152.3117,63,Female,None,High,Immediate
152.3117,59,Female,None,Low,Immediate
152.6995,31,Female,None,Medium,Lagging
153.0914,67,Female,None,Low,Immediate
153.0914,55,Female,None,Low,Immediate
153.4928,30,Male,None,High,Immediate
153.872,66,Male,None,Medium,Immediate
153.872,75,Male,None,High,Immediate
154.2449,82,Female,None,Medium,Immediate
155.0286,48,Male,None,Medium,Immediate
155.0286,43,Female,None,Low,Immediate
155.4383,26,Male,None,Low,Lagging
155.4383,90,Female,None,Low,Immediate
155.4383,30,Female,None,Low,Immediate
155.4383,51,Male,None,High,Immediate
156.2027,27,Female,None,High,Immediate
156.5398,75,Male,None,High,Immediate
157.2422,57,Female,None,High,Lagging
157.2422,95,Male,None,Medium,Immediate
157.6166,22,Female,None,Low,Immediate
157.6166,88,Female,None,Medium,Immediate
157.9776,61,Female,None,High,Lagging
157.9776,56,Male,None,High,Immediate
158.7136,42,Male,None,Low,Immediate
158.7136,75,Male,None,Medium,Immediate
158.7136,32,Female,None,High,Lagging
158.7136,54,Female,None,High,Immediate
159.3693,23,Female,WheelChair,Medium,Immediate
159.3693,65,Female,None,Low,Lagging
160.0397,88,Female,None,Low,Immediate
160.355,48,Female,WheelChair,High,Immediate
160.355,76,Female,None,High,Immediate
160.69,24,Male,None,Medium,Immediate
161.0444,89,Male,None,Medium,Immediate
161.7835,22,Female,None,Medium,Immediate
161.7835,50,Male,None,Low,Immediate
161.7835,85,Female,None,High,Immediate
162.8497,60,Male,None,High,Immediate
162.8497,61,Female,None,Medium,Immediate
162.8497,96,Male,None,Low,Immediate
163.206,97,Male,None,Low,Immediate
163.8696,65,Female,None,Low,Lagging
163.8696,61,Male,None,Low,Immediate
164.1958,92,Female,None,Low,Lagging
164.1958,43,Female,None,High,Immediate
164.5157,26,Female,None,Medium,Lagging
165.562,50,Male,None,High,Immediate
165.911,46,Male,None,High,Lagging
166.6407,58,Female,None,Medium,Lagging
166.6407,52,Female,None,Low,Immediate
167.0126,72,Male,None,Low,Immediate
167.0126,63,Female,None,High,Immediate
167.3888,71,Male,None,High,Lagging
167.3888,96,Male,None,Low,Immediate
167.7816,69,Male,None,Low,Immediate
168.1458,89,Female,None,Low,Immediate
168.4985,57,Male,None,High,Lagging
168.4985,88,Male,None,Low,Immediate
168.8248,46,Female,None,Low,Immediate
168.8248,71,Male,None,High,Lagging
169.5146,36,Female,None,Low,Immediate
169.84,22,Male,None,Low,Immediate
170.8094,27,Female,None,Low,Immediate
170.8094,69,Male,None,Medium,Immediate
170.8094,68,Male,None,Medium,Immediate
172.0917,65,Female,None,Low,Immediate
172.0917,75,Male,None,Medium,Lagging
172.0917,89,Female,None,Medium,Immediate
172.0917,91,Male,None,Low,Immediate
172.0917,65,Female,None,Low,Immediate
172.6555,24,Male,None,Low,Lagging
172.6555,40,Male,WakingStick,Low,Immediate
172.9692,77,Male,None,High,Immediate
172.9692,48,Male,None,Low,Lagging
173.3036,42,Female,None,Medium,Immediate
173.6559,30,Male,None,Low,Lagging
173.6559,60,Female,None,Medium,Lagging
173.996,47,Female,None,Medium,Lagging
174.3475,81,Female,None,Low,Immediate
174.7074,24,Female,None,Low,Lagging
175.0432,59,Male,None,High,Lagging
175.7156,25,Female,None,Low,Immediate
176.0724,46,Female,None,Medium,Immediate
176.4361,73,Female,None,Low,Lagging
176.4361,59,Male,None,Medium,Lagging
176.7867,62,Male,None,Low,Lagging
177.158,47,Male,None,Low,Lagging
179.2379,48,Male,None,High,Lagging
179.2379,28,Male,None,Low,Immediate
179.2379,88,Male,None,Low,Immediate
179.2379,32,Female,None,High,Lagging
179.2379,53,Male,None,Low,Lagging
181.6399,61,Male,None,High,Immediate
181.6399,87,Female,None,Medium,Lagging
181.6399,67,Male,None,Medium,Lagging
181.6399,96,Male,None,Medium,Immediate
181.6399,79,Male,None,Medium,Immediate
181.6399,30,Female,None,Low,Lagging
181.6399,88,Female,None,High,Lagging
181.6399,27,Female,None,Medium,Lagging
183.7413,81,Female,None,High,Immediate
183.7413,42,Female,None,Medium,Lagging
183.7413,56,Male,None,High,Lagging
185.3393,94,Male,None,Medium,Lagging
185.3393,96,Female,None,Low,Lagging
185.3393,64,Female,None,Low,Lagging
186.5765,65,Male,None,High,Lagging
186.5765,81,Male,None,High,Lagging
186.5765,89,Male,None,Low,Immediate
186.5765,94,Male,None,Low,Immediate
187.5631,78,Male,None,Low,Lagging
187.5631,88,Male,None,Low,Lagging
188.364,59,Female,None,Medium,Lagging
189.0067,34,Male,None,Low,Lagging
189.0067,27,Male,None,Low,Lagging
189.0067,25,Female,None,High,Lagging
189.6101,52,Female,None,High,Lagging
189.6101,22,Female,WheelChair,Low,Lagging
189.6101,33,Female,None,High,Lagging
190.1059,81,Female,None,Medium,Immediate
190.1059,69,Male,None,High,Immediate
190.1059,31,Male,None,Medium,Lagging
190.5438,31,Female,None,Medium,Lagging
191.0346,38,Female,None,Low,Lagging
191.5112,84,Female,None,Medium,Immediate
191.5112,72,Male,None,High,Lagging
191.946,82,Female,None,Low,Immediate
192.4032,98,Male,None,High,Immediate
192.4032,38,Male,None,Low,Lagging
192.4032,35,Female,None,High,Lagging
193.1592,37,Male,None,Medium,Immediate
193.1592,48,Male,None,High,Lagging
194.051,29,Female,None,High,Lagging
194.051,21,Male,WheelChair,Low,Lagging
194.4396,23,Female,None,Low,Lagging
194.7712,25,Female,None,Medium,Lagging
195.1134,29,Male,None,Medium,Lagging
195.6173,63,Male,None,Low,Immediate
195.6173,90,Male,None,Medium,Immediate
196.0552,83,Female,None,High,Immediate
196.0552,60,Female,None,High,Lagging
196.0552,59,Female,None,Low,Immediate
196.4377,30,Female,None,Medium,Lagging
196.4377,84,Female,None,High,Immediate
196.4377,23,Male,None,Low,Lagging
196.7809,25,Male,None,Low,Lagging
197.0878,38,Female,WheelChair,Medium,Immediate
197.6727,73,Male,None,Medium,Lagging
197.6727,87,Male,None,Low,Lagging
197.9318,37,Female,None,Low,Lagging
198.1727,27,Male,None,High,Lagging
198.4182,64,Male,None,Medium,Lagging
199.1856,34,Male,None,High,Lagging
199.1856,74,Female,None,High,Lagging
199.1856,66,Female,None,High,Lagging
199.7154,81,Male,None,High,Immediate
199.9767,91,Female,None,Low,Lagging
200.2281,71,Female,None,Medium,Lagging
200.4925,88,Male,WheelChair,Medium,Lagging
200.7551,45,Male,None,High,Lagging
201.0202,43,Male,WakingStick,Low,Immediate
201.0202,47,Male,None,Low,Lagging
201.3299,71,Male,None,Medium,Immediate
201.6357,74,Male,None,Medium,Lagging
201.9305,54,Female,WakingStick,Medium,Lagging
202.2148,43,Male,None,Low,Lagging
202.5096,61,Female,None,Medium,Lagging
202.5096,53,Female,None,High,Lagging
202.8022,32,Female,None,High,Lagging
203.0786,35,Male,None,High,Lagging
203.6468,27,Male,None,High,Lagging
203.9247,67,Male,None,Low,Lagging
204.1819,72,Male,None,Medium,Lagging
204.1819,61,Male,None,High,Lagging
204.4337,89,Male,None,Medium,Lagging
204.7084,29,Male,None,Medium,Lagging
205.272,36,Female,None,Low,Lagging
205.8295,74,Male,None,High,Lagging
206.4121,36,Female,None,Low,Lagging
206.6893,61,Female,None,Medium,Lagging
206.9779,98,Female,None,High,Lagging
206.9779,70,Male,None,Low,Immediate
206.9779,32,Female,None,High,Lagging
207.5459,20,Female,None,Medium,Lagging
207.5459,86,Female,WheelChair,Medium,Immediate
207.8241,39,Female,None,Low,Lagging
207.8241,51,Female,None,Low,Lagging
208.6051,80,Female,None,Low,Lagging
208.6051,63,Female,None,Medium,Immediate
209.1183,89,Male,None,Low,Immediate
209.3621,24,Male,None,Low,Lagging
209.882,37,Male,None,Medium,Lagging
209.882,57,Male,None,Medium,Lagging
210.4096,50,Male,None,Low,Lagging
210.4096,57,Male,None,Medium,Lagging
210.6621,86,Male,WheelChair,Medium,Lagging
211.173,33,Male,None,Medium,Lagging
211.4305,72,Male,None,High,Lagging
211.9688,54,Male,None,Medium,Lagging
211.9688,66,Female,None,Low,Immediate
211.9688,44,Male,None,Low,Lagging
212.2349,61,Female,None,Low,Immediate
212.7513,76,Male,None,Low,Lagging
212.7513,81,Male,None,High,Lagging
213.0161,25,Male,None,High,Lagging
213.8071,97,Male,None,High,Lagging
213.8071,59,Female,None,Low,Lagging
214.0969,93,Female,WheelChair,High,Immediate
214.6428,31,Female,None,Medium,Lagging
214.9147,67,Female,None,Low,Immediate
215.184,25,Male,None,Low,Lagging
215.184,92,Male,None,Medium,Lagging
215.7417,49,Female,None,High,Lagging
216.0359,93,Female,WheelChair,High,Immediate
216.6746,45,Male,None,Medium,Lagging
216.9661,58,Female,None,High,Lagging
216.9661,48,Female,None,Low,Lagging
217.759,86,Male,None,Low,Immediate
218.2841,66,Female,None,Medium,Lagging
218.2841,60,Female,None,High,Lagging
218.8106,67,Female,WakingStick,High,Lagging
218.8106,44,Male,None,Medium,Lagging
218.8106,55,Male,None,High,Lagging
219.078,92,Female,None,High,Lagging
219.3419,38,Male,None,High,Lagging
219.8766,74,Male,None,High,Lagging
219.8766,46,Female,None,Low,Lagging
219.8766,76,Female,None,Medium,Lagging
219.8766,77,Male,None,High,Lagging
220.1512,74,Female,None,High,Lagging
220.6938,71,Female,None,Low,Lagging
220.9496,60,Female,WheelChair,Low,Immediate
221.1961,84,Female,None,Low,Immediate
221.1961,36,Male,None,Medium,Lagging
221.963,86,Male,None,Low,Lagging
221.963,46,Male,None,Low,Lagging
221.963,26,Female,None,Medium,Lagging
222.7165,85,Male,None,Medium,Lagging
223.1902,73,Female,None,High,Lagging
223.4317,77,Male,None,Low,Immediate
223.9281,80,Female,None,Low,Immediate
224.1823,25,Male,None,Medium,Lagging
224.7241,37,Female,None,High,Lagging
224.7241,95,Female,None,High,Lagging
224.995,68,Male,None,Medium,Lagging
225.2418,48,Female,None,Medium,Lagging
225.4862,44,Female,None,Low,Lagging
225.7454,69,Female,None,Low,Lagging
225.7454,88,Female,None,Low,Lagging
226.2808,85,Male,None,High,Lagging
226.5507,22,Female,None,High,Lagging
226.5507,27,Female,None,Medium,Lagging
226.8176,92,Male,None,Low,Immediate
227.0829,37,Female,None,High,Lagging
227.3501,94,Male,None,Medium,Lagging
227.3501,55,Male,None,Low,Lagging
227.3501,68,Female,None,Low,Lagging
228.2312,56,Female,None,Medium,Lagging
228.2312,37,Female,WakingStick,High,Lagging
228.5005,56,Male,None,Medium,Lagging
228.5005,94,Male,None,High,Lagging
228.7675,37,Male,None,Medium,Lagging
228.7675,43,Male,None,High,Lagging
229.6557,37,Female,None,High,Lagging
229.9848,60,Female,None,Low,Lagging
229.9848,37,Female,None,Medium,Lagging
230.29,67,Female,None,High,Lagging
230.5786,65,Male,None,Low,Lagging
230.8475,80,Female,None,Medium,Lagging
231.127,84,Male,None,High,Lagging
231.3942,77,Female,None,High,Lagging
231.6564,98,Female,None,High,Lagging
231.6564,32,Male,None,High,Lagging
232.1923,26,Female,WakingStick,Medium,Lagging
232.1923,94,Female,None,Medium,Immediate
232.46,97,Female,None,Low,Lagging
232.997,74,Female,None,High,Lagging
232.997,50,Male,None,Low,Lagging
233.2527,70,Male,WheelChair,High,Lagging
233.5078,74,Male,None,Medium,Lagging
233.769,48,Male,None,High,Lagging
233.769,64,Female,None,Low,Lagging
234.0295,81,Male,None,Medium,Lagging
234.2837,40,Female,None,Medium,Lagging
234.549,21,Female,None,Low,Lagging
234.832,79,Male,None,High,Lagging
234.832,45,Female,WheelChair,Low,Lagging
235.0959,72,Male,None,Low,Lagging
235.0959,45,Female,None,High,Lagging
235.6138,26,Male,None,Medium,Lagging
235.8807,78,Male,None,High,Lagging
236.1228,92,Male,None,Medium,Lagging
236.363,37,Male,WakingStick,High,Lagging
237.1158,56,Female,None,Medium,Lagging
237.1158,66,Female,WakingStick,Low,Lagging
237.339,99,Female,None,Medium,Lagging
237.339,87,Female,None,High,Lagging
