Time to Evacuate,Age,Gender,Disability,SpatialKnowledge,Observation of Environment,Initial Stress,Maximum Stress,Average Stress,Stress on Exit,Number of Peers
13.17949,60,Female,None,Low,Immediate,0.8130081,1,0,1,65
15.79215,43,Male,WheelChair,High,Immediate,0.8580009,1,0,1,67
16.31236,42,Female,None,Medium,Immediate,0.7639419,1.4,0,1.4,66
17.40219,50,Male,None,Medium,Immediate,0.7843137,1,0,1,65
22.41809,34,Female,None,High,Immediate,0.7215007,1,0,0.8,62
24.02139,38,Male,None,Medium,Immediate,0.7662836,1,0,1,67
24.13672,29,Female,None,High,Immediate,0.7168459,1,0,0.8,65
24.34248,56,Female,None,High,Immediate,0.8064516,1,0,0.8,70
26.01978,48,Male,None,Low,Immediate,0.7874016,1,0,0.6,64
26.37781,25,Male,None,Medium,Immediate,0.6896551,1,0,1,63
26.37781,74,Female,None,High,Lagging,0.90009,1.2,0,1,67
27.13405,25,Male,None,High,Lagging,0.6896551,1.2,0,1,67
27.13405,84,Female,None,High,Immediate,0.9587728,1.2,0,0.8,69
27.42452,63,Male,None,High,Immediate,0.8333333,1,0,0.6,69
27.54547,95,Male,None,Low,Immediate,1.25,1,0,0.8,66
27.72143,23,Male,None,High,Immediate,0.6872852,1,0,0.6,70
27.91579,35,Female,None,Medium,Immediate,0.723589,1,0,0.6,64
27.97771,49,Male,None,Medium,Lagging,0.7936508,1.4,0,1.2,63
28.12676,33,Male,None,Low,Immediate,0.7380074,1,0,0.8,64
29.20811,49,Male,None,Medium,Lagging,0.7936508,1,0,0.6,72
29.53658,68,Male,None,Medium,Lagging,0.8547009,1,0,0.8,64
29.83936,52,Female,None,High,Lagging,0.7980846,1.8,0,1.2,66
30.26874,20,Female,None,Medium,Lagging,0.6993007,1.2,0,0.8,68
31.14468,77,Female,None,Medium,Lagging,0.9225093,1.4,0,0.8,68
31.8688,74,Male,None,Medium,Lagging,0.9009009,1.6,0,1.2,64
32.14804,73,Female,None,Low,Immediate,0.8912656,1,0,0.8,63
32.20668,48,Female,None,Medium,Lagging,0.7849293,1,0,1,66
