Time to Evacuate,Age,Gender,Disability,SpatialKnowledge,Observation of Environment
9.601209,56,Male,None,High,Immediate
10.84719,33,Female,None,High,Immediate
12.68422,87,Female,None,High,Immediate
13.50556,59,Male,None,Low,Immediate
17.12181,88,Female,None,Low,Immediate
17.94345,38,Male,None,High,Immediate
18.49925,26,Male,None,High,Immediate
19.93101,55,Female,None,High,Immediate
21.29881,45,Male,None,Low,Immediate
21.88461,63,Female,None,Low,Immediate
23.19476,57,Male,None,Medium,Immediate
23.83988,73,Male,None,Low,Immediate
23.83988,37,Male,None,Low,Immediate
24.14713,91,Female,None,Low,Immediate
24.74319,73,Male,None,Medium,Immediate
24.74319,60,Male,None,High,Immediate
25.04386,34,Male,None,Medium,Immediate
25.67264,70,Male,None,Medium,Immediate
25.67264,56,Female,None,High,Immediate
26.25681,40,Female,None,Medium,Immediate
26.56978,64,Female,None,High,Immediate
26.86182,80,Male,None,High,Immediate
27.15689,61,Male,None,High,Immediate
27.15689,84,Male,None,High,Immediate
27.15689,30,Female,None,Medium,Immediate
27.44676,39,Male,None,Medium,Immediate
27.73899,75,Male,None,High,Immediate
28.33205,69,Female,None,Low,Immediate
28.6175,28,Female,None,Medium,Immediate
28.6175,47,Male,None,High,Immediate
29.16031,35,Male,None,Medium,Immediate
29.43801,70,Female,None,Low,Immediate
29.95625,66,Female,None,High,Immediate
30.22075,23,Male,None,High,Immediate
30.48263,94,Male,None,High,Immediate
30.74919,68,Female,None,High,Immediate
30.74919,98,Male,None,Medium,Immediate
30.74919,23,Male,None,High,Immediate
31.36687,60,Female,None,Low,Immediate
31.36687,43,Male,WheelChair,Low,Immediate
31.67482,52,Male,None,High,Immediate
31.97654,61,Male,WheelChair,High,Immediate
31.97654,39,Male,None,Low,Immediate
32.27463,68,Female,None,Medium,Immediate
32.27463,92,Female,None,High,Immediate
32.5677,48,Female,None,High,Immediate
32.83909,79,Male,None,High,Immediate
33.11938,40,Male,None,High,Immediate
33.39538,69,Male,None,Medium,Immediate
33.39538,89,Female,None,High,Immediate
33.6763,46,Female,None,High,Immediate
34.2413,76,Male,None,High,Immediate
34.51677,45,Male,None,High,Immediate
35.04734,74,Male,None,Medium,Immediate
35.31135,70,Male,None,Medium,Immediate
35.56756,60,Male,None,High,Immediate
35.83087,44,Male,None,High,Immediate
35.83087,46,Female,None,High,Immediate
36.39619,82,Female,None,High,Immediate
36.68658,57,Female,None,Medium,Immediate
36.68658,97,Male,None,Medium,Immediate
36.68658,72,Male,None,Medium,Immediate
37.23851,75,Male,None,High,Immediate
37.51093,93,Male,None,High,Immediate
37.77554,24,Female,None,High,Immediate
38.05779,36,Male,None,Medium,Immediate
38.34253,41,Male,None,Medium,Immediate
38.61968,38,Male,None,Medium,Immediate
38.90075,83,Female,None,Medium,Immediate
39.18497,71,Male,None,Medium,Immediate
39.18497,38,Female,None,Medium,Immediate
39.73824,43,Male,None,High,Immediate
40.26538,66,Male,None,Low,Immediate
40.52283,66,Female,None,Medium,Immediate
41.06881,87,Female,None,High,Immediate
41.06881,60,Male,None,Medium,Immediate
41.32471,49,Female,None,High,Immediate
41.32471,30,Female,None,Medium,Immediate
41.84764,26,Female,None,High,Immediate
41.84764,44,Female,None,High,Immediate
41.84764,62,Male,None,High,Immediate
41.84764,94,Female,None,Medium,Immediate
