Time to Evacuate,Age,Gender,Disability,SpatialKnowledge,Observation of Environment,Initial Stress,Maximum Stress,Average Stress,Stress on Exit
9.996958,41,Male,None,Medium,Immediate,0.7604563,0,0,0.7604563
11.25154,22,Female,None,High,Immediate,0.7042254,0,0,0.7042254
11.44748,28,Male,None,High,Immediate,0.7117438,0,0,0.7117438
12.27619,64,Female,None,High,Immediate,0.8368201,0,0,0.8368201
12.95166,52,Male,None,High,Immediate,0.7968128,0,0,0.7968128
13.68455,30,Female,None,High,Immediate,0.7117438,0,0,0.7117438
15.50227,33,Male,None,Medium,Immediate,0.7380074,0,0,0.7380074
15.50227,30,Male,None,Medium,Immediate,0.7142857,0,0,0.7142857
16.71512,34,Female,None,High,Immediate,0.7215007,0,0,0.7215007
17.00596,24,Female,None,Medium,Immediate,0.7062147,0,0,0.7062147
18.21802,57,Male,None,High,Immediate,0.8130081,0,0,0.8130081
18.77014,32,Male,None,High,Immediate,0.729927,0,0,0.729927
19.24881,80,Male,None,Low,Immediate,0.952381,0,0,0.952381
19.76557,58,Female,None,Medium,Immediate,0.8156607,0,0,0.8156607
20.25485,79,Female,None,High,Immediate,0.9328358,0,0,0.9328358
21.74905,56,Female,None,High,Immediate,0.8064516,0,0,0.8064516
22.00855,25,Female,None,Low,Immediate,0.7017544,0,0,0.7017544
22.52361,44,Male,None,Low,Immediate,0.7782102,0,0,0.7782102
22.74123,50,Male,None,Low,Immediate,0.7843137,0,0,0.7843137
23.50162,46,Female,None,Low,Immediate,0.7794232,0,0,0.7794232
24.52041,55,Female,None,Low,Immediate,0.8,0,0,0.8
25.0243,88,Male,None,High,Immediate,1.030928,0,0,1.030928
25.0243,81,Male,None,Low,Lagging,0.9615385,0,0,0.9615385
25.51937,72,Male,None,Low,Immediate,0.8849558,0,0,0.8849558
26.00381,50,Male,None,High,Lagging,0.7843137,0,0,0.7843137
26.5175,61,Female,None,High,Lagging,0.8223684,0,0,0.8223684
27.20039,75,Female,None,High,Immediate,0.9082652,0,0,0.9082652
27.52963,97,Male,None,High,Immediate,1.282051,0,0,1.282051
28.04583,26,Female,None,Medium,Immediate,0.7042254,0,0,0.7042254
28.04583,86,Male,None,Low,Immediate,1.010101,0,0,1.010101
28.52926,60,Female,None,Low,Immediate,0.8130081,0,0,0.8130081
29.03251,27,Female,None,High,Immediate,0.7072136,0,0,0.7072136
29.52601,80,Female,None,High,Lagging,0.9372071,0,0,0.9372071
29.72345,36,Female,None,High,Immediate,0.7194245,0,0,0.7194245
29.99569,28,Female,None,Medium,Lagging,0.7092199,0,0,0.7092199
29.99569,65,Female,None,Medium,Immediate,0.8354219,0,0,0.8354219
30.5473,50,Female,None,Medium,Immediate,0.7874016,0,0,0.7874016
30.77114,67,Male,None,Medium,Immediate,0.8474576,0,0,0.8474576
30.96348,55,Male,None,Medium,Lagging,0.8,0,0,0.8
31.45772,32,Male,None,High,Immediate,0.729927,0,0,0.729927
31.77015,67,Male,None,Low,Immediate,0.8474576,0,0,0.8474576
31.77015,98,Male,None,High,Lagging,1.298701,0,0,1.298701
32.28063,66,Male,None,Medium,Immediate,0.8403361,0,0,0.8403361
32.28063,55,Female,None,High,Immediate,0.8,0,0,0.8
32.96122,34,Male,None,High,Immediate,0.7462686,0,0,0.7462686
32.96122,80,Female,None,High,Immediate,0.9372071,0,0,0.9372071
32.96122,20,Male,None,High,Immediate,0.6666667,0,0,0.6666667
32.96122,40,Male,None,Medium,Immediate,0.7547169,0,0,0.7547169
33.25394,55,Male,None,Low,Immediate,0.8,0,0,0.8
33.75428,39,Male,None,High,Immediate,0.7751938,0,0,0.7751938
34.2674,37,Female,None,Low,Immediate,0.7183908,0,0,0.7183908
34.75411,34,Female,None,Low,Immediate,0.7215007,0,0,0.7215007
34.75411,33,Male,None,Medium,Lagging,0.7380074,0,0,0.7380074
34.75411,27,Male,None,Medium,Lagging,0.7042254,0,0,0.7042254
34.96756,82,Female,None,High,Immediate,0.9487666,0,0,0.9487666
35.1713,36,Female,None,High,Lagging,0.7194245,0,0,0.7194245
35.53555,28,Male,None,Medium,Immediate,0.7117438,0,0,0.7117438
35.53555,26,Female,None,Medium,Immediate,0.7042254,0,0,0.7042254
35.9636,42,Male,None,Medium,Immediate,0.7662836,0,0,0.7662836
35.9636,81,Female,None,Low,Immediate,0.9433963,0,0,0.9433963
36.27312,27,Female,None,Medium,Immediate,0.7072136,0,0,0.7072136
36.68737,35,Female,None,Medium,Immediate,0.723589,0,0,0.723589
36.68737,35,Female,None,High,Immediate,0.723589,0,0,0.723589
37.19669,28,Male,WheelChair,High,Immediate,0.7908264,0,0,0.7908264
37.50876,21,Male,None,Low,Immediate,0.6734006,0,0,0.6734006
37.73116,47,Male,None,High,Immediate,0.78125,0,0,0.78125
38.76231,60,Female,None,Low,Lagging,0.8130081,0,0,0.8130081
39.01197,53,Female,None,High,Immediate,0.8038585,0,0,0.8038585
39.20883,42,Female,None,Low,Immediate,0.7639419,0,0,0.7639419
39.52175,84,Male,WheelChair,Medium,Immediate,1.10011,0,0,1.10011
39.73204,54,Male,None,High,Immediate,0.8097166,0,0,0.8097166
40.3382,22,Male,None,High,Immediate,0.6802721,0,0,0.6802721
40.3382,32,Female,None,Low,Lagging,0.7158197,0,0,0.7158197
40.60261,72,Male,None,High,Lagging,0.8849558,0,0,0.8849558
41.30175,58,Male,None,Low,Immediate,0.8196721,0,0,0.8196721
41.30175,26,Female,None,Medium,Lagging,0.7042254,0,0,0.7042254
42.04309,52,Female,None,Low,Immediate,0.7980846,0,0,0.7980846
42.04309,41,Male,None,Medium,Immediate,0.7604563,0,0,0.7604563
42.30076,52,Male,None,Low,Lagging,0.7968128,0,0,0.7968128
42.76634,61,Male,None,Medium,Immediate,0.8196721,0,0,0.8196721
43.70833,66,Female,None,Medium,Lagging,0.8403361,0,0,0.8403361
44.51662,99,Male,None,High,Immediate,1.315789,0,0,1.315789
44.71771,88,Female,WakingStick,Low,Immediate,1.198035,0,0,1.198035
44.71771,97,Female,None,High,Immediate,1.470588,0,0,1.470588
45.07609,72,Female,None,Medium,Immediate,0.8833923,0,0,0.8833923
45.30983,59,Female,None,High,Immediate,0.8223684,0,0,0.8223684
45.5061,66,Male,None,High,Lagging,0.8403361,0,0,0.8403361
45.95877,31,Male,None,High,Immediate,0.7220216,0,0,0.7220216
46.77995,44,Male,None,High,Lagging,0.7782102,0,0,0.7782102
46.77995,93,Female,None,High,Immediate,1.149425,0,0,1.149425
47.77021,55,Male,WheelChair,High,Immediate,0.8888889,0,0,0.8888889
47.77021,24,Female,None,Medium,Immediate,0.7062147,0,0,0.7062147
47.77021,34,Male,None,High,Immediate,0.7462686,0,0,0.7462686
47.95321,59,Male,None,High,Lagging,0.8264462,0,0,0.8264462
47.95321,97,Male,None,High,Immediate,1.282051,0,0,1.282051
48.27692,77,Male,None,Low,Immediate,0.9259259,0,0,0.9259259
48.49319,48,Female,None,Low,Immediate,0.7849293,0,0,0.7849293
48.49319,69,Female,None,Low,Lagging,0.8605852,0,0,0.8605852
48.68792,55,Female,None,High,Lagging,0.8,0,0,0.8
49.02822,32,Female,None,High,Lagging,0.7158197,0,0,0.7158197
49.02822,85,Female,None,High,Lagging,0.9633911,0,0,0.9633911
49.02822,43,Female,None,Medium,Lagging,0.7727975,0,0,0.7727975
49.45853,97,Male,None,High,Immediate,1.282051,0,0,1.282051
49.78158,31,Male,None,Low,Immediate,0.7220216,0,0,0.7220216
49.78158,76,Female,None,High,Lagging,0.9149131,0,0,0.9149131
49.78158,37,Female,None,Medium,Immediate,0.7183908,0,0,0.7183908
50.52578,52,Male,None,Medium,Immediate,0.7968128,0,0,0.7968128
50.79206,93,Male,None,Medium,Immediate,1.149425,0,0,1.149425
51.25603,47,Male,None,High,Lagging,0.78125,0,0,0.78125
51.78011,96,Female,None,Medium,Lagging,1.388889,0,0,1.388889
52.27517,42,Male,None,Medium,Lagging,0.7662836,0,0,0.7662836
52.27517,98,Female,None,Medium,Immediate,1.587302,0,0,1.587302
52.27517,46,Female,None,Low,Immediate,0.7794232,0,0,0.7794232
52.27517,57,Female,None,Low,Lagging,0.8116883,0,0,0.8116883
52.46179,42,Male,None,High,Lagging,0.7662836,0,0,0.7662836
52.46179,49,Female,None,High,Lagging,0.7905138,0,0,0.7905138
52.98088,44,Female,None,Low,Lagging,0.7806401,0,0,0.7806401
52.98088,76,Male,None,High,Immediate,0.9174312,0,0,0.9174312
53.2749,73,Female,None,Low,Lagging,0.8912656,0,0,0.8912656
53.77614,95,Male,None,High,Immediate,1.25,0,0,1.25
53.77614,67,Male,None,High,Immediate,0.8474576,0,0,0.8474576
53.77614,88,Male,None,High,Immediate,1.030928,0,0,1.030928
54.26395,37,Male,None,High,Lagging,0.7575758,0,0,0.7575758
54.5224,89,Male,None,Low,Lagging,1.041667,0,0,1.041667
54.5224,61,Female,None,Medium,Immediate,0.8223684,0,0,0.8223684
54.5224,63,Female,WakingStick,High,Immediate,0.9787608,0,0,0.9787608
55.24135,27,Male,None,Low,Lagging,0.7042254,0,0,0.7042254
55.24135,45,Male,None,High,Lagging,0.7692308,0,0,0.7692308
55.52883,86,Male,None,High,Immediate,1.010101,0,0,1.010101
