Time to Evacuate,Age,Gender,Disability,SpatialKnowledge,Observation of Environment,Initial Stress,Maximum Stress,Average Stress,Stress on Exit
0,20,Male,None,Medium,Lagging,0.6666667,0,0,0.6666667
5.76479,20,Male,WheelChair,Low,Immediate,0.7407407,0,0,0.7407407
7.272067,20,Male,WheelChair,High,Immediate,0.7407407,0,0,0.7407407
8.293152,20,Female,None,High,Immediate,0.6993007,0,0,0.6993007
8.293152,20,Male,None,High,Immediate,0.6666667,0,0,0.6666667
8.986712,20,Male,None,High,Immediate,0.6666667,0,0,0.6666667
9.497647,20,Female,WheelChair,Low,Immediate,0.7770008,0,0,0.7770008
10.28893,20,Male,WheelChair,Medium,Immediate,0.7407407,0,0,0.7407407
12.54324,20,Male,WheelChair,Low,Immediate,0.7407407,0,0,0.7407407
13.06031,20,Female,None,Medium,Immediate,0.6993007,0,0,0.6993007
13.80071,20,Female,None,Medium,Immediate,0.6993007,0,0,0.6993007
14.28249,20,Female,WheelChair,Medium,Immediate,0.7770008,0,0,0.7770008
14.73526,20,Female,None,High,Immediate,0.6993007,0,0,0.6993007
15.27717,20,Female,None,Medium,Immediate,0.6993007,0,0,0.6993007
15.47238,20,Female,WheelChair,High,Immediate,0.7770008,0,0,0.7770008
16.54101,20,Male,None,High,Immediate,0.6666667,0,0,0.6666667
16.76463,20,Male,None,Low,Immediate,0.6666667,0,0,0.6666667
17.95251,20,Female,None,High,Immediate,0.6993007,0,0,0.6993007
18.51417,20,Male,None,Low,Immediate,0.6666667,0,0,0.6666667
19.79958,20,Male,WakingStick,Medium,Immediate,0.7843137,0,0,0.7843137
19.79958,20,Female,None,High,Immediate,0.6993007,0,0,0.6993007
20.2837,20,Male,WheelChair,High,Lagging,0.7407407,0,0,0.7407407
21.78923,20,Male,WakingStick,High,Immediate,0.7843137,0,0,0.7843137
21.78923,20,Male,None,Medium,Immediate,0.6666667,0,0,0.6666667
22.00527,20,Male,WakingStick,Medium,Immediate,0.7843137,0,0,0.7843137
22.50916,20,Male,None,Low,Immediate,0.6666667,0,0,0.6666667
22.79056,20,Male,None,High,Immediate,0.6666667,0,0,0.6666667
23.29921,20,Male,None,Medium,Lagging,0.6666667,0,0,0.6666667
23.29921,20,Male,WheelChair,Low,Immediate,0.7407407,0,0,0.7407407
23.78022,20,Female,WakingStick,High,Immediate,0.8227067,0,0,0.8227067
23.78022,20,Male,None,High,Immediate,0.6666667,0,0,0.6666667
23.78022,20,Female,WheelChair,High,Lagging,0.7770008,0,0,0.7770008
24.8727,20,Male,WheelChair,High,Lagging,0.7407407,0,0,0.7407407
25.83261,20,Male,None,Low,Immediate,0.6666667,0,0,0.6666667
25.83261,20,Male,WheelChair,Low,Immediate,0.7407407,0,0,0.7407407
26.56427,20,Female,None,Medium,Immediate,0.6993007,0,0,0.6993007
26.56427,20,Male,None,High,Lagging,0.6666667,0,0,0.6666667
26.78322,20,Female,WheelChair,Medium,Immediate,0.7770008,0,0,0.7770008
27.82496,20,Female,None,Medium,Lagging,0.6993007,0,0,0.6993007
28.58149,20,Female,None,Medium,Immediate,0.6993007,0,0,0.6993007
28.75227,20,Female,None,High,Lagging,0.6993007,0,0,0.6993007
29.08416,20,Male,None,High,Lagging,0.6666667,0,0,0.6666667
29.08416,20,Male,None,Low,Immediate,0.6666667,0,0,0.6666667
29.29964,20,Female,None,Medium,Immediate,0.6993007,0,0,0.6993007
29.29964,20,Male,None,Medium,Immediate,0.6666667,0,0,0.6666667
29.58147,20,Female,WakingStick,Medium,Lagging,0.8227067,0,0,0.8227067
29.58147,20,Female,None,High,Lagging,0.6993007,0,0,0.6993007
29.58147,20,Male,None,Medium,Lagging,0.6666667,0,0,0.6666667
29.7735,20,Female,WakingStick,Medium,Immediate,0.8227067,0,0,0.8227067
30.08847,20,Female,WakingStick,Medium,Immediate,0.8227067,0,0,0.8227067
30.08847,20,Female,None,Low,Immediate,0.6993007,0,0,0.6993007
30.30865,20,Male,WakingStick,High,Lagging,0.7843137,0,0,0.7843137
30.30865,20,Male,None,High,Immediate,0.6666667,0,0,0.6666667
30.30865,20,Female,None,Low,Immediate,0.6993007,0,0,0.6993007
31.04066,20,Female,None,Medium,Lagging,0.6993007,0,0,0.6993007
31.04066,20,Female,None,Medium,Immediate,0.6993007,0,0,0.6993007
31.04066,20,Female,WheelChair,Low,Lagging,0.7770008,0,0,0.7770008
31.32897,20,Male,None,Medium,Lagging,0.6666667,0,0,0.6666667
31.32897,20,Male,WakingStick,Low,Lagging,0.7843137,0,0,0.7843137
31.32897,20,Male,None,High,Immediate,0.6666667,0,0,0.6666667
32.2303,20,Male,WheelChair,Medium,Lagging,0.7407407,0,0,0.7407407
32.56558,20,Female,None,Medium,Immediate,0.6993007,0,0,0.6993007
32.56558,20,Male,WakingStick,Medium,Immediate,0.7843137,0,0,0.7843137
33.06499,20,Female,None,High,Lagging,0.6993007,0,0,0.6993007
33.06499,20,Female,WakingStick,Medium,Lagging,0.8227067,0,0,0.8227067
33.06499,20,Male,WheelChair,Low,Lagging,0.7407407,0,0,0.7407407
34.06491,20,Male,None,High,Immediate,0.6666667,0,0,0.6666667
34.56551,20,Female,None,Medium,Immediate,0.6993007,0,0,0.6993007
34.75684,20,Female,None,Low,Immediate,0.6993007,0,0,0.6993007
35.0653,20,Female,WakingStick,Low,Lagging,0.8227067,0,0,0.8227067
35.0653,20,Male,None,Medium,Lagging,0.6666667,0,0,0.6666667
35.27188,20,Male,None,Low,Lagging,0.6666667,0,0,0.6666667
35.59167,20,Female,None,High,Lagging,0.6993007,0,0,0.6993007
35.80357,20,Female,None,Medium,Immediate,0.6993007,0,0,0.6993007
35.80357,20,Male,None,High,Lagging,0.6666667,0,0,0.6666667
35.80357,20,Male,None,High,Immediate,0.6666667,0,0,0.6666667
35.99195,20,Male,WakingStick,High,Immediate,0.7843137,0,0,0.7843137
36.33138,20,Female,None,High,Lagging,0.6993007,0,0,0.6993007
36.53502,20,Male,None,Medium,Immediate,0.6666667,0,0,0.6666667
36.53502,20,Female,None,High,Immediate,0.6993007,0,0,0.6993007
37.32028,20,Female,None,Medium,Immediate,0.6993007,0,0,0.6993007
37.83546,20,Female,WakingStick,High,Lagging,0.8227067,0,0,0.8227067
37.83546,20,Female,WakingStick,Low,Lagging,0.8227067,0,0,0.8227067
37.83546,20,Female,WheelChair,Low,Lagging,0.7770008,0,0,0.7770008
38.02754,20,Male,None,Low,Lagging,0.6666667,0,0,0.6666667
38.31588,20,Male,WheelChair,Low,Lagging,0.7407407,0,0,0.7407407
38.56878,20,Female,None,Medium,Lagging,0.6993007,0,0,0.6993007
38.56878,20,Female,WheelChair,High,Lagging,0.7770008,0,0,0.7770008
38.56878,20,Male,WheelChair,High,Lagging,0.7407407,0,0,0.7407407
39.00037,20,Female,None,Medium,Lagging,0.6993007,0,0,0.6993007
39.51051,20,Male,None,Low,Lagging,0.6666667,0,0,0.6666667
39.83247,20,Male,None,High,Lagging,0.6666667,0,0,0.6666667
40.03996,20,Female,WheelChair,Medium,Lagging,0.7770008,0,0,0.7770008
40.31773,20,Female,WheelChair,Medium,Lagging,0.7770008,0,0,0.7770008
40.83765,20,Female,None,Low,Lagging,0.6993007,0,0,0.6993007
41.0386,20,Female,WheelChair,Medium,Immediate,0.7770008,0,0,0.7770008
41.31537,20,Male,None,Medium,Immediate,0.6666667,0,0,0.6666667
41.5451,20,Male,WheelChair,Low,Lagging,0.7407407,0,0,0.7407407
41.81772,20,Male,WheelChair,Low,Immediate,0.7407407,0,0,0.7407407
41.81772,20,Male,None,Medium,Lagging,0.6666667,0,0,0.6666667
41.81772,20,Male,WakingStick,High,Lagging,0.7843137,0,0,0.7843137
42.00402,20,Male,None,Medium,Lagging,0.6666667,0,0,0.6666667
42.36013,20,Female,None,High,Immediate,0.6993007,0,0,0.6993007
42.58932,20,Female,None,High,Lagging,0.6993007,0,0,0.6993007
43.07215,20,Female,None,Low,Immediate,0.6993007,0,0,0.6993007
43.07215,20,Male,WakingStick,Medium,Lagging,0.7843137,0,0,0.7843137
43.07215,20,Male,WheelChair,High,Lagging,0.7407407,0,0,0.7407407
43.25916,20,Female,None,Low,Lagging,0.6993007,0,0,0.6993007
43.25916,20,Male,None,High,Lagging,0.6666667,0,0,0.6666667
43.57326,20,Male,WheelChair,Low,Lagging,0.7407407,0,0,0.7407407
43.57326,20,Male,None,Low,Immediate,0.6666667,0,0,0.6666667
44.25333,20,Male,None,Medium,Lagging,0.6666667,0,0,0.6666667
44.85218,20,Male,None,High,Lagging,0.6666667,0,0,0.6666667
45.84089,20,Female,WakingStick,High,Immediate,0.8227067,0,0,0.8227067
46.02141,20,Female,WheelChair,High,Lagging,0.7770008,0,0,0.7770008
46.34079,20,Female,WakingStick,Medium,Lagging,0.8227067,0,0,0.8227067
46.52631,20,Male,None,Medium,Lagging,0.6666667,0,0,0.6666667
46.8563,20,Female,None,High,Lagging,0.6993007,0,0,0.6993007
47.0541,20,Male,None,High,Lagging,0.6666667,0,0,0.6666667
47.0541,20,Female,WheelChair,Low,Lagging,0.7770008,0,0,0.7770008
47.0541,20,Male,None,Medium,Lagging,0.6666667,0,0,0.6666667
47.33569,20,Male,WakingStick,High,Lagging,0.7843137,0,0,0.7843137
47.58654,20,Male,WheelChair,High,Lagging,0.7407407,0,0,0.7407407
47.81292,20,Female,WheelChair,Medium,Lagging,0.7770008,0,0,0.7770008
47.81292,20,Male,None,Low,Lagging,0.6666667,0,0,0.6666667
47.81292,20,Female,WakingStick,High,Lagging,0.8227067,0,0,0.8227067
48.35078,20,Female,None,Low,Immediate,0.6993007,0,0,0.6993007
48.35078,20,Male,None,Low,Lagging,0.6666667,0,0,0.6666667
48.59138,20,Male,None,High,Immediate,0.6666667,0,0,0.6666667
48.59138,20,Female,None,Medium,Lagging,0.6993007,0,0,0.6993007
48.83652,20,Female,None,Medium,Lagging,0.6993007,0,0,0.6993007
48.83652,20,Female,None,Low,Immediate,0.6993007,0,0,0.6993007
49.07716,20,Male,None,Low,Immediate,0.6666667,0,0,0.6666667
49.07716,20,Male,WakingStick,Low,Lagging,0.7843137,0,0,0.7843137
49.83519,20,Male,WakingStick,Low,Immediate,0.7843137,0,0,0.7843137
49.83519,20,Female,None,Medium,Lagging,0.6993007,0,0,0.6993007
49.83519,20,Male,None,Medium,Lagging,0.6666667,0,0,0.6666667
50.6103,20,Female,WheelChair,High,Lagging,0.7770008,0,0,0.7770008
50.6103,20,Female,WakingStick,Medium,Lagging,0.8227067,0,0,0.8227067
50.6103,20,Male,None,Low,Lagging,0.6666667,0,0,0.6666667
50.84578,20,Male,WheelChair,Medium,Lagging,0.7407407,0,0,0.7407407
50.84578,20,Female,WheelChair,Low,Lagging,0.7770008,0,0,0.7770008
50.84578,20,Male,WakingStick,Medium,Lagging,0.7843137,0,0,0.7843137
51.34007,20,Female,None,High,Lagging,0.6993007,0,0,0.6993007
51.34007,20,Male,None,Medium,Lagging,0.6666667,0,0,0.6666667
51.82042,20,Male,WakingStick,Low,Immediate,0.7843137,0,0,0.7843137
52.10557,20,Female,None,Medium,Lagging,0.6993007,0,0,0.6993007
52.58087,20,Male,WheelChair,Medium,Lagging,0.7407407,0,0,0.7407407
52.85843,20,Male,WheelChair,Low,Lagging,0.7407407,0,0,0.7407407
53.02282,20,Female,None,Low,Immediate,0.6993007,0,0,0.6993007
53.02282,20,Male,WheelChair,Low,Lagging,0.7407407,0,0,0.7407407
53.35291,20,Female,None,High,Lagging,0.6993007,0,0,0.6993007
53.85028,20,Male,None,Medium,Lagging,0.6666667,0,0,0.6666667
54.09143,20,Female,None,High,Lagging,0.6993007,0,0,0.6993007
54.09143,20,Female,WheelChair,Low,Immediate,0.7770008,0,0,0.7770008
54.09143,20,Male,None,Medium,Lagging,0.6666667,0,0,0.6666667
54.09143,20,Female,None,Low,Lagging,0.6993007,0,0,0.6993007
54.09143,20,Female,WheelChair,Low,Lagging,0.7770008,0,0,0.7770008
54.35384,20,Male,WheelChair,High,Lagging,0.7407407,0,0,0.7407407
54.5993,20,Female,WheelChair,High,Immediate,0.7770008,0,0,0.7770008
54.5993,20,Male,None,High,Lagging,0.6666667,0,0,0.6666667
54.83755,20,Male,None,Medium,Lagging,0.6666667,0,0,0.6666667
55.34447,20,Male,None,Medium,Lagging,0.6666667,0,0,0.6666667
55.34447,20,Female,WheelChair,High,Lagging,0.7770008,0,0,0.7770008
55.34447,20,Female,None,High,Lagging,0.6993007,0,0,0.6993007
55.57419,20,Male,WakingStick,Medium,Lagging,0.7843137,0,0,0.7843137
55.8528,20,Male,None,Low,Lagging,0.6666667,0,0,0.6666667
56.10395,20,Male,WakingStick,High,Lagging,0.7843137,0,0,0.7843137
56.33898,20,Female,WheelChair,High,Lagging,0.7770008,0,0,0.7770008
56.33898,20,Male,None,Low,Lagging,0.6666667,0,0,0.6666667
56.33898,20,Male,None,Low,Lagging,0.6666667,0,0,0.6666667
56.60911,20,Male,WheelChair,High,Lagging,0.7407407,0,0,0.7407407
56.84749,20,Female,None,Low,Lagging,0.6993007,0,0,0.6993007
57.60181,20,Male,None,High,Lagging,0.6666667,0,0,0.6666667
57.83503,20,Female,WheelChair,Low,Lagging,0.7770008,0,0,0.7770008
58.08219,20,Female,None,Low,Lagging,0.6993007,0,0,0.6993007
58.8617,20,Male,WheelChair,Low,Lagging,0.7407407,0,0,0.7407407
58.8617,20,Male,WheelChair,Medium,Lagging,0.7407407,0,0,0.7407407
58.8617,20,Female,WheelChair,Medium,Lagging,0.7770008,0,0,0.7770008
58.8617,20,Female,None,Medium,Immediate,0.6993007,0,0,0.6993007
59.02986,20,Female,None,Medium,Lagging,0.6993007,0,0,0.6993007
59.33828,20,Male,WheelChair,Medium,Immediate,0.7407407,0,0,0.7407407
59.33828,20,Female,WakingStick,Medium,Lagging,0.8227067,0,0,0.8227067
59.58051,20,Male,None,Medium,Lagging,0.6666667,0,0,0.6666667
59.83208,20,Male,WheelChair,Low,Lagging,0.7407407,0,0,0.7407407
59.83208,20,Male,None,Low,Immediate,0.6666667,0,0,0.6666667
60.33123,20,Male,WakingStick,Low,Lagging,0.7843137,0,0,0.7843137
60.33123,20,Female,None,Low,Lagging,0.6993007,0,0,0.6993007
60.58475,20,Male,WakingStick,High,Lagging,0.7843137,0,0,0.7843137
60.83882,20,Male,WheelChair,High,Lagging,0.7407407,0,0,0.7407407
60.83882,20,Male,WheelChair,Medium,Immediate,0.7407407,0,0,0.7407407
60.83882,20,Male,WheelChair,Low,Lagging,0.7407407,0,0,0.7407407
61.08133,20,Female,WakingStick,Medium,Lagging,0.8227067,0,0,0.8227067
61.66025,20,Female,None,Medium,Lagging,0.6993007,0,0,0.6993007
61.66025,20,Male,WheelChair,High,Lagging,0.7407407,0,0,0.7407407
61.66025,20,Female,WakingStick,Medium,Lagging,0.8227067,0,0,0.8227067
61.66025,20,Female,WheelChair,Low,Lagging,0.7770008,0,0,0.7770008
62.10722,20,Male,WheelChair,Medium,Immediate,0.7407407,0,0,0.7407407
62.35702,20,Male,WheelChair,Low,Lagging,0.7407407,0,0,0.7407407
62.59628,20,Male,WakingStick,High,Lagging,0.7843137,0,0,0.7843137
62.59628,20,Male,None,Medium,Lagging,0.6666667,0,0,0.6666667
62.59628,20,Female,WheelChair,High,Lagging,0.7770008,0,0,0.7770008
62.85676,20,Male,WakingStick,Low,Immediate,0.7843137,0,0,0.7843137
62.85676,20,Female,None,Medium,Immediate,0.6993007,0,0,0.6993007
62.85676,20,Female,None,Low,Lagging,0.6993007,0,0,0.6993007
62.85676,20,Female,WheelChair,Medium,Lagging,0.7770008,0,0,0.7770008
63.33519,20,Female,WheelChair,High,Lagging,0.7770008,0,0,0.7770008
63.33519,20,Female,None,Medium,Lagging,0.6993007,0,0,0.6993007
63.33519,20,Female,None,Medium,Lagging,0.6993007,0,0,0.6993007
63.59943,20,Female,None,Low,Lagging,0.6993007,0,0,0.6993007
