UniqueID,Time to Evacuate,Age,Gender,Disability,SpatialKnowledge,Observation of Environment,Emergency Training,Initial Stress,Maximum Stress,Average Stress,Stress on Exit,Number of Peers
27,63.25205,99,Female,None,High,Immediate,Low,1.785714,2.5,2.170635,2,25
241,64.60745,93,Male,None,Medium,Lagging,Low,1.149425,3,2.265385,2.5,27
217,65.53827,99,Male,None,Medium,Lagging,Low,1.315789,2.5,2.121212,2,23
139,65.53827,52,Male,None,Medium,Immediate,Medium,0.7968128,2.75,2.166667,2.25,25
166,66.07622,48,Male,None,Low,Lagging,Low,0.7874016,3,2.439394,1.75,27
250,67.18663,89,Male,None,High,Immediate,Medium,1.041667,2.75,2.399254,2,25
85,68.1232,53,Female,None,Medium,Lagging,High,0.8038585,2.5,1.996323,1.75,26
234,68.68838,44,Male,None,Medium,Lagging,Low,0.7782102,3,2.521739,2.25,26
120,69.21564,46,Female,None,High,Lagging,Low,0.7794232,3,2.5,2.25,27
251,69.35885,30,Female,None,High,Lagging,High,0.7117438,2.5,2.053571,1.5,27
97,70.02058,80,Male,None,High,Lagging,Low,0.952381,2.5,2.075,2.5,24
113,71.35606,72,Female,None,Medium,Lagging,High,0.8833923,2,1.652778,1.5,26
33,72.2082,89,Male,None,High,Lagging,Low,1.041667,2.75,2.461806,2,24
117,72.86446,57,Female,None,Medium,Lagging,Low,0.8116883,3,2.352739,2,27
151,73.40308,60,Male,None,High,Lagging,Low,0.8130081,2.75,2.307433,2.25,25
53,74.07047,35,Male,None,Medium,Lagging,Low,0.7407407,3,2.331081,2.25,26
77,74.23386,59,Female,None,Medium,Lagging,Low,0.8223684,2.75,2.219594,2.25,27
202,74.77309,23,Female,None,High,Lagging,Low,0.691085,3,2.523334,2.25,25
145,74.89713,65,Male,None,Low,Immediate,High,0.8333333,2.25,1.643333,1.5,26
140,76.28085,55,Female,WheelChair,Low,Immediate,Low,0.8888889,2.75,2.085526,1.75,26
50,76.28085,76,Male,None,High,Lagging,Low,0.9174312,2.5,2.148027,2.25,25
55,77.20928,62,Male,None,Low,Lagging,High,0.8264462,2.25,1.948051,1.75,25
103,77.46346,85,Female,None,High,Lagging,High,0.9633911,2.25,1.88141,1,26
270,77.61272,33,Female,None,Medium,Lagging,Low,0.7204611,3,2.714744,2,27
116,78.01234,49,Male,None,Medium,Lagging,High,0.7936508,2.25,1.727564,1.25,24
7,78.01234,27,Female,None,Medium,Lagging,Low,0.7072136,3,2.352564,1.75,26
196,78.71779,30,Male,None,Medium,Lagging,Medium,0.7142857,2.25,1.822785,1.75,26
193,79.50271,64,Female,None,Medium,Lagging,Low,0.8368201,3,2.471875,2.25,22
30,79.65307,84,Male,None,Medium,Lagging,Low,0.990099,3,2.48125,2.25,26
79,79.65307,68,Female,None,Low,Lagging,Medium,0.8547009,2.5,2.25625,2.5,27
15,80.35258,37,Male,None,Low,Lagging,Medium,0.7575758,2.25,1.981481,1.75,24
101,81.11132,90,Male,None,High,Lagging,High,1.111111,2,1.774691,1.5,26
72,81.11132,51,Male,None,High,Lagging,Low,0.7905138,2.5,2.311728,2.25,26
188,81.11132,79,Male,None,Medium,Lagging,High,0.9433963,2.25,1.722222,1.5,26
78,81.29707,48,Female,None,Low,Lagging,Low,0.7849293,2.75,2.384146,2.5,26
16,81.55272,28,Female,None,Medium,Lagging,Low,0.7092199,2.75,2.10061,2,27
6,81.68372,56,Female,None,High,Lagging,High,0.8064516,2.5,2.012195,1.5,27
269,82.38403,69,Female,None,Medium,Lagging,Medium,0.8605852,2.75,2.222891,2,24
74,82.4819,59,Female,None,Low,Lagging,Medium,0.8223684,2.75,2.195783,2.25,27
83,83.70039,24,Male,None,Medium,Lagging,Medium,0.6944444,2.75,2.223215,1.75,27
23,84.11323,75,Female,None,Medium,Lagging,Low,0.9082652,2.75,2.235119,2,24
37,84.32705,41,Female,None,Medium,Lagging,Medium,0.761035,2.5,1.95,2.5,27
129,84.84286,83,Female,None,Medium,Lagging,High,0.9541985,2.5,1.991177,2,27
45,85.66135,66,Male,None,Medium,Lagging,Low,0.8403361,3,2.511628,2,27
14,86.74096,97,Female,None,High,Lagging,Medium,1.470588,2.25,1.945402,2,26
10,88.06377,40,Male,None,Medium,Lagging,Low,0.7547169,3,2.340909,2,26
66,88.06377,46,Male,None,High,Lagging,Low,0.7751938,2.75,2.386364,2.25,26
13,88.06377,61,Female,None,High,Lagging,Low,0.8223684,2.5,2.363636,2.5,26
198,89.56077,67,Male,None,High,Lagging,High,0.8474576,2.25,1.988889,2.25,26
111,89.9663,52,Female,None,Medium,Lagging,High,0.7980846,2.5,2.080555,1.75,24
67,90.99982,99,Female,None,Medium,Immediate,Low,1.785714,2.75,1.986264,2,25
46,90.99982,90,Male,None,Low,Immediate,Low,1.111111,2.25,2.019231,2,26
60,90.99982,86,Male,None,Low,Lagging,High,1.010101,2.25,1.733517,1.75,24
169,90.99982,20,Male,None,Low,Lagging,Medium,0.6666667,2.75,2.423077,2.25,25
48,91.67898,91,Male,None,Medium,Lagging,Low,1.123595,2.75,2.244565,2.5,26
9,91.67898,62,Female,None,Low,Immediate,Medium,0.8237233,2.75,2.244565,2.25,27
255,91.93439,81,Male,None,Low,Immediate,Low,0.9615385,3,2.391305,3,27
164,93.8062,52,Female,None,Low,Lagging,Low,0.7980846,2.75,2.223404,1.75,26
38,94.20188,89,Male,None,High,Immediate,Low,1.041667,3,2.356383,3,26
257,94.43988,21,Female,None,High,Lagging,Low,0.7012623,3,2.502631,2.25,26
240,95.01035,97,Female,None,Low,Lagging,Low,1.470588,2.75,2.105263,1.5,26
84,95.27541,42,Male,None,Medium,Lagging,Low,0.7662836,3,2.576316,2,26
237,95.53235,90,Female,None,Medium,Lagging,Low,1.052632,3,2.447917,2.5,26
44,96.1892,46,Male,None,High,Lagging,Medium,0.7751938,2.75,2.364583,2.75,27
43,96.34987,33,Female,None,Medium,Lagging,Medium,0.7204611,2.75,2.13402,1.75,26
137,96.7474,42,Female,None,Low,Lagging,High,0.7639419,2.5,2.110825,1.75,26
189,96.88506,42,Male,None,Medium,Lagging,Low,0.7662836,2.75,2.242267,2,25
156,97.00398,73,Female,None,High,Lagging,Low,0.8912656,3,2.505155,3,25
3,97.12637,55,Male,None,Low,Immediate,Medium,0.8,2.5,1.881443,1.25,25
114,97.67466,74,Female,None,Medium,Lagging,Low,0.90009,3,2.380102,2,25
262,97.9362,27,Female,None,High,Immediate,Low,0.7072136,3,2.576531,1.5,26
271,97.9362,59,Male,None,Medium,Lagging,Low,0.8264462,3,2.354592,3,26
47,99.5357,40,Male,None,Low,Lagging,High,0.7547169,2.5,1.84,2.5,25
68,100.2329,66,Female,WheelChair,Medium,Lagging,Low,0.9337067,2.25,2.03,1.75,23
253,100.8684,23,Female,None,High,Lagging,Low,0.691085,3,2.430694,3,26
49,101.5394,60,Male,None,Medium,Lagging,Medium,0.8130081,2.5,2.100489,2,25
159,101.6641,44,Male,None,High,Immediate,Low,0.7782102,3,2.656862,2.5,24
118,101.9198,41,Male,None,Medium,Lagging,Low,0.7604563,2.5,2.338236,2,24
64,102.0688,78,Female,None,Low,Lagging,Low,0.9276438,2.75,2.122549,2.25,26
112,102.0688,30,Male,WakingStick,Low,Lagging,Low,0.8403362,3,2.453431,2.25,26
249,103.6773,80,Male,None,Low,Lagging,High,0.952381,2.5,1.997597,1.5,22
69,103.8037,26,Male,None,Medium,Lagging,Low,0.6968641,3,2.564904,2,27
98,106.3465,55,Male,None,Low,Immediate,Low,0.8,3,2.502337,3,26
219,106.3465,63,Male,None,High,Lagging,Low,0.8333333,2.75,2.509346,2.25,26
177,106.4701,38,Female,None,Medium,Lagging,Medium,0.7204611,2.75,2.331776,2.25,25
21,106.6097,27,Female,None,Medium,Lagging,Low,0.7072136,2.75,2.420561,1.75,23
252,107.2797,29,Female,None,High,Immediate,Low,0.7168459,3,2.478972,2,26
161,107.2797,36,Male,None,Medium,Lagging,Low,0.7490637,3,2.630841,2.25,25
62,107.2797,62,Male,None,High,Lagging,High,0.8264462,2.5,2.074767,2.25,26
174,107.8137,88,Male,None,Medium,Immediate,Low,1.030928,2.75,2.233797,2,26
126,108.6111,85,Female,WheelChair,Low,Lagging,High,1.070435,2.5,2.277523,2,26
144,108.6111,72,Female,None,High,Lagging,Medium,0.8833923,2.5,1.889908,2,25
259,109.6733,60,Female,None,High,Lagging,Low,0.8130081,3,2.631818,1.75,27
268,110.868,90,Female,None,Low,Immediate,Low,1.052632,3,2.29955,2.25,26
203,110.868,95,Male,None,Medium,Lagging,Low,1.25,3,2.342342,2.25,26
152,111.4989,59,Male,None,Low,Lagging,Medium,0.8264462,2.75,1.930804,1.75,26
190,112.4641,20,Female,None,Low,Lagging,High,0.6993007,2.25,1.820796,1.75,26
94,112.8654,50,Female,None,Low,Immediate,Low,0.7874016,2.75,2.482301,2.25,26
76,114.7367,83,Male,None,Medium,Lagging,Low,0.9803922,3,2.463044,2,24
194,114.7367,47,Male,None,Low,Immediate,Low,0.78125,3,2.484783,2.25,26
220,114.8692,33,Male,None,Low,Lagging,Low,0.7380074,3,2.654348,2.5,24
204,115.5027,28,Male,None,Medium,Lagging,Medium,0.7117438,2.5,2.204742,2.25,26
133,115.6728,51,Female,None,Low,Lagging,Low,0.7936508,2.75,2.157328,2,25
73,116.7424,25,Male,None,Medium,Lagging,Low,0.6896551,2.75,2.369658,2,26
90,117.0139,98,Male,None,High,Lagging,Medium,1.298701,2.75,2.136752,2.25,24
128,117.1407,74,Female,None,Medium,Lagging,Low,0.90009,3,2.461538,2.25,27
115,117.2747,85,Female,None,Low,Lagging,Low,0.9633911,3,2.459403,2.75,24
267,117.6696,49,Female,WheelChair,Medium,Lagging,Low,0.8783487,2.75,2.336865,2.25,26
180,117.939,69,Female,None,Low,Lagging,High,0.8605852,2.25,1.741525,1,26
102,118.5993,73,Male,None,High,Lagging,Low,0.8928571,3,2.285714,2.25,26
109,118.872,81,Female,None,Medium,Lagging,Low,0.9433963,2.75,2.373949,2.25,24
147,119.2724,48,Male,None,Low,Lagging,Medium,0.7874016,2.25,2.090336,2.25,25
211,119.8079,54,Female,None,Medium,Lagging,Low,0.8084074,3,2.364583,2,25
