UniqueID,Time to Evacuate,Age,Gender,Disability,SpatialKnowledge,Observation of Environment,Emergency Training,Initial Stress,Maximum Stress,Average Stress,Stress on Exit,Number of Peers
304,7.755888,20,Male,None,Medium,Immediate,Low,0.6666667,2.25,1.9375,2,33
30,8.74091,37,Male,None,High,Immediate,Low,0.7575758,2.75,2.25,2.25,32
302,8.74091,28,Male,None,High,Immediate,Low,0.7117438,2.5,2.111111,2,31
24,9.825625,20,Male,WheelChair,High,Immediate,Medium,0.7407407,2.25,1.9,1.75,33
34,11.47219,20,Female,None,High,Immediate,Low,0.6993007,2.5,2.125,2.25,34
310,11.47219,22,Female,None,Medium,Immediate,Low,0.7042254,2.5,2.270833,2.25,33
311,12.66748,24,Female,None,High,Immediate,Low,0.7062147,3,2.538461,2.5,32
26,14.32316,22,Male,None,High,Immediate,Medium,0.6802721,2.75,2.2,1.25,31
151,14.74514,20,Female,None,Medium,Immediate,Low,0.6993007,2.25,2.033333,2,33
217,15.15759,25,Male,None,High,Immediate,Low,0.6896551,2.75,2.45,2.25,31
156,15.56973,20,Male,None,High,Immediate,Medium,0.6666667,2.25,1.78125,1.75,34
282,15.82302,20,Female,None,Medium,Immediate,Low,0.6993007,3,2.5,2.5,32
280,18.96671,20,Male,None,Medium,Immediate,Low,0.6666667,2.5,2.184211,2,32
288,19.88331,40,Female,None,Low,Immediate,Low,0.7621951,2.75,2.3,2.25,33
153,20.27886,45,Male,None,Low,Lagging,Low,0.7692308,2.75,2.25,2,32
146,21.43997,20,Female,None,Medium,Lagging,Low,0.6993007,2.75,2.272727,2.25,34
28,23.13834,42,Female,None,High,Lagging,Low,0.7639419,3,2.467391,2.75,30
114,23.45978,20,Male,None,High,Immediate,Low,0.6666667,2.5,2.208333,2.5,30
312,24.20731,39,Male,None,Low,Lagging,Low,0.7751938,2.75,2.447917,2.25,31
60,24.95845,20,Male,None,Medium,Immediate,Low,0.6666667,2.75,2.41,2.5,34
