UniqueID,Time to Evacuate,Age,Gender,Disability,SpatialKnowledge,Observation of Environment,Emergency Training,Initial Stress,Maximum Stress,Average Stress,Stress on Exit,Number of Peers
47,10.0005,43,Female,None,High,Immediate,Low,0.7727975,3,2.45,2.25,39
51,23.77597,30,Male,None,High,Immediate,Medium,0.7142857,2.25,2.125,2.25,38
177,24.28491,20,Female,None,High,Immediate,High,0.6993007,2,1.572917,1.25,37
187,24.961,20,Male,None,High,Immediate,Medium,0.6666667,2.5,2.15,2,38
35,25.35986,20,Female,None,Medium,Lagging,Low,0.6993007,3,2.826923,2.5,38
38,26.27147,31,Female,None,Low,Lagging,Low,0.7107321,3,2.875,2.5,37
53,26.53822,27,Male,None,High,Lagging,Medium,0.7042254,2.75,2.564815,2.25,35
37,26.93814,20,Male,None,High,Lagging,Medium,0.6666667,2.75,2.583333,2.25,36
95,27.07166,34,Male,None,Low,Immediate,Low,0.7462686,2.5,2.25,2.25,37
39,27.5414,20,Female,None,High,Lagging,Low,0.6993007,2.75,2.508929,2,34
327,27.67162,24,Male,None,Medium,Immediate,Low,0.6944444,2.25,2.241071,2.25,34
188,28.38041,20,Female,None,High,Immediate,Medium,0.6993007,2.5,2.103448,2.25,36
314,30.30986,20,Female,None,Medium,Immediate,Low,0.6993007,2.5,2.291667,2.5,38
316,31.35835,20,Female,None,Low,Immediate,High,0.6993007,1.75,1.625,1.25,37
312,32.32095,31,Male,None,Medium,Immediate,High,0.7220216,2,1.828125,1.75,38
341,33.12771,37,Male,None,Low,Lagging,Low,0.7575758,2.5,2.393939,2,39
82,34.23862,32,Male,None,High,Immediate,Low,0.729927,2.75,2.25,2.25,37
31,34.37067,20,Female,None,Low,Immediate,Medium,0.6993007,2.25,1.785714,1.75,37
180,34.8382,33,Male,None,Medium,Lagging,Low,0.8200082,2.75,2.335714,2.25,38
335,35.17237,28,Female,None,Medium,Lagging,Low,0.7092199,2.5,2.271429,2.5,37
185,36.68037,23,Female,WheelChair,Medium,Lagging,Low,0.7678722,2.75,2.391892,2.5,37
124,36.81541,31,Female,None,Medium,Immediate,High,0.7107321,2,1.682432,1.5,36
