UniqueID,Time to Evacuate,Age,Gender,Disability,SpatialKnowledge,Observation of Environment,Emergency Training,Initial Stress,Maximum Stress,Average Stress,Stress on Exit,Number of Peers
323,8.472589,20,Male,None,Low,Immediate,Low,0.6666667,2.25,Infinity,2,34
238,13.74289,20,Male,None,High,Immediate,High,0.6666667,2,Infinity,1.5,36
165,14.67787,66,Male,None,Low,Immediate,Low,0.8403361,2.75,Infinity,2.25,34
343,14.92886,37,Male,None,Medium,Immediate,Medium,0.7575758,2.5,Infinity,2.25,33
161,15.25994,40,Male,None,High,Immediate,High,0.7547169,1.75,Infinity,1.25,35
342,15.349,83,Male,None,High,Immediate,Low,0.9803922,2.5,Infinity,2.25,37
169,15.77294,20,Male,None,Medium,Lagging,Low,0.6666667,2.75,Infinity,1.75,32
338,16.32561,20,Female,None,High,Immediate,Low,0.6993007,2.5,Infinity,2.25,35
35,16.86314,20,Female,None,High,Lagging,Low,0.6993007,2.75,Infinity,2,35
171,17.36149,33,Female,None,Medium,Lagging,Low,0.7204611,2.75,Infinity,1.75,34
315,17.69965,41,Male,WalkingStick,Low,Immediate,Low,0.8946544,2.5,Infinity,2.5,37
316,17.69965,20,Female,None,Medium,Immediate,Low,0.6993007,2.25,Infinity,2.25,34
172,18.31347,31,Female,None,Medium,Immediate,Low,0.7107321,2.5,Infinity,2.25,33
318,19.32647,28,Female,None,Low,Immediate,Low,0.7092199,2.5,Infinity,2.25,37
36,20.38648,20,Male,None,Medium,Lagging,Low,0.6666667,2.75,Infinity,2,35
366,21.36286,20,Female,None,High,Immediate,High,0.6993007,2,Infinity,2,36
221,21.36286,51,Male,None,High,Immediate,Low,0.7905138,2.75,Infinity,2.5,36
310,22.13139,48,Male,None,Medium,Immediate,Low,0.7874016,2.25,Infinity,2.25,36
231,23.24979,20,Female,None,Medium,Immediate,High,0.6993007,2,Infinity,1.5,37
95,24.02337,23,Male,None,High,Lagging,Low,0.6872852,2.75,Infinity,2.75,34
129,24.65872,20,Female,None,Medium,Immediate,Low,0.6993007,3,Infinity,2.5,35
111,24.75115,25,Male,None,Low,Immediate,Medium,0.6896551,2.75,Infinity,2,35
121,25.57782,20,Male,None,High,Immediate,Low,0.6666667,2.75,Infinity,2.5,34
174,25.91377,57,Male,None,Medium,Immediate,Low,0.8130081,2.75,Infinity,2.25,37
1,27.07719,20,Female,None,Low,Lagging,Low,0.6993007,2.75,Infinity,2.25,34
281,27.83418,20,Female,None,Medium,Immediate,High,0.6993007,2.25,Infinity,1.75,36
339,28.00587,20,Female,None,Medium,Lagging,Low,0.6993007,3,Infinity,2.5,36
274,28.47228,20,Female,None,High,Immediate,Low,0.6993007,2.5,Infinity,2,35
324,28.63302,20,Female,None,Low,Lagging,Low,0.6993007,2.75,Infinity,2.25,35
133,29.0592,26,Male,None,Medium,Immediate,Low,0.6968641,2.75,Infinity,2.5,33
249,29.46774,36,Female,None,Medium,Immediate,Low,0.7194245,2.5,Infinity,2,36
321,30.36749,20,Male,None,Low,Lagging,Low,0.6666667,3,Infinity,2.25,36
