UniqueID,Time to Evacuate,Age,Gender,Disability,SpatialKnowledge,Observation of Environment,Emergency Training,Initial Stress,Maximum Stress,Average Stress,Stress on Exit,Number of Peers
321,17.65257,47,Male,None,Medium,Immediate,Low,0.78125,2.5,2.263889,2.25,33
303,18.9301,58,Female,None,High,Immediate,High,0.8156607,2.25,1.723684,1.75,36
9,20.72903,30,Female,None,Low,Immediate,Medium,0.7117438,2.25,1.809524,1.75,31
327,23.47611,87,Male,None,High,Immediate,Low,1.020408,3,2.458333,2.5,34
295,25.24463,30,Male,None,High,Immediate,Medium,0.7142857,2.25,1.92,1.75,34
308,25.24463,78,Female,None,High,Immediate,Low,0.9276438,2.75,2.45,2.5,32
25,26.56171,20,Female,None,Low,Immediate,Medium,0.6993007,2.75,2.472222,2.25,34
326,26.56171,56,Female,None,Medium,Immediate,Medium,0.8064516,2.5,2.055556,2.25,32
143,30.83924,57,Male,None,High,Immediate,Low,0.8130081,2.75,2.080645,2,35
39,32.9754,46,Female,None,High,Lagging,Low,0.7794232,2.75,2.469697,2.25,33
360,34.42383,51,Male,None,Medium,Immediate,Low,0.7905138,2.25,2.15,2.25,35
313,34.42383,79,Female,None,High,Immediate,Low,0.9328358,3,2.571429,2.5,33
96,34.42383,58,Male,None,High,Immediate,Low,0.8196721,3,2.371428,2.5,33
28,36.13139,21,Female,None,Low,Immediate,Low,0.7012623,3,2.520833,2.5,35
163,36.63509,92,Male,None,High,Immediate,Low,1.136364,2.75,2.317568,2,34
314,36.87659,73,Male,None,Low,Immediate,Low,0.8928571,2.75,2.398649,2.5,34
296,36.87659,68,Male,None,High,Immediate,Low,0.8547009,2.75,2.405406,2.25,35
298,37.95716,30,Male,None,Medium,Immediate,High,0.7142857,2.25,1.809211,1.5,35
89,38.8698,66,Female,None,Medium,Immediate,Medium,0.8403361,2.5,2.00641,2,35
15,39.16877,44,Female,None,Medium,Immediate,High,0.7806401,1.75,1.50641,1.5,35
154,39.16877,65,Female,None,High,Immediate,Low,0.8354219,2.5,2.083333,2,35
83,39.62201,29,Female,None,Low,Immediate,Low,0.7168459,2.5,2.26875,2.5,34
60,39.62201,35,Female,None,Low,Immediate,Low,0.723589,3,2.35,2.25,33
1,39.76789,58,Female,None,Low,Lagging,Low,0.8156607,2.75,2.33125,1.75,35
95,40.58243,78,Male,None,High,Immediate,Medium,0.9345794,2.75,2.286585,2.25,34
241,42.42848,79,Male,None,High,Immediate,Low,0.9433963,2.75,2.261628,2.75,34
92,42.42848,66,Female,None,Medium,Immediate,Low,0.8403361,2.5,2.139535,2.5,34
282,42.42848,79,Male,None,Low,Immediate,Low,0.9433963,2.75,2.186047,2.75,34
259,43.50204,78,Female,None,Low,Immediate,Low,0.9276438,2.5,2.153409,2.5,34
346,44.01574,58,Male,None,Medium,Immediate,Low,0.8196721,3,2.318182,2.75,35
244,44.50533,90,Female,None,High,Immediate,Low,1.052632,2.75,2.15,2.5,35
81,44.50533,48,Male,None,Medium,Immediate,Low,0.7874016,2.75,2.138889,2.5,35
349,46.24741,79,Female,None,High,Immediate,Low,0.9328358,2.5,2.222826,2,34
161,47.0885,64,Male,None,Medium,Lagging,Low,0.8403361,2.75,2.515957,1.75,35
27,47.39622,57,Female,None,Medium,Lagging,Low,0.8116883,2.75,2.1875,1.5,33
286,47.58118,29,Female,None,Medium,Immediate,High,0.7168459,2.25,1.828125,2,34
147,49.11112,57,Male,None,Low,Immediate,High,0.8130081,2.25,1.877551,1.75,33
53,49.25912,50,Female,None,High,Immediate,Low,0.7874016,2.75,2.137755,2.25,35
226,49.41355,82,Female,WalkingStick,Medium,Immediate,Low,1.116196,2.5,2.155,2.25,34
58,50.58519,59,Male,None,Medium,Immediate,Low,0.8264462,3,2.294118,2.25,34
353,50.58519,65,Male,None,Medium,Immediate,Low,0.8333333,2.5,2.117647,2.25,33
120,52.55836,87,Male,None,Medium,Immediate,Low,1.020408,2.5,1.816038,1.75,35
140,52.55836,76,Male,None,Low,Immediate,Low,0.9174312,2.75,2.231132,2.25,32
56,52.55836,68,Female,None,High,Immediate,Medium,0.8547009,2.75,1.872642,2.75,36
263,52.55836,84,Male,None,Medium,Immediate,Low,0.990099,2.75,2.216981,2.25,34
74,53.6528,67,Female,None,High,Lagging,Low,0.8474576,3,2.708333,2.5,34
260,54.54727,38,Female,None,High,Immediate,Low,0.7204611,3,2.445455,2.75,33
67,55.22145,94,Female,None,High,Immediate,Low,1.176471,3,2.236364,3,34
102,55.38831,54,Male,None,Medium,Immediate,Low,0.8097166,2.75,2.316964,2.25,36
75,55.9839,73,Male,None,High,Immediate,Low,0.8928571,3,2.419643,2.5,34
20,56.13351,34,Male,None,High,Lagging,Low,0.7462686,2.75,2.308036,2,35
14,56.81685,63,Female,None,Low,Lagging,Low,0.8319467,2.75,2.381579,2,35
331,56.81685,58,Male,None,High,Lagging,Low,0.8196721,2.75,2.649123,2.25,35
144,57.86377,58,Male,None,Medium,Immediate,Low,0.8196721,2.5,2.198276,2.25,33
12,58.47432,97,Male,None,Low,Immediate,Medium,1.282051,2.75,2.152542,2,33
115,58.47432,91,Female,WheelChair,High,Immediate,Low,1.207729,2.75,2.114407,2.25,35
152,58.83396,60,Male,None,Low,Lagging,Low,0.8130081,2.75,2.360169,2.25,35
337,58.9819,80,Female,None,High,Immediate,Low,0.9372071,3,2.385593,2.25,34
159,59.28615,51,Female,None,Medium,Immediate,Low,0.7936508,3,2.618644,2.25,33
279,60.50896,68,Female,None,High,Immediate,Low,0.8547009,2.75,2.286885,2.25,34
220,60.50896,63,Female,None,High,Lagging,Low,0.8319467,2.75,2.553279,2.75,31
80,62.31692,46,Female,None,High,Immediate,Low,0.7794232,2.75,2.379032,2.5,34
215,62.31692,41,Male,None,Low,Immediate,High,0.7604563,2.25,1.778226,1.75,31
166,62.31692,42,Female,None,Low,Immediate,Low,0.7639419,2.75,2.177419,2,34
57,63.22158,37,Female,None,Low,Immediate,Low,0.7183908,2.75,2.210317,1.75,32
86,63.22158,30,Female,None,Medium,Lagging,Low,0.7117438,2.75,2.607143,2.25,35
